t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,6,20000,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0003301728918046156,0.0,0.0,0.0,0
0.02,6,20000,431,10.0,0.2155,0.19801326693244747,0.0,0.017486733067552523,0.08831091642722176,0.00029371646052860485,7.336730403688587e-05,0.023641471934846035,0.099744804773216,431
0.04,6,20000,783,10.0,0.3915,0.39210560847676823,0.0,0.0006056084767682157,0.0015445034798682235,0.0002997498449596895,5.865870940326429e-05,0.023551387480892343,0.13793908321482667,783
0.06,6,20000,1172,10.0,0.586,0.5823546641575128,0.0,0.003645335842487163,0.006259649088173505,0.00035304531030309726,6.41874401280933e-05,0.022164868561601738,0.16126918946266894,1172
0.08,6,20000,1570,10.0,0.785,0.7688365361336424,0.0,0.016163463866357586,0.02102327751961567,0.00039174723449746915,0.0001305652317768551,0.023356147790054294,0.17292277274382722,1570
0.1,6,20000,1932,10.0,0.966,0.9516258196404048,0.0,0.014374180359595146,0.015104865865269169,0.0003771194378900421,0.00015457772174603136,0.036266825332668645,0.1828071950471143,1932
0.12,6,20000,2293,10.0,1.1465,1.1307956328284252,0.0,0.015704367171574862,0.013887891600973024,0.00041873798584130705,0.00014637691761373956,0.04309230016383766,0.18504950258141628,2293
0.14,6,20000,2646,10.0,1.323,1.3064176460119414,0.0,0.016582353988058518,0.01269299602518301,0.00039709905329679454,0.00020157961459353979,0.05468177463476311,0.18836816356779257,2646
0.16,6,20000,3020,10.0,1.51,1.4785621103378865,0.0,0.03143788966211347,0.021262474834370784,0.000369176532653705,0.00024075832970113406,0.05191183135118073,0.1786942480637335,3020
0.18,6,20000,3338,10.0,1.669,1.64729788588728,0.0,0.02170211411272005,0.013174371374264646,0.0004168241199179036,0.00023431526333646127,0.05018111735085286,0.16746678831583425,3338
0.2,6,20000,3684,10.0,1.842,1.8126924692201818,0.0,0.02930753077981829,0.016167955280592276,0.0004148382984638505,0.00024693184399349677,0.03862790572302367,0.1520708502913683,3684
0.22,6,20000,3986,10.0,1.993,1.974812020375215,0.0,0.018187979624785022,0.009209980209321036,0.0004007603349526069,0.00022616555616952833,0.03621761506902314,0.14285442696381934,3986
0.24,6,20000,4295,10.0,2.1475,2.1337213893344664,0.0,0.013778610665533542,0.006457549113209789,0.0004080356655435501,0.00022526872950067643,0.032040034246011984,0.1383858834764539,4295
0.26,6,20000,4625,10.0,2.3125,2.2894841419643375,0.0,0.02301585803566253,0.010052857590843728,0.00040560167937384267,0.00028310470994146966,0.03551260684203637,0.13790063402451258,4625
0.28,6,20000,4938,10.0,2.469,2.4421625854427456,0.0,0.026837414557254302,0.010989200603279606,0.00045459293971878334,0.00027618540729639027,0.03517240589413771,0.13141675343809575,4938
0.3,6,20000,5205,10.0,2.6025,2.5918177931828215,0.0,0.010682206817178574,0.004121511490998964,0.0003929743771555584,0.00025148640558715553,0.03890446076202397,0.12461093181575926,5205
0.32,6,20000,5519,10.0,2.7595,2.7385096292630906,0.0,0.02099037073690946,0.007664888416900614,0.0003504548990616679,0.00030695685413690285,0.03965642432854981,0.11975622065299199,5519
0.34,6,20000,5832,10.0,2.916,2.8822967723739037,0.0,0.03370322762609623,0.011693184390009131,0.00044429721820000463,0.0003061853963582595,0.03609367830072349,0.11349107516018747,5832
0.36,6,20000,6077,10.0,3.0385,3.0232367392896897,0.0,0.015263260710310256,0.005048648857679721,0.0004756487842165777,0.0003139286130950599,0.041401642658730996,0.11044329358374816,6077
0.38,6,20000,6377,10.0,3.1885,3.1613859078764417,0.0,0.027114092123558198,0.008576647367221045,0.0005130814691252857,0.00035654282855888877,0.036748646348508725,0.10769895658578449,6377
