var,value,N,tau,K,mean_L2_rel,std_L2_rel,n_seeds
N,2000,2000,0.0025,8,0.32512646652830346,0.01223932676120193,4
N,4000,4000,0.0025,8,0.22575520761084156,0.005906762660041885,4
N,8000,8000,0.0025,8,0.16705007465581873,0.001284677478506743,4
N,16000,16000,0.0025,8,0.11542671150645359,0.0031362602347000464,4
N,32000,32000,0.0025,8,0.08270496158270908,0.0029003694696492963,4
N,64000,64000,0.0025,8,0.058873007192654224,0.0034154703383891577,4
