var,value,N,tau,K,mean_L2_rel,std_L2_rel,n_seeds
tau,0.02,64000,0.02,8,0.05781556220841309,0.0040666130465052555,4
tau,0.01,64000,0.01,8,0.05599233888972391,0.0032397603413236316,4
tau,0.005,64000,0.005,8,0.06040629990139846,0.0009104230447837465,4
tau,0.0025,64000,0.0025,8,0.058873007192654224,0.0034154703383891577,4
tau,0.00125,64000,0.00125,8,0.05843729355761963,0.0028409571048044788,4
