var,value,N,tau,K,mean_L2_rel,std_L2_rel,n_seeds
K,2,64000,0.00125,2,0.011691265007427766,0.002380047343969345,4
K,3,64000,0.00125,3,0.02103477003990122,0.0012778522363499699,4
K,4,64000,0.00125,4,0.028892401350145126,0.001963054792690192,4
K,6,64000,0.00125,6,0.04303891573330994,0.000366457731211439,4
K,8,64000,0.00125,8,0.05843729355761963,0.0028409571048044788,4
K,12,64000,0.00125,12,0.08824324345412596,0.002118762532303158,4
