t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,2,80000,0,10.0,0.0,0.0,0.0,0.0,0.0,0.00014464747260814224,0.0,0.0,0.0,0
0.02,2,80000,1545,10.0,0.193125,0.19801326693244747,0.0,0.0048882669324474826,0.024686562714583776,0.00018851313460493044,1.9746518166853043e-05,0.012211365191748615,0.08972710677960764,1545
0.04,2,80000,3099,10.0,0.387375,0.39210560847676823,0.0,0.0047306084767682055,0.01206462844320292,0.00013889379353870828,2.5055955129092807e-05,0.015324809762478067,0.13238252877423878,3099
0.06,2,80000,4681,10.0,0.585125,0.5823546641575128,0.0,0.0027703358424872038,0.004757128281087992,0.00018251206176633048,3.606701472589406e-05,0.014051270380602597,0.15667827569265144,4681
0.08,2,80000,6100,10.0,0.7625000000000001,0.7688365361336424,0.0,0.006336536133642379,0.008241720880628044,0.00022015636545877408,5.8954376401691105e-05,0.01632780146917403,0.16071626045731252,6100
0.1,2,80000,7584,10.0,0.9480000000000001,0.9516258196404048,0.0,0.0036258196404047593,0.0038101316353258093,0.00019702124358770903,6.409533402265097e-05,0.017247312065877922,0.16011983396964538,7584
0.12,2,80000,9026,10.0,1.12825,1.1307956328284252,0.0,0.002545632828425237,0.002251187353861566,0.00017433456100338272,7.21919409663767e-05,0.014946656331350927,0.16157425281395493,9026
0.14,2,80000,10446,10.0,1.30575,1.3064176460119414,0.0,0.0006676460119414696,0.0005110509751453302,0.00019162480508622148,6.956211271296168e-05,0.013276236950594746,0.15715972201154305,10446
0.16,2,80000,11770,10.0,1.47125,1.4785621103378865,0.0,0.00731211033788659,0.004945419801279501,0.000203023647716661,6.956289982292058e-05,0.017865389845763295,0.14649543789258793,11770
0.18,2,80000,13146,10.0,1.64325,1.64729788588728,0.0,0.0040478858872798895,0.0024572883398679204,0.00020992403562751548,6.115450790454758e-05,0.017690310365478974,0.14539716066518807,13146
0.2,2,80000,14419,10.0,1.802375,1.8126924692201818,0.0,0.01031746922018173,0.005691792400185947,0.000245397939412681,8.101761661669165e-05,0.022178759800713956,0.14109486701534854,14419
0.22,2,80000,15780,10.0,1.9725000000000001,1.974812020375215,0.0,0.0023120203752149404,0.0011707546598666418,0.00020632423496251881,9.879854377489818e-05,0.02094936450205658,0.13638313743409455,15780
0.24,2,80000,17014,10.0,2.12675,2.1337213893344664,0.0,0.0069713893344665046,0.003267244434682714,0.0002011980710898944,0.0001007467118786239,0.019659967646963924,0.12847482937389915,17014
0.26,2,80000,18265,10.0,2.283125,2.2894841419643375,0.0,0.0063591419643374,0.00277754357314804,0.00018840472515246984,9.639209745531452e-05,0.021121681461516235,0.1227803970336998,18265
0.28,2,80000,19436,10.0,2.4295,2.4421625854427456,0.0,0.012662585442745566,0.0051849887137837445,0.00019443224866451815,9.298504704120298e-05,0.02010098233458126,0.11550054658931196,19436
0.3,2,80000,20596,10.0,2.5745,2.5918177931828215,0.0,0.01731779318282145,0.006681717066829277,0.00022916933074604046,0.00010406582149538346,0.01842832447139251,0.11001139036573857,20596
0.32,2,80000,21788,10.0,2.7235,2.7385096292630906,0.0,0.015009629263090574,0.005480948141536948,0.00027336324410058473,8.978882140342628e-05,0.02024901395336134,0.1062540526112961,21788
0.34,2,80000,22949,10.0,2.868625,2.8822967723739037,0.0,0.01367177237390349,0.0047433604009635725,0.00022532134003846676,9.166929065695873e-05,0.01733344584136908,0.10415279926401479,22949
0.36,2,80000,24121,10.0,3.0151250000000003,3.0232367392896897,0.0,0.008111739289689446,0.002683130693759464,0.00019114733018320092,0.00011797776588199725,0.02066698628560802,0.10098873102797248,24121
0.38,2,80000,25219,10.0,3.152375,3.1613859078764417,0.0,0.009010907876441543,0.0028503030439881753,0.00017644152961706844,0.00011229324410667005,0.02090662243115025,0.09666127894931902,25219
0.4,2,80000,26319,10.0,3.289875,3.2967995396436067,0.0,0.006924539643606842,0.0021003823739781896,0.00014981078953364214,8.757132278046523e-05,0.020523151183429362,0.09195377638829366,26319
0.42,2,80000,27384,10.0,3.423,3.4295318018494325,0.0,0.0065318018494324726,0.0019045753842871756,0.00018245195753398985,9.096536204563605e-05,0.017122475360263484,0.08839032799291051,27384
0.44,2,80000,28398,10.0,3.54975,3.559635789168587,0.0,0.009885789168587067,0.0027771911942980156,0.0001853624312709724,9.366357541740884e-05,0.020225069300353445,0.08590359464142104,28398
0.46,2,80000,29460,10.0,3.6825,3.6871635449307405,0.0,0.004663544930740393,0.0012648055541642628,0.00018162258993410172,9.75578838830806e-05,0.01835452145446581,0.08277995130859452,29460
0.48,2,80000,30415,10.0,3.801875,3.8121660819385914,0.0,0.010291081938591518,0.0026995366197052513,0.0002130210870845661,0.00010455505715124963,0.018292248237199375,0.08053577240256495,30415
0.5,2,80000,31328,10.0,3.916,3.9346934028736658,0.0,0.018693402873665832,0.0047509172785898095,0.00023961895575815955,9.571942530899636e-05,0.01883723677381112,0.07848268724350498,31328
0.52,2,80000,32285,10.0,4.0356250000000005,4.054794520298057,0.0,0.019169520298056852,0.004727618181906725,0.0002379823421587543,0.00010394370319562063,0.01881214492209139,0.07572260307144284,32285
0.54,2,80000,33219,10.0,4.152375,4.172517476260103,0.0,0.020142476260103237,0.004827415672841537,0.00024344477324311856,0.00013317970603249845,0.018258396114951926,0.0737891774377263,33219
0.56,2,80000,34172,10.0,4.2715000000000005,4.2879093615118515,0.0,0.016409361511851017,0.0038268909457697415,0.00021428036482630766,0.00013546371993535778,0.016868315688898915,0.07180580007028448,34172
0.58,2,80000,35058,10.0,4.38225,4.40101633434598,0.0,0.01876633434597963,0.004264091046317016,0.00025009470637116563,0.00013405952181593862,0.01621301973394364,0.069121867787843,35058
0.6,2,80000,35830,10.0,4.47875,4.511883639059736,0.0,0.0331336390597361,0.007343637759825087,0.00022160503469477563,0.00013702426728812286,0.016544806221603883,0.06782591804557668,35830
0.62,2,80000,36707,10.0,4.588375,4.620555624053255,0.0,0.032180624053254725,0.00696466543671325,0.00021708554119647454,0.00015219050501152215,0.016540033024523525,0.06474424699221762,36707
0.64,2,80000,37614,10.0,4.7017500000000005,4.727075759569514,0.0,0.02532575956951355,0.0053575954475119135,0.00022578507831122236,0.00015987210727259096,0.016654520963303426,0.06352374814937314,37614
0.66,2,80000,38445,10.0,4.805625,4.831486655083008,0.0,0.025861655083008195,0.005352732384306643,0.00022403893622710092,0.0001697704995652969,0.01656735389183839,0.06122534364539384,38445
0.68,2,80000,39230,10.0,4.9037500000000005,4.933830076344105,0.0,0.030080076344104256,0.0060966988888261735,0.00022121317730996567,0.00015729540596304216,0.016176644532856506,0.05925990989154932,39230
0.7000000000000001,2,80000,40013,10.0,5.001625,5.034146962085906,0.0,0.032521962085906075,0.006460272679927992,0.000217382053375715,0.00015317681083096507,0.01795774865449664,0.05807423707264821,40013
0.72,2,80000,40810,10.0,5.10125,5.132477440400283,0.0,0.031227440400282802,0.006084282057330848,0.00021168936620886178,0.00014833622309194482,0.01883362978112171,0.0560962046073537,40810
0.74,2,80000,41553,10.0,5.1941250000000005,5.228860844789656,0.0,0.03473584478965552,0.006643099868352465,0.00022755775913730895,0.00014459857375415035,0.018265602107470028,0.0546871406788145,41553
0.76,2,80000,42271,10.0,5.283875,5.323335729900908,0.0,0.039460729900907765,0.00741278249261245,0.00021499161588095777,0.00016095723625062563,0.016921956420114286,0.05261639603732659,42271
0.78,2,80000,42978,10.0,5.37225,5.415939886947765,0.0,0.043689886947764656,0.008066907657718992,0.0002122870871981265,0.0001520388004642438,0.01457110119843781,0.05060538741883411,42978
0.8,2,80000,43762,10.0,5.47025,5.506710358827784,0.0,0.03646035882778431,0.006621078003373622,0.0002149867596914737,0.00016246926348176897,0.017292808339135067,0.05038938303831317,43762
0.8200000000000001,2,80000,44436,10.0,5.5545,5.5956834549400085,0.0,0.041183454940008524,0.007359861448854964,0.0002144863868933371,0.00017925230691887679,0.01590331173500362,0.04841583609638602,44436
0.84,2,80000,45132,10.0,5.6415,5.682894765709204,0.0,0.04139476570920397,0.007284098582817601,0.00021397540620123404,0.00019041000390665401,0.015590365642325828,0.04706583198502394,45132
0.86,2,80000,45865,10.0,5.733125,5.768379176822512,0.0,0.03525417682251142,0.006111626115731705,0.00022188139647865836,0.00019015053537098386,0.015612237168971805,0.04624099108933792,45865
0.88,2,80000,46438,10.0,5.80475,5.852170883184186,0.0,0.047420883184186025,0.0081031268790265,0.00022039800655123523,0.00022429762770152854,0.01679526797392721,0.04556609933706071,46438
0.9,2,80000,47075,10.0,5.884375,5.934303402594009,0.0,0.049928402594008325,0.008413523746053087,0.00023032419813250258,0.00022514256987241765,0.01780286967190449,0.04456413015424035,47075
0.92,2,80000,47748,10.0,5.9685,6.01480958915486,0.0,0.04630958915485994,0.007699261043667868,0.00023600154904888798,0.00023006192003504646,0.01771308760754295,0.04361776913251018,47748
0.9400000000000001,2,80000,48451,10.0,6.056375,6.093721646414789,0.0,0.03734664641478869,0.006128708953544244,0.00021407859462342212,0.00021063867105748258,0.016673135609598044,0.04239172421043328,48451
0.96,2,80000,49001,10.0,6.125125,6.1710711402488805,0.0,0.045946140248880774,0.0074454076455562875,0.00018768297442757134,0.00021206593645866777,0.01456331293188832,0.04069395568864947,49001
0.98,2,80000,49754,10.0,6.21925,6.246889011486005,0.0,0.02763901148600567,0.004424444140945434,0.00017575245333037654,0.00021571008726447595,0.014820045795084523,0.03987446381864284,49754
1.0,2,80000,50336,10.0,6.292,6.321205588285577,0.0,0.029205588285576844,0.004620256037819823,0.00017613801639347572,0.00021174548964941666,0.017881772561182393,0.04024798660221725,50336
