window_id,amplitude,cx,cy,N_window,B_target,N_retained,mean_accept_rate,mass_accept_rate,effective_HT_sample_size
0,1.0956708580912724,-2.356194490192345,-2.356194490192345,10642,2000,1979,0.18793459875963162,0.18793459875963162,1978.9186568542932
1,1.176776695296637,-0.7853981633974483,-2.356194490192345,29654,2000,2006,0.06744452687664397,0.06744452687664397,2005.7014411412988
2,1.2309698831278217,0.7853981633974483,-2.356194490192345,26561,2000,2013,0.07529836979029404,0.07529836979029404,2010.961805618712
3,1.25,2.356194490192345,-2.356194490192345,52639,2000,2001,0.03799464275537148,0.03799464275537148,1993.6745464923888
4,1.2309698831278217,-2.356194490192345,-0.7853981633974483,24517,2000,2021,0.08157604927193378,0.08157604927193378,2018.4951772319455
5,1.176776695296637,-0.7853981633974483,-0.7853981633974483,23112,2000,2000,0.08653513326410521,0.08653513326410521,1990.2893541315339
6,1.0956708580912724,0.7853981633974483,-0.7853981633974483,10516,2000,1985,0.1901863826550019,0.1901863826550019,1982.3290216508776
7,1.0,2.356194490192345,-0.7853981633974483,4075,2000,2033,0.49079754601227005,0.49079754601227005,2012.9253380348061
8,0.9043291419087276,-2.356194490192345,0.7853981633974483,2265,2000,2002,0.8830022075055182,0.8830022075055182,1948.312586778511
9,0.8232233047033631,-0.7853981633974483,0.7853981633974483,2025,2000,1981,0.9764085369256602,0.9764085369256602,1823.8542043723915
10,0.7690301168721784,0.7853981633974483,0.7853981633974483,977,2000,934,0.9562333737860526,0.9562333737860526,920.9535615607547
11,0.75,2.356194490192345,0.7853981633974483,1117,2000,1074,0.9626253625535327,0.9626253625535327,1034.7134351449988
12,0.7690301168721784,-2.356194490192345,2.356194490192345,1317,2000,1277,0.9670724033374554,0.9670724033374554,1098.8371970853889
13,0.823223304703363,-0.7853981633974483,2.356194490192345,1800,2000,1749,0.971709282961961,0.971709282961961,1665.3496254150514
14,0.9043291419087274,0.7853981633974483,2.356194490192345,2691,2000,1959,0.743218134522482,0.743218134522482,1938.3492965041598
15,0.9999999999999999,2.356194490192345,2.356194490192345,6273,2000,2019,0.31882671767894144,0.31882671767894144,1972.7906069643063
