step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.05,R_0.1,R_0.2,R_0.3,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,320000,10,31.41592653589793,31.41592653589793,0.00020087527646454634,4.0848999423319154e-05,0.49669898417883507,0.04966989841788351,0.01192817355304336,0.1092161780737788,0.02484417822257952,0.0355412643815667,0.05161564230155011,0.06529691309861332,0.09098163486678562,0.13841032993326396,0.1655663280596117,0.23474884871071364,160000,256000,288000,1.8317258090873794,837.7458128970607,426.6569334053409,114.74988531496437,114.74988531496437,1.875e-05,0.6496183652400632,0,0,0.6496183652400632,0.6496183652400632,2054.273644033755,2054.273644033755,current_fourier,nan,nan,114.99101272097755,114.71973946245542,921.7340621416508,50.0,0.706875,115.75647938004457,114.71430490055454,1180.9580624402706,12.5,0.7597265625
5,1e-06,320000,10,31.41592653589793,31.41592653589793,0.00020204316326088905,3.980787394193202e-05,0.4916482601928879,0.04916482601928879,0.011605953382810032,0.10773093048335762,0.02414987340407847,0.03451843011812294,0.05025367464118481,0.06368342404693932,0.08909421941300551,0.1364927339539257,0.16388275339762928,0.23404490461999394,160000,256000,288000,1.8121536599773842,889.1298755420551,426.7644860325667,117.00130599652368,117.00130599652368,2.1875e-05,0.6509012218196544,0,0,0.6509012218196544,0.6509012218196544,2058.330392736596,2058.330392736596,current_fourier,nan,nan,117.25587127588123,117.00141461579686,976.7788828178366,50.0,0.70796875,117.99536209719754,116.97709448653222,1154.123011281044,12.5,0.761328125
10,2e-06,320000,10,31.41592653589793,31.41592653589793,0.0002030373209549083,3.585964499894884e-05,0.48644506171878366,0.04864450617187836,0.011288090848093872,0.10624542742204895,0.02346723989707781,0.0335329965248157,0.048884359901335,0.062102863474456975,0.08724233583807475,0.13451677036267826,0.16214835390626123,0.23314263821159661,160000,256000,288000,1.7934673964993397,944.0940521735356,426.9647549804607,119.3539693015838,119.3539693015838,2.1875e-05,0.6536492581350215,0,0,0.6536492581350215,0.6536492581350215,2067.020446586013,2067.020446586013,current_fourier,nan,nan,119.60968305127096,119.36325226084986,1053.432474946855,50.0,0.709375,120.36548401650631,119.38781039234246,1270.5406250800768,12.5,0.7626953125
15,3e-06,320000,10,31.41592653589793,31.41602471066836,0.0002005941462874035,3.1183964413931875e-05,0.4813075047438362,0.04813075047438362,0.010976141322977513,0.10476708129454362,0.022717789592209964,0.03255923640496093,0.047569891645479354,0.06052814882895541,0.08536770543381605,0.1325991290518848,0.16043583491461208,0.23218898902198562,160000,256000,288000,1.7736624630287214,1003.0061108022824,426.8671311136345,121.81540035567923,121.81540035567923,2.499992187524414e-05,0.6556857636150538,0,0,0.6556857636150538,0.6556857636150538,2073.4604423703295,2073.4604423703295,current_fourier,nan,nan,122.06063059753927,121.80875591986585,1140.1103505302663,50.0,0.70828125,122.7918611544611,121.82813770023631,1309.704998239839,12.5,0.763828125
20,4e-06,320000,10,31.41592653589793,31.41602471066836,0.00020313445046139586,2.6484560775162308e-05,0.4760845539290977,0.04760845539290977,0.010669459428494557,0.10329307541405937,0.022075181148797734,0.03165230930453955,0.04630284827564646,0.05896617992849323,0.08347089290186896,0.13061830859399437,0.15869485130969924,0.23147471851225002,160000,256000,288000,1.7532787445630953,1064.7022225920743,426.5438630865669,124.381731785904,124.381731785904,2.8124912109649657e-05,0.6581500735135779,0,0,0.6581500735135779,0.6581500735135779,2081.2532745101644,2081.2532745101644,current_fourier,nan,nan,124.61612211317977,124.37125394607102,1169.7411515538724,50.0,0.71078125,125.34202674333122,124.36880333648016,1402.408347776127,12.5,0.76453125
25,4.9999999999999996e-06,320000,10,31.41592653589793,31.415828361127506,0.00020409286391856238,2.0467997985488187e-05,0.4707799134393891,0.047077991343938905,0.010367694801725494,0.10182187781476776,0.021446652220410194,0.0307294757056264,0.04505395722983514,0.05748091654219236,0.08160375182422473,0.1286941839333963,0.15692663781312968,0.2307783044939228,160000,256000,288000,1.7333736953229393,1129.9274146399503,426.5604065303756,127.05680102745028,127.05680102745028,4.062512695352173e-05,0.6597802167243989,0,0,0.6597802167243989,0.6597802167243989,2086.4082399686185,2086.4082399686185,current_fourier,nan,nan,127.2814849374787,127.0421620657819,1212.14893790169,50.0,0.7109375,127.99612187831848,127.06328816430302,1514.7079257182845,12.5,0.7646875
30,6e-06,320000,10,31.41592653589793,31.41592653589793,0.00020197481960840965,1.9921126882611444e-05,0.4653761963272969,0.04653761963272969,0.01007156666922067,0.10035719540332258,0.02081032009496037,0.02983339542866568,0.043781220243881536,0.056002831709009146,0.0797404356697242,0.1266463740464814,0.15512539877576562,0.22995750862669567,160000,256000,288000,1.7134618465453941,1199.1492152691044,426.3409556929659,129.84681680218063,129.84681680218063,5.625e-05,0.6622969184170782,0,0,0.6622969184170782,0.6622969184170782,2094.366749508686,2094.366749508686,current_fourier,nan,nan,130.07674919072352,129.85078392552455,1292.1675549057566,50.0,0.71296875,130.77545996641254,129.86125357508166,1664.23482577198,12.5,0.766796875
35,7e-06,320000,10,31.41592653589793,31.415828361127506,0.00020257227416445629,1.6429618786941986e-05,0.4598674498341325,0.04598674498341325,0.009780284310444547,0.09889531996229421,0.020164519262870186,0.02896789814648,0.042533942366671115,0.05452064299930648,0.0779184893067839,0.12465179749227406,0.15328914994471085,0.22886874483463004,160000,256000,288000,1.6943684388814204,1273.3973753291239,426.5370735774439,132.76691841382984,132.76691841382984,6.875021484442139e-05,0.6641609299204358,0,1,0.6641609299204358,0.6641609299204358,2100.261271444051,2100.261271444051,current_fourier,nan,nan,132.99820362356212,132.76619103795633,1455.6183112907804,50.0,0.71359375,133.66182533659764,132.76523084679548,1661.782801344885,12.5,0.76796875
40,8e-06,320000,10,31.41592653589793,31.415828361127506,0.0001999562221880807,1.61001674789246e-05,0.4543022134434913,0.04543022134434913,0.009494776318072547,0.0974411428405504,0.019576672839470483,0.02811327978452604,0.041339272354975524,0.05307334041690684,0.07608569894787952,0.12267065104357253,0.15143407114783045,0.22817615974688527,160000,256000,288000,1.674781603443442,1352.7157469946533,426.7720856412302,135.81383179290884,135.81383179290884,7.500023437573242e-05,0.6655757478682471,0,0,0.6655757478682471,0.6655757478682471,2104.73531863362,2104.73531863362,current_fourier,nan,nan,136.03640279577758,135.81335884329826,1473.3462623661314,50.0,0.71296875,136.70029401662146,135.80798008598632,1668.8169739160758,12.5,0.7680859375
45,9e-06,320000,10,31.41592653589793,31.415828361127506,0.00019973859687397129,1.6579452586282448e-05,0.4486594109475657,0.04486594109475657,0.009214639574886687,0.09599291419103125,0.01897885908841129,0.027265349870252767,0.04015679341386011,0.051645076864534234,0.07428172308110415,0.12058959304051425,0.1495531369825219,0.227417986453406,160000,256000,288000,1.655637244390386,1436.6924847105713,427.11017073579796,138.9980513616152,138.9980513616152,8.750027343835449e-05,0.668382905864969,0,0,0.668382905864969,0.668382905864969,2113.612331655216,2113.612331655216,current_fourier,nan,nan,139.22531302966095,139.01380650033036,1608.9164830123927,50.0,0.71359375,139.86571053088824,139.00062084998063,1802.1820831139567,12.5,0.7694140625
