step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.0002461144053557066,-0.00020763951576820277,0.41439197770453007,0.041439197770453004,0.011882306574904297,0.10900599329809484,0.035320200467519616,0.05142628341089237,0.09056928324290048,0.13813065923484336,0.1654953371152117,0.23669132961152062,40000,64000,72000,2.185594512340638,847.690488474699,426.353084005837,115.17945949561457,115.17945949561457,0.0004125,0.6479415915045167,0,0
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.0002378155002728444,-0.00020282421728435684,0.40792134010187875,0.04079213401018787,0.011529734824242258,0.10737660277845569,0.03421245890877078,0.049812621437973846,0.08850547617150728,0.13597378003395957,0.16367086619436827,0.23629771115897213,40000,64000,72000,2.1696701660521844,910.0853119163146,426.07292318972077,117.76374229074858,117.76374229074858,0.0004875,0.6529182689693327,0,0
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.00023981608146554528,-0.0001913679553911581,0.40148364741348774,0.04014836474134877,0.011183400118487131,0.1057515962928557,0.03317299115530884,0.04829000045739765,0.08644188373284722,0.1338278824711626,0.16186402785108392,0.23529463225190875,40000,64000,72000,2.1530611343634822,974.6037408535673,427.0658566861885,120.49881065029629,120.49881065029629,0.00065,0.6577597668288696,0,0
12,3e-06,80000,10,31.41592653589793,31.41631923497963,-0.00023467740341368907,-0.00017746952779805182,0.39511809921483443,0.03951180992148344,0.010844643814090702,0.10413761959105222,0.03212475508709014,0.04673434516427742,0.08433211646331126,0.13170603307161147,0.16005828524540383,0.2345833471897311,40000,64000,72000,2.1343521501772065,1041.9466269054353,427.23516825055526,123.39103252657651,123.39103252657651,0.0007499906251171861,0.6630516567444229,1,0
16,4e-06,80000,10,31.41592653589793,31.41631923497963,-0.0002215028497639356,-0.00016212440267628423,0.3886519130973858,0.038865191309738575,0.010514517562207561,0.10254032164084313,0.031174340740307564,0.04526617995648823,0.08230781419397615,0.12955063769912858,0.1581395934689533,0.23405582423239557,40000,64000,72000,2.117777152774545,1118.9948729709715,428.09523754336186,126.45212305540252,126.45212305540252,0.0009124885938925763,0.6685134277960414,0,0
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41631923497963,-0.0002089884777367039,-0.00014907021017373845,0.381956098205226,0.0381956098205226,0.010189316667581152,0.10094214515048287,0.030163402891694956,0.04382403714244499,0.08026922303404711,0.127318699401742,0.15635733135456237,0.23334056157106772,40000,64000,72000,2.1015300818922453,1205.1581472440112,428.1265136912279,129.70477795224957,129.70477795224957,0.0011624854689316383,0.6738183691494625,0,0
24,6e-06,80000,10,31.41592653589793,31.41631923497963,-0.00020179704940812237,-0.0001324183700266857,0.37552721891313356,0.037552721891313354,0.00987161117146278,0.09935598206179022,0.029286573748437312,0.042477675023409184,0.07818473964825581,0.1251757396377112,0.15443887715437762,0.232267542861311,40000,64000,72000,2.0819992722376113,1296.7531529244002,428.36928677140327,133.11792719746396,133.11792719746396,0.0012999837502031225,0.6798421956067785,0,0
28,7e-06,80000,10,31.41592653589793,31.41631923497963,-0.00019325372626112587,-0.00011563083451750903,0.3687313619255045,0.03687313619255045,0.009562048697994416,0.09778572849856167,0.028284066823540312,0.04118416945024035,0.07615260625372056,0.12291045397516817,0.15243963026945706,0.23173657548186097,40000,64000,72000,2.0652598101787127,1400.5656838225964,429.5283299128411,136.74364326979236,136.74364326979236,0.001637479531505856,0.6844569846588336,0,0
32,8e-06,80000,10,31.41592653589793,31.41631923497963,-0.00017393598819962443,-9.58930163839205e-05,0.3615899516937924,0.03615899516937924,0.009260717727671954,0.0962326229907091,0.027391732790684804,0.03990853601157878,0.07416344178623752,0.12052998389793079,0.1505145581286406,0.23098064203062513,40000,64000,72000,2.051037133051801,1507.2195096994676,428.75069970111525,140.51695859156024,140.51695859156024,0.0021999725003437457,0.6905792618277856,0,0
36,9e-06,80000,10,31.41592653589793,31.41631923497963,-0.00015197868877387923,-7.17998386453489e-05,0.3549525154904678,0.03549525154904678,0.00896415177057031,0.09467920453072211,0.026377702258017256,0.03869507568988179,0.07210986984545045,0.11831750516348927,0.14872167261299227,0.23032523270807045,40000,64000,72000,2.031535675858225,1629.0663734110096,429.28586931361184,144.56245777293134,144.56245777293134,0.002724965937925776,0.6966977847390547,0,0
