step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160,S_dg_raw_320,S_dg_cross_320,peak_dg_320,ppc_320,empty_320
0,0.0,320000,10,31.41592653589793,31.41592653589793,0.00020087527646454634,4.0848999423319154e-05,0.4152309897997919,0.04152309897997919,0.01192817355304336,0.1092161780737788,0.09098163486678562,0.13841032993326396,0.1655663280596117,0.23474884871071364,160000,256000,288000,2.1911089755283775,836.1425152287776,426.4364074248024,114.75220402141683,114.75220402141683,0.000278125,0.7646336113650734,0,0,114.99101272097755,114.71973946245542,921.7340621416508,50.0,0.706875,115.75647938004457,114.71430490055454,1180.9580624402706,12.5,0.7597265625,118.80585551094691,114.74718953695753,1641.272684680035,3.125,0.8123828125
4,1e-06,320000,10,31.41592653589793,31.415828361127506,0.00020289440573138142,3.9628414268719454e-05,0.40923764126648066,0.04092376412664807,0.011592681375847184,0.10766931492234537,0.08898820220102005,0.13641254708882689,0.1638350325634008,0.2341049588471315,160000,256000,288000,2.17448722276928,892.733947845479,426.20248182733275,117.11800920472939,117.11800920472939,0.00034687608398776247,0.7673878973488732,0,1,117.37513174340994,117.1192717540623,1042.6252345489,50.0,0.70703125,118.12241467993216,117.11267740413497,1238.0528474958576,12.5,0.760703125,121.0961808818834,117.17776102644392,1740.237596872602,3.125,0.8134375
8,2e-06,320000,10,31.41592653589793,31.415828361127506,0.00020290604568225397,3.868365161193759e-05,0.4031337500234904,0.040313375002349036,0.011262508849545532,0.10612496807794823,0.08707435757900506,0.1343779166744968,0.16207523573229393,0.23326471017290276,160000,256000,288000,2.1599371814920305,953.9105298153479,425.6815824767091,119.59908341458558,119.59908341458558,0.00041875130859783937,0.7701940800004391,0,0,119.85395832789314,119.60151104138633,1088.6794952409643,50.0,0.70890625,120.59284943297847,119.60052799700722,1227.9604308218088,12.5,0.7625390625,123.56240640793385,119.68459399947123,1720.3279234380789,3.125,0.814697265625
12,3e-06,320000,10,31.41592653589793,31.41592653589793,0.0002043883044541392,2.905670937495489e-05,0.39697910077716303,0.0396979100777163,0.010938621819127081,0.10458786650050321,0.0851191307083226,0.132326366925721,0.16030203340264768,0.23233187716566756,160000,256000,288000,2.14417158338274,1019.3354320175996,425.40922706975573,122.19672328134605,122.19672328134605,0.00056875,0.7730270453330432,1,0,122.44021250322243,122.19903656865542,1111.5957464980527,50.0,0.7096875,123.17713286562976,122.22589879305959,1363.3817506246812,12.5,0.7640234375,126.000348229229,122.25995872039852,1852.700461970613,3.125,0.816494140625
16,4e-06,320000,10,31.41592653589793,31.41592653589793,0.00020231148750687257,2.7330542248250724e-05,0.3909739230851387,0.03909739230851387,0.010620239503670229,0.10305454625425425,0.0831619116382171,0.13032464102837957,0.15845638536901754,0.23144976842140313,160000,256000,288000,2.127044969700133,1089.8231248190878,425.48920640018235,124.92227091217471,124.92227091217471,0.000671875,0.7756711284272151,0,0,125.1657744445121,124.92794646619791,1234.7251135845722,50.0,0.7090625,125.85946459474414,124.91394637623664,1386.3161613602504,12.5,0.7640625,128.6796464131497,124.93497337865273,2068.813162604755,3.125,0.818037109375
20,4.9999999999999996e-06,320000,10,31.41592653589793,31.41592653589793,0.00020498642399770467,2.224213968630016e-05,0.3846323257847807,0.03846323257847807,0.010307580694972583,0.10152625618514938,0.08120256437335022,0.12821077526159355,0.15660942851004753,0.23066898606950886,160000,256000,288000,2.111173682754547,1164.3833267393788,425.7001937371957,127.77116732613617,127.77116732613617,0.000840625,0.7776532084538267,0,0,127.98464548422929,127.7479097065934,1237.2407406398036,50.0,0.71078125,128.69283700548036,127.72510494280829,1516.9285466459564,12.5,0.7651171875,131.46338767741642,127.76821706441548,1956.6218467973968,3.125,0.819033203125
24,6e-06,320000,10,31.41592653589793,31.41573018635708,0.00020583342562103743,1.625844567078908e-05,0.37855981906956004,0.03785598190695601,0.01000009989813376,0.10000049948942136,0.07928444271831986,0.12618660635652001,0.15477979845211845,0.22998753519250395,160000,256000,288000,2.0943702613021222,1243.9212274765882,424.8600274159741,130.75588947625002,130.75588947625002,0.0010281314258214114,0.7789514677589411,0,0,130.96428160014042,130.73898113297213,1375.2327552624197,50.0,0.71140625,131.65790333223433,130.76327670891652,1560.5631943483086,12.5,0.765390625,134.30900516186028,130.76315973990103,2022.9753947485124,3.125,0.821044921875
28,7e-06,320000,10,31.41592653589793,31.415828361127506,0.0002056894396227755,1.4414610171105102e-05,0.37220863404798915,0.037220863404798916,0.00969948471643087,0.09848596202723955,0.07734794739910313,0.12406954468266305,0.15294543849876052,0.22913627773707512,160000,256000,288000,2.0780804184443125,1329.727158368379,425.1976672293147,133.87991749790817,133.87991749790817,0.001315629111340973,0.7835769921668799,1,0,134.0952081301902,133.8760798851765,1440.513440135347,50.0,0.7128125,134.7611555839737,133.88347179048984,1687.6210465808258,12.5,0.76703125,137.37882051691017,133.83247900058663,2151.9970657422386,3.125,0.8221484375
32,8e-06,320000,10,31.41592653589793,31.415828361127506,0.00020499862461574147,8.384478055755894e-06,0.36585689547243194,0.03658568954724319,0.009403758835422256,0.0969729799244215,0.07547049426973437,0.12195229849081066,0.1510091595908135,0.228100775175036,160000,256000,288000,2.0628419254550097,1419.8426336769733,425.1568616242239,137.152670417031,137.152670417031,0.0016656302050943909,0.7869637413740055,0,0,137.36141127226813,137.1474405685223,1532.696854460179,50.0,0.7140625,138.01745123164116,137.15227240497285,1823.9412218327768,12.5,0.76875,140.5365495338269,137.1143171986594,2213.2448960425227,3.125,0.823916015625
36,9e-06,320000,10,31.41592653589793,31.41573018635708,0.0002077408487002211,8.308774311119743e-06,0.3595854637896016,0.03595854637896016,0.009114011350948593,0.09546733132830619,0.07360270410189804,0.11986182126320054,0.14904925078778075,0.22725645208302211,160000,256000,288000,2.046876515146452,1517.5420597916889,425.18001336480626,140.5813654945286,140.5813654945286,0.0020437627735173346,0.7889292695446399,0,0,140.81175366920237,140.59233418317893,1727.1090060231916,50.0,0.714375,141.43639041457038,140.57586019581834,1907.25284613307,12.5,0.769453125,143.97662542049852,140.6138292284785,2860.73260196423,3.125,0.82521484375
