n,t,S_L2,S_core,peak,umin,mass_u,peak_v,mass_v,xc,yc,R_0_5,R_0_8
128,0.0,114.86813807613115,114.86813807611423,837.8494373236944,9.28546155373259e-16,31.41592653026709,419.46201477365724,31.415639308076006,-2.144020185156846e-19,0.0,0.09060479300580626,0.13810679320049757
128,5.012531328320803e-07,116.10616689000571,116.1061668899889,866.9276170129657,9.423927193600603e-16,31.415926530267093,419.4269917700622,31.41563930821997,3.3479110928369584e-20,0.0,0.0899286283845417,0.13810679320049757
128,1.0025062656641605e-06,117.37283342316671,117.3728334231357,896.9719439066292,9.563273980756655e-16,31.415926530267093,419.3919892180203,31.415639308363946,-3.711805375038858e-19,0.0,0.08924734108434268,0.1367745421875906
128,1.5037593984962408e-06,118.66842051078952,118.66842051073822,928.0114859694394,9.703507695777827e-16,31.41592653026709,419.35700759183715,31.415639308507913,-1.3527639012893674e-19,0.0,0.08856081288089558,0.13542918611999777
128,2.005012531328321e-06,119.99320973244409,119.99320973236978,960.0759807274922,9.84463422354195e-16,31.415926530267093,419.3220473796663,31.415639308651887,-1.0722089502611389e-19,0.0,0.08646852977022912,0.13452480748220752
128,2.5062656641604014e-06,121.34748138686014,121.34748138675921,993.1958374232119,9.986659550121217e-16,31.41592653026709,419.28710908379253,31.415639308795857,-7.922597411913544e-20,0.0,0.08575975937539121,0.13361430762880525
128,3.0075187969924816e-06,122.73151446414613,122.73151446392006,1027.402138250817,1.0129589759823351e-15,31.415926530267093,419.2521932209138,31.415639308939827,-7.047694453111143e-20,0.0,0.08359740062122147,0.1317744358861953
128,3.508771929824562e-06,124.14558661494482,124.14558661468305,1062.7266386192964,1.0273431032374046e-15,31.41592653026709,419.2173003224202,31.4156393090838,-8.524528731592532e-20,0.0,0.08286407592029854,0.1313104399529032
128,4.010025062656642e-06,125.5899741160238,125.58997411565737,1099.2017663899228,1.0418189640234567e-15,31.41592653026709,419.18243093467,31.41563930922777,-1.1271971476486011e-19,0.0,0.08286407592029854,0.13037749428342685
128,4.511278195488723e-06,127.06495183181383,127.06495183117958,1136.860620035548,1.0563871946048772e-15,31.41592653026709,419.14758561926124,31.415639309371734,8.006308754209032e-20,0.0,0.08212420328761187,0.12896542202514982
128,5.012531328320803e-06,128.5707931714273,128.57079317062343,1175.736965669378,1.0710484400213977e-15,31.415926530267093,419.11276495329963,31.41563930951571,1.5788566444072388e-20,0.0,0.08212420328761187,0.12849128283905098
128,5.5137844611528826e-06,130.10777004070778,130.10777003966925,1215.8652328916344,1.0858033538570386e-15,31.415926530267093,419.07796952966027,31.415639309659678,2.387014141823576e-20,0.0,0.07909553410670542,0.1275377165415196
128,6.015037593984963e-06,131.67615278888388,131.6761527869936,1257.280509403438,1.1006525980204028e-15,31.415926530267093,419.0431999572438,31.415639309803648,-2.5896878634840832e-19,0.0,0.07909553410670542,0.1260938468091326
128,6.516290726817044e-06,133.27621014942315,133.2762101457352,1300.0185343384933,1.1155968425358338e-15,31.415926530267093,419.0084568612258,31.415639309947622,-2.6961375319853296e-19,0.0,0.0775368485987469,0.12414256704742738
128,7.017543859649124e-06,134.908209174705,134.90820917105663,1344.1156902646292,1.1306367653449765e-15,31.415926530267097,418.9737408832983,31.41563931009159,-1.3777224497118665e-19,0.0,0.07674563556401758,0.12414256704742738
128,7.518796992481204e-06,136.5724151641583,136.5724151577658,1389.6089938090213,1.1457730521182981e-15,31.415926530267093,418.93905268190343,31.415639310235562,4.870937311982784e-22,0.0,0.07513821899090369,0.12265873803209049
128,8.020050125313284e-06,138.26909158553346,138.26909157636135,1436.5360848629764,1.1610063960761437e-15,31.415926530267093,418.9043929324574,31.41563931037953,-2.4419751485348585e-19,0.0,0.07513821899090369,0.12165946486247997
128,8.521303258145365e-06,139.99849998900754,139.9984999784632,1484.9352143245023,1.1763374978189224e-15,31.41592653026709,418.86976232756473,31.415639310523495,-2.261890904089834e-19,0.0,0.074321474962658,0.1211567376505533
128,9.022556390977446e-06,141.76089991384643,141.760899901114,1534.845230339507,1.1917670651660372e-15,31.415926530267093,418.83516157722124,31.41563931066747,1.4912455825459572e-20,0.0,0.07266045014741514,0.12065191571469142
128,9.523809523809525e-06,143.5565487873784,143.55654876171747,1586.3055630053934,1.2072958130031849e-15,31.41592653026709,418.8005914090059,31.41563931081144,2.454391439769937e-19,0.0,0.07181553246425873,0.11861114414600762
