N,t,S_L2,peak,umin,mass_u,mass_v
80,0.0,114.86798734330138,843.6143305620544,-2.6756095069308213e-17,31.415926530163063,31.415637960307674
80,6.688963210702341e-07,116.62471686247322,885.1934751278827,-5.489961363885031e-15,31.41592653016306,31.415637960500696
80,1.3377926421404683e-06,118.43998102217608,928.1981621664012,-9.335238460339333e-15,31.41592653016306,31.415637960693708
80,2.0066889632107025e-06,120.3148778059003,973.3580546486987,-1.0983519058086654e-14,31.415926530163052,31.41563796088673
80,2.6755852842809365e-06,122.25060887029447,1020.7900181028051,-1.1624035822002376e-14,31.415926530163052,31.415637961079753
80,3.3444816053511705e-06,124.24836752650873,1070.487731313553,-1.2322117365707581e-14,31.415926530163052,31.415637961272775
80,4.013377926421405e-06,126.30934546456727,1122.5584350556032,-1.7018803038043856e-14,31.41592653016305,31.415637961465798
80,4.682274247491639e-06,128.43474104443396,1177.1146155525234,-1.900664692331965e-14,31.41592653016305,31.415637961658813
80,5.351170568561873e-06,130.62576291348913,1234.274038027542,-1.90001344321114e-14,31.41592653016305,31.415637961851836
80,6.0200668896321075e-06,132.88363138198974,1294.1597757604006,-1.7915557224739037e-14,31.41592653016305,31.415637962044855
80,6.688963210702341e-06,135.2095789546858,1356.9003003384105,-1.6243688034862768e-14,31.415926530163045,31.415637962237877
80,7.3578595317725755e-06,137.6048505608504,1422.6296213707747,-1.4255017631212545e-14,31.415926530163038,31.4156379624309
80,8.02675585284281e-06,140.07070366517434,1491.4874534548433,-1.321646695148332e-14,31.415926530163038,31.41563796262391
80,8.695652173913044e-06,142.60840831166823,1563.6193937677742,-1.436011226128213e-14,31.41592653016303,31.415637962816938
80,9.364548494983277e-06,145.21924711079615,1639.1771023364886,-1.5342809346309893e-14,31.415926530163034,31.41563796300995
80,1.0033444816053512e-05,147.90451516590875,1718.3184805738313,-1.6170610025777e-14,31.41592653016303,31.41563796320298
80,1.0702341137123746e-05,150.66551993071445,1801.2078453039742,-1.6852583479505385e-14,31.41592653016303,31.41563796339599
80,1.137123745819398e-05,153.50358098848295,1888.0160961607974,-1.7399176945793764e-14,31.41592653016303,31.415637963589013
80,1.2040133779264215e-05,156.4200297436936,1978.9208744532948,-1.7821225501529747e-14,31.415926530163027,31.415637963782036
80,1.2709030100334448e-05,159.41620901715334,2074.106711604825,-1.81293805865982e-14,31.415926530163027,31.41563796397505
80,1.3377926421404682e-05,162.49347253596383,2173.7651652051827,-1.8333799618887037e-14,31.41592653016302,31.41563796416807
80,1.4046822742474917e-05,165.65318431003587,2278.0949406173113,-1.8443994282560528e-14,31.41592653016302,31.415637964361093
80,1.4715719063545151e-05,168.89671788711988,2387.3019959772773,-1.8468772892280904e-14,31.415926530163016,31.415637964554108
80,1.5384615384615384e-05,172.22545547855594,2501.5996283273803,-1.84162368545374e-14,31.415926530163013,31.415637964747127
80,1.605351170568562e-05,175.6407869481564,2621.2085385361684,-1.8293806839622795e-14,31.415926530163013,31.41563796494014
80,1.6722408026755853e-05,179.14410865684337,2746.356872588044,-1.8108263997190107e-14,31.415926530163013,31.41563796513316
80,1.739130434782609e-05,182.73682215588389,2877.280236774341,-1.7865797545032185e-14,31.415926530163006,31.415637965326184
80,1.806020066889632e-05,186.42033272181496,3014.2216842899616,-1.7572053731384144e-14,31.415926530163006,31.415637965519196
80,1.8729096989966554e-05,190.19604772644612,3157.43167073803,-1.7232183400041195e-14,31.415926530163002,31.415637965712218
80,1.939799331103679e-05,194.06537483567934,3307.1679760720485,-1.6850886727478477e-14,31.415926530163002,31.41563796590524
80,2.0066889632107023e-05,198.02972003131163,3463.6955905635764,-1.643245449483781e-14,31.415926530163002,31.415637966098252
80,2.073578595317726e-05,202.0904854504962,3627.286562476122,-1.5980805717165438e-14,31.415926530163002,31.41563796629127
80,2.1404682274247492e-05,206.24906703814415,3798.219805252989,-1.5499521708576434e-14,31.415926530163002,31.41563796648429
80,2.2073578595317725e-05,210.50685200826558,3976.7808621908466,-1.4991876795822165e-14,31.415926530162995,31.415637966677306
80,2.274247491638796e-05,214.8652161110816,4163.261626772188,-1.4460865953745896e-14,31.415926530162995,31.415637966870325
80,2.3411371237458194e-05,219.32552070370198,4357.960017067782,-1.390922965482236e-14,31.415926530162995,31.41563796706334
