seed,method,t,total_mass,peak_height,L2_rel_err,L2_rel_err_BA,L2_rel_err_BB,global_nESS,N_active,n_resamples,runtime_s
0,weighted,0.0,39.47841760435743,4.3199867755679096,0.6771517463765735,0.6775261677797274,0.6374876071110129,1.0,20000,0,208.12951016426086
0,weighted_ess,0.0,39.47841760435743,4.3199867755679096,0.6771517463765735,0.6775261677797274,0.6374876071110129,1.0,20000,0,208.12951016426086
0,weighted_always,0.0,39.47841760435743,4.3199867755679096,0.6771517463765735,0.6775261677797274,0.6374876071110129,1.0,20000,0,208.12951016426086
0,poisson,0.0,39.478417604357425,4.3199867755679096,0.6771517463765735,0.6775261677797275,0.6374876071110129,nan,20000,0,208.12951016426086
0,minvar,0.0,39.478417604357425,4.3199867755679096,0.6771517463765735,0.6775261677797275,0.6374876071110129,nan,20000,0,208.12951016426086
0,weighted,0.05,39.50211332174341,4.81794687484339,0.6735581816337476,0.5803125649873871,0.5943616831695993,0.9982800445795597,20000,0,208.12951016426086
0,weighted_ess,0.05,39.50211332174341,4.81794687484339,0.6735581816337476,0.5803125649873871,0.5943616831695993,0.9982800445795597,20000,0,208.12951016426086
0,weighted_always,0.05,39.51390147998334,5.313112504731325,0.6782950027826052,0.7833988033372595,0.6322377374719749,1.0000000000000013,20000,50,208.12951016426086
0,poisson,0.05,39.51394818020134,4.448102712889918,0.6701112876331627,0.5392502575010181,0.572442071593268,nan,20018,0,208.12951016426086
0,minvar,0.05,39.49223505051895,4.239441707542862,0.6662635155787746,0.5822181847468286,0.6357699696521574,nan,20007,0,208.12951016426086
0,weighted,0.1,39.59355696877827,5.65009463117744,0.6680735235413547,0.6315745959523968,0.6674008363795048,0.9901861117744363,20000,0,208.12951016426086
0,weighted_ess,0.1,39.59355696877827,5.65009463117744,0.6680735235413547,0.6315745959523968,0.6674008363795048,0.9901861117744363,20000,0,208.12951016426086
0,weighted_always,0.1,39.61650612048736,6.840474919407301,0.6752190142844736,0.5900857516836716,0.7571429414714502,1.0000000000000038,20000,100,208.12951016426086
0,poisson,0.1,39.60277461981115,5.300764758596861,0.6650236469332826,0.524710281816342,0.6553602378411663,nan,20063,0,208.12951016426086
0,minvar,0.1,39.56329620220681,5.259091612455535,0.6715665192945443,0.5183812191995503,0.783588458372046,nan,20043,0,208.12951016426086
0,weighted,0.15,39.77955089590979,10.020669285500839,0.6748262216742847,0.66682175536258,0.6993834090681861,0.9680387544227135,20000,0,208.12951016426086
