F,chi,M,seed,aborted,R05_0,R05_T,R05_ratio,t_focus10,t_turn,Cdrift_max,occ_max,Nu
16.0,1.0,16.0,0,False,0.6898061142379389,3.0623885656473755,4.439491767959377,nan,2.0,0.0018636360511734827,17204,20000
32.0,1.0,32.0,0,False,0.6898061142379389,2.961606850842397,4.2933902580933525,nan,2.0,0.003930230546660775,17204,20000
48.0,1.0,48.0,0,False,0.6898061142379389,2.845997618475596,4.125793552322602,nan,2.0,0.006414630673732274,17204,20000
56.0,1.0,56.0,0,False,0.6898061142379389,2.7653733500902726,4.008913944094726,nan,2.0,0.007869818786125625,17204,20000
64.0,1.0,64.0,0,False,0.6898061142379389,2.668793324546292,3.868903550521052,nan,2.0,0.009520839612124297,17204,20000
72.0,1.0,72.0,0,False,0.6898061142379389,2.526926912680591,3.663242265505584,nan,2.0,0.012158688740845887,17204,20000
80.0,1.0,80.0,0,False,0.6898061142379389,0.27019700394817414,0.39169992606788273,1.4000000000000001,0.68,0.05378575968312978,17204,20000
88.0,1.0,88.0,0,False,0.6898061142379389,0.16628166814976347,0.24105566001464426,0.44,0.24,0.08372778837646694,17204,20000
