t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,0,20000,0,10.0,0.0,0.0,0.0,0.0,0,0.45264636635471217,0.6898061142379389,0.9701262422815995,0.20657284840854348,0.20204581388753645,0.19926185518345851,0.0
0.04,0,20000,845,10.0,0.4225,0.39210560847676823,0.0,0.1330777770403697,845,0.5306267039990537,0.8081215126450201,1.1392041577331808,0.2825767445098573,0.27869847287250504,0.27483866797397455,0.0005466482760323762
0.08,0,20000,1623,10.0,0.8115,0.7688365361336424,0.0,0.1835611304977785,1623,0.5789406747826632,0.9092610854584094,1.2845201407769424,0.3571968991369831,0.35195841304023595,0.351533796542097,0.0008386062036498884
0.12,0,20000,2348,10.0,1.174,1.1307956328284252,0.0,0.18690807264416393,2348,0.6350370649831377,0.994400989868279,1.4190204883826525,0.4328239130001822,0.4273663439039073,0.4260685570011902,0.0008500989708259206
0.16,0,20000,3046,10.0,1.5230000000000001,1.4785621103378865,0.0,0.18454121112346675,3046,0.6855362900924008,1.072760656571944,1.5398937868503906,0.508873771070145,0.49990750877308787,0.4981776931981684,0.0009509612714959922
0.2,0,20000,3692,10.0,1.846,1.8126924692201818,0.0,0.17719554103626523,3692,0.7336205946068473,1.1474352841525726,1.6388422978917006,0.5810145713108859,0.5758568363627692,0.5640426702666546,0.0008932421948735853
0.24,0,20000,4363,10.0,2.1815,2.1337213893344664,0.0,0.1623628873524327,4363,0.7749617747054874,1.214165440000623,1.739291640953224,0.6539822595995006,0.6449256810921606,0.6319954948762986,0.0008449865487785209
0.28,0,20000,4936,10.0,2.468,2.4421625854427456,0.0,0.15357844006931956,4936,0.8075957006284178,1.2814862758873327,1.8237573901497948,0.7189778578823266,0.7162101245608667,0.7024362543183484,0.0008267370672279523
0.32,0,20000,5534,10.0,2.767,2.7385096292630906,0.0,0.13570281689216246,5534,0.851600966298048,1.3473547660829084,1.9178473980112183,0.7920370960491444,0.7845937104311195,0.775954191731472,0.0007506136179093446
0.36,0,20000,6074,10.0,3.037,3.0232367392896897,0.0,0.120459080282352,6074,0.8877836091887275,1.4014173912771517,2.0045065256035564,0.8628575223508222,0.8560706592874706,0.8458860561757944,0.0006482794236839832
0.4,0,20000,6626,10.0,3.313,3.2967995396436067,0.0,0.11466568848385737,6626,0.9334559906647145,1.4547031046511893,2.0804240059191517,0.9336959042997074,0.9297950236861962,0.9186243675382781,0.0006130664817126151
0.44,0,20000,7162,10.0,3.581,3.559635789168587,0.0,0.11234357616224773,7162,0.9766961722391949,1.5200867902172543,2.1638483147027037,1.011448748317436,1.0057824714577352,0.9927478014762217,0.000681627199672304
0.48,0,20000,7678,10.0,3.839,3.8121660819385914,0.0,0.10447948617278445,7678,1.0064519035821209,1.5621851210959503,2.2402953198286872,1.0826162736317866,1.0772403029513713,1.0614389226921326,0.000578190681656461
0.52,0,20000,8138,10.0,4.069,4.054794520298057,0.0,0.10234369605751939,8138,1.0392274034252482,1.6247326735428091,2.3120539035458947,1.1564010966807299,1.1477277190979047,1.1320021397210567,0.0006426786710342445
0.56,0,20000,8571,10.0,4.2855,4.2879093615118515,0.0,0.09213370217102612,8571,1.0749652669637866,1.6699158436143342,2.381915299956106,1.2308939190341701,1.2119600191393216,1.19717356519298,0.0005998754919218214
0.6,0,20000,9073,10.0,4.5365,4.511883639059736,0.0,0.08574509892460169,9073,1.1021653923929076,1.7198916585447905,2.4547597858529326,1.305129525337162,1.286623653236922,1.2799287328166638,0.0004743475573557931
0.64,0,20000,9510,10.0,4.755,4.727075759569514,0.0,0.0787018757346711,9510,1.132181285775815,1.7690399860472126,2.528450658700353,1.3781963635810777,1.3632198995398357,1.3519722793595472,0.0004758647296660127
0.68,0,20000,9935,10.0,4.9675,4.933830076344105,0.0,0.07791542179516536,9935,1.1684419468783713,1.8209993550604415,2.598364981367395,1.4491487231835534,1.4382559206111172,1.4315472767862016,0.0005318500352795816
0.72,0,20000,10318,10.0,5.159,5.132477440400283,0.0,0.07188349898864045,10321,1.1990521447204774,1.8663584785561858,2.653506439613735,1.5288746517919942,1.511190511666998,1.5025064842136042,0.00048406128107068413
0.76,0,20000,10651,10.0,5.3255,5.323335729900908,0.0,0.06851183196341734,10651,1.2278659978341755,1.9171526317799499,2.7337861011876115,1.6108108398877936,1.5880730808296768,1.5787102729219982,0.0004558672196698423
0.8,0,20000,10966,10.0,5.4830000000000005,5.506710358827784,0.0,0.06356565010478028,10966,1.258198022064514,1.9580894600385772,2.7918184656016876,1.6880637007187675,1.664619559570078,1.6451225219851384,0.00044538870999328423
0.84,0,20000,11330,10.0,5.665,5.682894765709204,0.0,0.06527410559784386,11330,1.2870374714716888,1.9968747565804599,2.8467801939091175,1.7671600955788476,1.7402567519160754,1.7176368490529568,0.0005186561775575554
0.88,0,20000,11661,10.0,5.8305,5.852170883184186,0.0,0.06177342993367629,11661,1.3098081033747566,2.044422375294009,2.899911064346469,1.8411224447984822,1.814357400663357,1.7853178170966124,0.0004031934207394313
0.92,0,20000,11974,10.0,5.987,6.01480958915486,0.0,0.059196951590937595,11974,1.3416363250180126,2.0863165605895704,2.968460884996497,1.9200847126304352,1.8882288909882894,1.8721933761800131,0.00044348642805536935
0.96,0,20000,12343,10.0,6.1715,6.1710711402488805,0.0,0.05611654598328551,12343,1.365201872275407,2.1291717696125785,3.0390067247352635,1.9991155846912563,1.9672355631202447,1.9532938443060957,0.000468711423108949
1.0,0,20000,12668,10.0,6.3340000000000005,6.321205588285577,0.0,0.05225044569925225,12668,1.3976659604449957,2.1669071591129905,3.0950875215460147,2.07118679494624,2.0359526642343435,2.0263845510548077,0.00038556716597033537
1.04,0,20000,12882,10.0,6.441,6.465453180412198,0.0,0.05130332883468109,12882,1.420747818466547,2.2083868818036567,3.148966553898479,2.142670159547641,2.113685464280451,2.099926382957448,0.0003876000449075292
1.08,0,20000,13174,10.0,6.587,6.604044743550609,0.0,0.05154288185513742,13174,1.4428820982672204,2.250134614320949,3.2025859362490747,2.223017575374943,2.182288162320606,2.1749113745662636,0.0003766307303843326
1.12,0,20000,13454,10.0,6.727,6.737202053769606,0.0,0.047910741537357866,13455,1.4724991028422318,2.295424331377715,3.2515223742674517,2.2935042697371735,2.267577882734758,2.2439049736350762,0.00036771639000236024
