seed,d,method,t,total_mass,moment_m,local_mass_B,N_active,N_local_B,global_nESS,local_nESS_B,max_w_over_mean_w,runtime_s
0,4,weighted,0.0,1.0,0.4126006643544651,0.36765,20000,7353,1.0,1.0,1.0,22.20247983932495
0,4,poisson,0.0,1.0,0.4126006643544651,0.36765,20000,7353,nan,nan,nan,22.20247983932495
0,4,minvar,0.0,1.0,0.4126006643544651,0.36765,20000,7353,nan,nan,nan,22.20247983932495
0,4,weighted,0.1,1.0970404454433274,0.47050632203489906,0.43733665523845777,20000,7304,0.9930862116807798,0.9982621518487228,1.214181247417109,22.20247983932495
0,4,poisson,0.1,1.0954,0.46956295483030447,0.43475,21908,8695,nan,nan,nan,22.20247983932495
0,4,minvar,0.1,1.1,0.4727206026407467,0.43595,22000,8719,nan,nan,nan,22.20247983932495
0,4,weighted,0.2,1.1915255481277245,0.5264777569621735,0.4997533811927395,20000,7122,0.9751979843537527,0.9936087061014371,1.4397720220508867,22.20247983932495
0,4,poisson,0.2,1.18925,0.5245819145270195,0.49755,23785,9951,nan,nan,nan,22.20247983932495
0,4,minvar,0.2,1.19805,0.5302923194953025,0.5054,23961,10108,nan,nan,nan,22.20247983932495
0,4,weighted,0.3,1.2798881315343378,0.577402236050922,0.5596218011667048,20000,6952,0.950346214776529,0.9867035746526015,1.670809164626657,22.20247983932495
0,4,poisson,0.3,1.27825,0.5751167759753555,0.55725,25565,11145,nan,nan,nan,22.20247983932495
0,4,minvar,0.3,1.28995,0.5843824825934916,0.56775,25799,11355,nan,nan,nan,22.20247983932495
0,4,weighted,0.4,1.3596365027179942,0.6215730438307172,0.6118203015456124,20000,6754,0.9217838024427014,0.9781013816335491,1.9056795564391196,22.20247983932495
0,4,poisson,0.4,1.36035,0.6214849538922992,0.61245,27207,12249,nan,nan,nan,22.20247983932495
0,4,minvar,0.4,1.3721,0.6294220049973799,0.6223,27442,12446,nan,nan,nan,22.20247983932495
0,4,weighted,0.5,1.4296993224813375,0.6581346722173163,0.6541757409800407,20000,6510,0.8915821130204801,0.968908863854353,2.1419216605685722,22.20247983932495
0,4,poisson,0.5,1.4293,0.6576688928001945,0.6548,28586,13096,nan,nan,nan,22.20247983932495
0,4,minvar,0.5,1.4381,0.6633219247900054,0.66275,28762,13255,nan,nan,nan,22.20247983932495
0,4,weighted,0.6,1.4901256671859406,0.687538023953356,0.6874240869507637,20000,6250,0.8609973761502667,0.9589214867598949,2.3758190013849387,22.20247983932495
0,4,poisson,0.6,1.49015,0.6876209069585325,0.6904,29803,13808,nan,nan,nan,22.20247983932495
0,4,minvar,0.6,1.49645,0.6911497129532292,0.69735,29929,13947,nan,nan,nan,22.20247983932495
0,4,weighted,0.7000000000000001,1.5417553397069736,0.7103452453278496,0.7169660927516536,20000,6026,0.830620712978301,0.9481977835923293,2.6131965659585497,22.20247983932495
0,4,poisson,0.7000000000000001,1.5418,0.7104745353870802,0.7188,30836,14376,nan,nan,nan,22.20247983932495
0,4,minvar,0.7000000000000001,1.54865,0.7121970166431427,0.7236,30973,14472,nan,nan,nan,22.20247983932495
0,4,weighted,0.8,1.5858211287944417,0.726665442114216,0.7396453056609548,20000,5791,0.8006958905185515,0.9373074499667297,2.856191013137955,22.20247983932495
0,4,poisson,0.8,1.58555,0.7267394322069581,0.74125,31711,14825,nan,nan,nan,22.20247983932495
0,4,minvar,0.8,1.5906,0.7263838775554887,0.739,31812,14780,nan,nan,nan,22.20247983932495
0,4,weighted,0.9,1.6240269287430795,0.7377751528845219,0.752007498387824,20000,5489,0.7711644525926593,0.9277837239164997,3.111872598013396,22.20247983932495
0,4,poisson,0.9,1.6237,0.738423950292658,0.7531,32474,15062,nan,nan,nan,22.20247983932495
0,4,minvar,0.9,1.62715,0.7374843663920387,0.7509,32543,15018,nan,nan,nan,22.20247983932495
0,4,weighted,1.0,1.6575123184321816,0.7458100392146919,0.7656975175889793,20000,5257,0.7419625880846067,0.9164427319402089,3.37242815621128,22.20247983932495
0,4,poisson,1.0,1.6563,0.7458597219244457,0.7623,33126,15246,nan,nan,nan,22.20247983932495
0,4,minvar,1.0,1.65835,0.7441653715724748,0.75725,33167,15145,nan,nan,nan,22.20247983932495
0,4,weighted,1.1,1.6874843809328453,0.7508122084367854,0.769744683470436,20000,4962,0.7129798114205027,0.906364989803607,3.6524442116669027,22.20247983932495
0,4,poisson,1.1,1.6848,0.750885050114134,0.76715,33696,15343,nan,nan,nan,22.20247983932495
0,4,minvar,1.1,1.6903,0.7504783876875993,0.7623,33806,15246,nan,nan,nan,22.20247983932495
0,4,weighted,1.2,1.7146794160668217,0.7544024107379197,0.7688746286178981,20000,4674,0.6841777489000888,0.8943019513179787,3.956903090366782,22.20247983932495
0,4,poisson,1.2,1.7114,0.7538612852772257,0.7687,34228,15374,nan,nan,nan,22.20247983932495
0,4,minvar,1.2,1.71975,0.7548868285213423,0.7668,34395,15336,nan,nan,nan,22.20247983932495
0,4,weighted,1.3,1.739730200611611,0.7560360439554454,0.7713963413417625,20000,4416,0.6555883849533066,0.883275714174088,4.288042447058755,22.20247983932495
0,4,poisson,1.3,1.7387,0.7571774263839488,0.7745,34774,15490,nan,nan,nan,22.20247983932495
0,4,minvar,1.3,1.7439,0.756429322822233,0.7664,34878,15328,nan,nan,nan,22.20247983932495
0,4,weighted,1.4000000000000001,1.7632700993953785,0.7561071830692666,0.7646193033144763,20000,4112,0.6271716967595115,0.8730666042127788,4.64023698699742,22.20247983932495
0,4,poisson,1.4000000000000001,1.76475,0.7585151658513807,0.77315,35295,15463,nan,nan,nan,22.20247983932495
0,4,minvar,1.4000000000000001,1.76845,0.7576697482177683,0.76905,35369,15381,nan,nan,nan,22.20247983932495
0,4,weighted,1.5,1.7856336680641147,0.7558986936817518,0.7671735115732202,20000,3888,0.5989506649279149,0.8616382422331695,5.001944021306454,22.20247983932495
0,4,poisson,1.5,1.7892,0.7587360241562877,0.77295,35784,15459,nan,nan,nan,22.20247983932495
0,4,minvar,1.5,1.79085,0.758298709651706,0.7692,35817,15384,nan,nan,nan,22.20247983932495
0,4,weighted,1.6,1.80698818391444,0.7554604030736088,0.7622554735328118,20000,3621,0.5710778130723744,0.8523358704054902,5.381436754843503,22.20247983932495
0,4,poisson,1.6,1.81015,0.7595037612610379,0.773,36203,15460,nan,nan,nan,22.20247983932495
0,4,minvar,1.6,1.8106,0.757509069682025,0.76845,36212,15369,nan,nan,nan,22.20247983932495
0,4,weighted,1.7,1.827468358451474,0.7555486764385181,0.7565117172065127,20000,3388,0.5436261598062015,0.83970011461209,5.760413645460116,22.20247983932495
0,4,poisson,1.7,1.8304,0.7604509195088911,0.77285,36608,15457,nan,nan,nan,22.20247983932495
0,4,minvar,1.7,1.8302,0.7563740809599633,0.7622,36604,15244,nan,nan,nan,22.20247983932495
0,4,weighted,1.8,1.8468515182629246,0.7551746039274378,0.7555023985497377,20000,3182,0.5167110111396152,0.8284747216428447,6.266230743200713,22.20247983932495
0,4,poisson,1.8,1.84885,0.7583754377817068,0.76885,36977,15377,nan,nan,nan,22.20247983932495
0,4,minvar,1.8,1.8496,0.75641171596555,0.7613,36992,15226,nan,nan,nan,22.20247983932495
0,4,weighted,1.9000000000000001,1.8655828432546169,0.7541650935112196,0.7495644937462471,20000,2978,0.4903142395462561,0.8154139780318527,6.820319506011663,22.20247983932495
0,4,poisson,1.9000000000000001,1.86765,0.7576499798230132,0.76845,37353,15369,nan,nan,nan,22.20247983932495
0,4,minvar,1.9000000000000001,1.86875,0.7574072907641901,0.76145,37375,15229,nan,nan,nan,22.20247983932495
0,4,weighted,2.0,1.8836772044494599,0.7533924607234845,0.7513810919205898,20000,2799,0.46454123537888764,0.8047685582723121,7.422778008251834,22.20247983932495
0,4,poisson,2.0,1.88535,0.7570424129918496,0.766,37707,15320,nan,nan,nan,22.20247983932495
0,4,minvar,2.0,1.8859,0.7583677361849235,0.76005,37718,15201,nan,nan,nan,22.20247983932495
1,4,weighted,0.0,1.0,0.41527094281027976,0.3741,20000,7482,1.0,1.0,1.0,18.61843991279602
1,4,poisson,0.0,1.0,0.4152709428102799,0.3741,20000,7482,nan,nan,nan,18.61843991279602
1,4,minvar,0.0,1.0,0.4152709428102799,0.3741,20000,7482,nan,nan,nan,18.61843991279602
1,4,weighted,0.1,1.097245277114546,0.4737300155485105,0.44138182479257865,20000,7377,0.9931253769852607,0.9982606553545142,1.212664480875422,18.61843991279602
1,4,poisson,0.1,1.09475,0.47155070487353296,0.43745,21895,8749,nan,nan,nan,18.61843991279602
1,4,minvar,0.1,1.0955,0.4718282635219023,0.43805,21910,8761,nan,nan,nan,18.61843991279602
1,4,weighted,0.2,1.1917363809628116,0.5295551307823467,0.5077617409967401,20000,7255,0.9753642277448155,0.9935413645031789,1.4316717578274138,18.61843991279602
1,4,poisson,0.2,1.19005,0.5277899662049432,0.5062,23801,10124,nan,nan,nan,18.61843991279602
1,4,minvar,0.2,1.18985,0.5278312769500503,0.5066,23797,10132,nan,nan,nan,18.61843991279602
1,4,weighted,0.3,1.2798903831489639,0.5806036867871057,0.566359603513725,20000,7063,0.9507889569350534,0.9866008562872768,1.656056967272129,18.61843991279602
1,4,poisson,0.3,1.2798,0.5790183989209139,0.5654,25596,11308,nan,nan,nan,18.61843991279602
1,4,minvar,0.3,1.27765,0.5795871842862927,0.57005,25553,11401,nan,nan,nan,18.61843991279602
1,4,weighted,0.4,1.3593063972638164,0.6243332714732336,0.6174359747505869,20000,6847,0.9225757284008503,0.9781469692694922,1.8814823299956303,18.61843991279602
1,4,poisson,0.4,1.3555,0.6201415590851684,0.6177,27110,12354,nan,nan,nan,18.61843991279602
1,4,minvar,0.4,1.35795,0.6244054014928034,0.6239,27159,12478,nan,nan,nan,18.61843991279602
1,4,weighted,0.5,1.4289146975761855,0.6605175340523635,0.6615843256764182,20000,6631,0.8928639568308918,0.9687509040242525,2.100803539765183,18.61843991279602
1,4,poisson,0.5,1.42565,0.6575844385286954,0.66155,28513,13231,nan,nan,nan,18.61843991279602
1,4,minvar,0.5,1.4272,0.6608478144296086,0.6706,28544,13412,nan,nan,nan,18.61843991279602
1,4,weighted,0.6,1.4890184024325217,0.6888247754974153,0.6927189731082426,20000,6345,0.8627971940150582,0.9589843785821216,2.3322095647602312,18.61843991279602
1,4,poisson,0.6,1.48735,0.6875160473433062,0.697,29747,13940,nan,nan,nan,18.61843991279602
1,4,minvar,0.6,1.4855,0.68889921623485,0.7036,29710,14072,nan,nan,nan,18.61843991279602
1,4,weighted,0.7000000000000001,1.5404785021240828,0.7108229981750122,0.7192258621090787,20000,6086,0.8328965760171592,0.9487689490759446,2.5661383185062823,18.61843991279602
1,4,poisson,0.7000000000000001,1.5373,0.7081883372129911,0.7183,30746,14366,nan,nan,nan,18.61843991279602
1,4,minvar,0.7000000000000001,1.53425,0.7093875261234188,0.72725,30685,14545,nan,nan,nan,18.61843991279602
1,4,weighted,0.8,1.5844913392413613,0.7267345244205109,0.7338638173514653,20000,5773,0.8033006190935598,0.9380008416764628,2.807041303096992,18.61843991279602
1,4,poisson,0.8,1.5824,0.725549316930241,0.7358,31648,14716,nan,nan,nan,18.61843991279602
1,4,minvar,0.8,1.5773,0.7252262105107269,0.7413,31546,14826,nan,nan,nan,18.61843991279602
1,4,weighted,0.9,1.6225833032533419,0.738437495318677,0.7465996601295659,20000,5495,0.7740181886745956,0.9271900437969814,3.059255986536747,18.61843991279602
1,4,poisson,0.9,1.62075,0.7375177189646466,0.7498,32415,14996,nan,nan,nan,18.61843991279602
1,4,minvar,0.9,1.61905,0.7391954292463678,0.75525,32381,15105,nan,nan,nan,18.61843991279602
1,4,weighted,1.0,1.6560363999931618,0.7462245868098674,0.7570010610299117,20000,5240,0.7449680322253348,0.9154756769815022,3.321939323065539,18.61843991279602
1,4,poisson,1.0,1.65255,0.7446125910943557,0.7569,33051,15138,nan,nan,nan,18.61843991279602
1,4,minvar,1.0,1.6521,0.7465067024897514,0.7618,33042,15236,nan,nan,nan,18.61843991279602
1,4,weighted,1.1,1.6860141823370236,0.7510169153091051,0.7652761895381218,20000,4972,0.7160760013738593,0.9055529408443472,3.5999918092329843,18.61843991279602
1,4,poisson,1.1,1.68155,0.7508495388383093,0.76205,33631,15241,nan,nan,nan,18.61843991279602
1,4,minvar,1.1,1.6839,0.7516498575735564,0.76565,33678,15313,nan,nan,nan,18.61843991279602
1,4,weighted,1.2,1.7132253827272224,0.7543443125961735,0.7658713874926453,20000,4678,0.6873170843252174,0.8947119873818217,3.900215477803742,18.61843991279602
1,4,poisson,1.2,1.7078,0.7540919619067589,0.76235,34156,15247,nan,nan,nan,18.61843991279602
1,4,minvar,1.2,1.71465,0.7567482469222626,0.7691,34293,15382,nan,nan,nan,18.61843991279602
1,4,weighted,1.3,1.7383364351291792,0.7566553483860322,0.7727892584290948,20000,4468,0.6586959373394294,0.8819120593576233,4.220973437514568,18.61843991279602
1,4,poisson,1.3,1.7327,0.7553793699172822,0.76715,34654,15343,nan,nan,nan,18.61843991279602
1,4,minvar,1.3,1.7393,0.7578082230959307,0.76995,34786,15399,nan,nan,nan,18.61843991279602
1,4,weighted,1.4000000000000001,1.7617838548540665,0.7568568244256606,0.7739013009937418,20000,4201,0.6302461278923394,0.8727159556771088,4.544280848440898,18.61843991279602
1,4,poisson,1.4000000000000001,1.7558,0.7553333043298567,0.76515,35116,15303,nan,nan,nan,18.61843991279602
1,4,minvar,1.4000000000000001,1.7615,0.7577577947992699,0.769,35230,15380,nan,nan,nan,18.61843991279602
1,4,weighted,1.5,1.7840007737860546,0.7571249098501428,0.770213574317183,20000,3929,0.6019506274221021,0.8626815598384444,4.889206723146821,18.61843991279602
1,4,poisson,1.5,1.7763,0.7553779589010589,0.7671,35526,15342,nan,nan,nan,18.61843991279602
1,4,minvar,1.5,1.78375,0.7572272662557086,0.76795,35675,15359,nan,nan,nan,18.61843991279602
1,4,weighted,1.6,1.8049708912958904,0.7580631433828596,0.7664716988841963,20000,3686,0.5739380430988963,0.8507029876471494,5.308299494638968,18.61843991279602
1,4,poisson,1.6,1.797,0.7545111989934294,0.765,35940,15300,nan,nan,nan,18.61843991279602
1,4,minvar,1.6,1.80475,0.756888327708821,0.76405,36095,15281,nan,nan,nan,18.61843991279602
1,4,weighted,1.7,1.8249261735637035,0.7570501385524036,0.7639851313940854,20000,3449,0.5463370454346922,0.8408952737076786,5.770985415132263,18.61843991279602
1,4,poisson,1.7,1.8213,0.7551563565155509,0.7653,36426,15306,nan,nan,nan,18.61843991279602
1,4,minvar,1.7,1.82905,0.7584836683034024,0.76445,36581,15289,nan,nan,nan,18.61843991279602
1,4,weighted,1.8,1.8438373750862298,0.758261157853482,0.7656480811170128,20000,3250,0.5192706893144544,0.8290154235613988,6.27860132021062,18.61843991279602
1,4,poisson,1.8,1.83715,0.7537214370142621,0.76295,36743,15259,nan,nan,nan,18.61843991279602
1,4,minvar,1.8,1.8498,0.7581522878760206,0.76205,36996,15241,nan,nan,nan,18.61843991279602
1,4,weighted,1.9000000000000001,1.8616771384176656,0.7585238482803814,0.7598247740033316,20000,3040,0.4928526562292026,0.8168241994286188,6.819050800208083,18.61843991279602
1,4,poisson,1.9000000000000001,1.85625,0.7538635780007324,0.75955,37125,15191,nan,nan,nan,18.61843991279602
1,4,minvar,1.9000000000000001,1.8682,0.7566045055226738,0.76015,37364,15203,nan,nan,nan,18.61843991279602
1,4,weighted,2.0,1.8784822667922039,0.7592116427331473,0.7634750089112504,20000,2869,0.46717977469203137,0.8083548610469736,7.366420415997117,18.61843991279602
1,4,poisson,2.0,1.877,0.7562158340157623,0.7607,37540,15214,nan,nan,nan,18.61843991279602
1,4,minvar,2.0,1.8883,0.7574597331144789,0.7579,37766,15158,nan,nan,nan,18.61843991279602
2,4,weighted,0.0,1.0,0.4184801339819919,0.38215,20000,7643,1.0,1.0,1.0,15.68328309059143
2,4,poisson,0.0,1.0,0.4184801339819921,0.38215,20000,7643,nan,nan,nan,15.68328309059143
2,4,minvar,0.0,1.0,0.4184801339819921,0.38215,20000,7643,nan,nan,nan,15.68328309059143
2,4,weighted,0.1,1.0974703951736775,0.4766028506080549,0.4479670886557734,20000,7491,0.9931463429169679,0.9983173651457107,1.210909749779564,15.68328309059143
2,4,poisson,0.1,1.09595,0.4760573927145865,0.4493,21919,8986,nan,nan,nan,15.68328309059143
2,4,minvar,0.1,1.10125,0.4798697145753011,0.4529,22025,9058,nan,nan,nan,15.68328309059143
