seed,d,method,t,step,total_mass,M_v_chem,c_inf_grid,rho_inf_grid,c_inf_part,rho_inf_part,R_core_0p5,R_core_0p9,xc0,xc1,xc2,N_active,global_nESS,max_w_over_mean_w,N_local_B,local_ESS_B,local_mass_B,corr_r_c,corr_r_rho,mean_Sc,mean_Srho,mean_r,mean_Sc_in,mean_Sc_out,mean_r_in,mean_r_out,frac_mass_rpos,frac_mass_rneg,cfl_proxy,n_resample_events,mass_jump_resample,runtime_s
0,6,weighted,0.0,0,1.0,1.0,0.07946566948073187,0.4629460728476644,0.08284638797171683,0.499378524994293,0.7675576674277812,1.2470695566127639,-0.004112372832877524,-0.010654589147038127,-0.011246526520438753,12000,1.0,1.0,4694,1.0,0.39116666666666666,0.6021542242688422,0.7149562511251772,0.4861605673102687,0.40682431017229653,0.3241693387241853,0.6266881698912435,0.3456329647292939,0.3724432704836391,0.2758954069647315,1.0,0.0,0.006236473809921617,0,0.0,13490.048322677612
0,6,weighted_resample,0.0,0,1.0,1.0,0.07946566948073187,0.4629460728476644,0.08284638797171683,0.499378524994293,0.7675576674277812,1.2470695566127639,-0.004112372832877524,-0.010654589147038127,-0.011246526520438753,12000,1.0,1.0,4694,1.0,0.39116666666666666,0.6021542242688422,0.7149562511251772,0.4861605673102687,0.40682431017229653,0.3241693387241853,0.6266881698912435,0.3456329647292939,0.3724432704836391,0.2758954069647315,1.0,0.0,0.006236473809921617,0,0.0,13490.048322677612
0,6,poisson,0.0,0,1.0,1.0,0.07946566948073187,0.4629460728476645,0.08284638797171683,0.49937852499429297,0.7675576674277812,1.2470695566127639,-0.004112372832877524,-0.010654589147038127,-0.011246526520438753,12000,1.0,1.0,4694,1.0,0.39116666666666666,0.6021542242688422,0.7149562511251772,0.4861605673102687,0.4068243101722966,0.3241693387241853,0.6266881698912435,0.3456329647292939,0.3724432704836391,0.2758954069647315,1.0,0.0,0.006236473809921617,0,0.0,13490.048322677612
0,6,minvar,0.0,0,1.0,1.0,0.07946566948073187,0.4629460728476645,0.08284638797171683,0.49937852499429297,0.7675576674277812,1.2470695566127639,-0.004112372832877524,-0.010654589147038127,-0.011246526520438753,12000,1.0,1.0,4694,1.0,0.39116666666666666,0.6021542242688422,0.7149562511251772,0.4861605673102687,0.4068243101722966,0.3241693387241853,0.6266881698912435,0.3456329647292939,0.3724432704836391,0.2758954069647315,1.0,0.0,0.006236473809921617,0,0.0,13490.048322677612
0,6,weighted,0.1,50,1.03515565815997,1.03515565815997,0.08272641339591424,0.48971937925953135,0.08643082352180288,0.532664978342563,0.7660344040832974,1.2549324562152366,-0.004381286723502981,-0.010975554852093863,-0.011281715726482719,12000,0.9999015541389807,1.0295009327941385,4661,0.9999071433937872,0.405267314084156,0.7209139793049922,0.8144500808549777,0.5027808819476532,0.41403318364161135,0.3690239768657791,0.6496221286369415,0.3559392331151488,0.4309989315373603,0.3070488524679926,1.0,0.0,0.007177872603519685,0,0.0,13490.048322677612
0,6,weighted_resample,0.1,50,1.03515565815997,1.03515565815997,0.08272641339591424,0.48971937925953135,0.08643082352180288,0.532664978342563,0.7660344040832974,1.2549324562152366,-0.004381286723502981,-0.010975554852093863,-0.011281715726482719,12000,0.9999015541389807,1.0295009327941385,4661,0.9999071433937872,0.405267314084156,0.7209139793049922,0.8144500808549777,0.5027808819476532,0.41403318364161135,0.3690239768657791,0.6496221286369415,0.3559392331151488,0.4309989315373603,0.3070488524679926,1.0,0.0,0.007177872603519685,0,0.0,13490.048322677612
0,6,poisson,0.1,50,1.03275,1.03275,0.08237248209867347,0.4861905060340665,0.08593953382776426,0.5266765371915989,0.7684391087967745,1.251706583512913,-0.004146121763048808,-0.010590750883142831,-0.011494813194099531,12393,1.0,1.0,4844,1.0,0.4036666666666667,0.7131526095259254,0.8087009028851896,0.5008445783704324,0.4130598202042235,0.36419885286905873,0.646720336090689,0.3549452771127772,0.42547318891176666,0.3029146274887068,1.0,0.0,0.006743316702936913,0,0.0,13490.048322677612
0,6,minvar,0.1,50,1.0341666666666667,1.0341666666666667,0.08273834714563762,0.4906973600667681,0.08630865759748116,0.5307966067234038,0.7682919522546119,1.2525451448833964,-0.004761355084350919,-0.01265552005845395,-0.012252114508088198,12410,1.0,1.0,4901,1.0,0.40841666666666665,0.720498297995329,0.8146271995180561,0.5023352856266882,0.413913169035919,0.36760163539899593,0.6489872986298488,0.3556832726235277,0.4294985871982333,0.3057046835997586,1.0,0.0,0.006717115754302353,0,0.0,13490.048322677612
0,6,weighted,0.2,100,1.0767942809281377,1.0767942809281377,0.08671692297199352,0.5245770906559682,0.09073973350559025,0.5746452831374206,0.7667344916943059,1.2612251685537936,-0.0047582309990941195,-0.011169046513856225,-0.01173581368867809,12000,0.9995804130164573,1.0604039976861244,4709,0.999626976155475,0.42981457307846577,0.8223565941687382,0.8889709117449306,0.521869029901449,0.4217836366675633,0.4221252096031058,0.6765588157148127,0.36716677752306703,0.4985435412396351,0.3457007193563301,1.0,0.0,0.006549983959431889,0,0.0,13490.048322677612
0,6,weighted_resample,0.2,100,1.0767942809281377,1.0767942809281377,0.08671692297199352,0.5245770906559682,0.09073973350559025,0.5746452831374206,0.7667344916943059,1.2612251685537936,-0.0047582309990941195,-0.011169046513856225,-0.01173581368867809,12000,0.9995804130164573,1.0604039976861244,4709,0.999626976155475,0.42981457307846577,0.8223565941687382,0.8889709117449306,0.521869029901449,0.4217836366675633,0.4221252096031058,0.6765588157148127,0.36716677752306703,0.4985435412396351,0.3457007193563301,1.0,0.0,0.006549983959431889,0,0.0,13490.048322677612
0,6,poisson,0.2,100,1.0751666666666666,1.0751666666666666,0.08655962196588955,0.5240735926498343,0.09042837772405249,0.5689985488925121,0.7664793514250297,1.2573321650098617,-0.0058077047827876874,-0.011166523248506064,-0.01197030355668854,12902,1.0,1.0,5139,1.0,0.42825,0.817100502374483,0.8855716530375963,0.5212140547036574,0.4218692951773386,0.4192483332826138,0.6750262234994858,0.3674018859078291,0.4960247279284142,0.34247193863681347,1.0,0.0,0.00649119606802898,0,0.0,13490.048322677612
0,6,minvar,0.2,100,1.0746666666666667,1.0746666666666667,0.0865764576077589,0.5237298962928066,0.09018826338396815,0.5672077306615158,0.7658150033798461,1.2630978310720355,-0.00413849877272638,-0.012120351141587575,-0.013311420960666981,12896,1.0,1.0,5127,1.0,0.42725,0.8176464112352196,0.8861038457203252,0.5208639941385301,0.4215083650859144,0.4189308812963779,0.6749519152537115,0.3667760730233489,0.4947759696044225,0.3430857929883333,1.0,0.0,0.006932932425610645,0,0.0,13490.048322677612
0,6,weighted,0.3,150,1.1265723779736523,1.1265723779736523,0.0915513124166174,0.5677816056118468,0.09601396906116803,0.6268379982193016,0.761884869250404,1.2680027277672359,-0.005171872036234315,-0.01092320538430712,-0.01212998865480254,12000,0.9989913233678129,1.0921864659909457,4718,0.9991725153272476,0.4549338277480556,0.8986879260354746,0.9304251199069895,0.5442901413642524,0.4308580862184591,0.4845863068016318,0.707711145433103,0.38082959401134736,0.5763067368235817,0.3928436830167773,1.0,0.0,0.0061367724647181056,0,0.0,13490.048322677612
