method,n_seeds,N0,particle_steps,Nact_final,global_rel_L2,global_nESS,mean_Em,max_Em,num_Em_gt_20pct,mean_late_Em,mean_late_Em_std,max_late_Em,max_late_localL2,num_late_gt_20pct,min_local_eff,min_late_local_eff
minvar_branch,8,20000,39230799.75,51395.625,0.34349853677924225,1.0,0.14513324070180678,0.4045137787338263,4.75,0.20220027554636794,0.08879161918094651,0.3807507466953175,0.5108053612940595,1.875,604.25,1517.25
weighted,8,20000,24000000.0,20000.0,1.2125312313768402,0.08934389678886069,0.14757318426502103,0.355483930872708,4.75,0.15248983560182994,0.05582868515090335,0.2576377430171857,1.1261226622995246,1.375,20.735245607856807,28.275743269380378
weighted_ess_resample,8,20000,24000000.0,20000.0,0.49389250379592065,0.8307504761073738,0.13335068606180311,0.32572289675144606,3.375,0.16906925292497008,0.06846726694846408,0.2606749668029448,0.5891934032967043,1.375,213.20715462109115,213.20715462109115
weighted_ess_resample_costmatched,8,32692,39231000.0,32692.5,0.3838274564424604,0.850493612828191,0.09993544942579942,0.2608787322499248,2.0,0.1365694102631324,0.02989675429710223,0.23448019643977785,0.46504017289204647,0.75,367.9211744399335,367.9211744399335
