seed,method,t,Nact,total_mass,global_nESS,max_mean_weight,global_rel_L2,mean_Em,max_Em,num_Em_gt_20pct,mean_late_Em,max_late_Em,num_late_gt_20pct,max_late_localL2,min_local_eff,min_late_local_eff,median_local_eff,n_resamples
0,minvar_branch,0.0,20000,39.47841760435744,1.0,1.0,0.8922431347888171,0.9516580846022846,0.971680062685959,16,0.971680062685959,0.971680062685959,4,0.924447855934829,56.0,56.0,56.0,0
0,minvar_branch,0.052000000000000005,20090,39.65607048357705,1.0,1.0,0.9015669795927334,0.9422652830127326,0.9731972021849254,16,0.9706686363533147,0.9731972021849254,4,1.0708982376812586,50.0,53.0,58.0,0
0,minvar_branch,0.10400000000000001,20359,40.18705520035565,1.0,1.0,0.8877172217986256,0.9249668879410828,0.9757257680165362,16,0.9725650607270228,0.9757257680165362,4,0.8960573716108052,48.0,48.0,55.5,0
0,minvar_branch,0.156,20750,40.95885826452084,1.0,1.0,0.8600924274515424,0.8975112764118665,0.9731972021849254,16,0.9718064909775395,0.9731972021849254,4,0.9349492357063784,49.0,53.0,56.0,0
0,minvar_branch,0.20800000000000002,21442,42.32481151363161,1.0,1.0,0.7938825010077917,0.853761906965075,0.9772429075155027,16,0.9719329192691201,0.9772429075155027,4,1.1114138963597986,42.0,45.0,59.0,0
0,minvar_branch,0.26,22617,44.64416854788761,1.0,1.0,0.6655471933937874,0.782184151335529,0.9757257680165362,15,0.9715536343943784,0.9757257680165362,4,0.9926226657535139,48.0,48.0,58.5,0
0,minvar_branch,0.313,24685,48.72623692817817,1.0,1.0,0.5344858791888503,0.7706780343512248,0.9772429075155027,14,0.9743350568091503,0.9772429075155027,4,0.9614067660016533,45.0,45.0,72.0,0
0,minvar_branch,0.365,26700,52.70368750181718,1.0,1.0,0.4404597777299629,0.8609005769921476,1.0441007863663903,16,0.9729443456017643,0.9742086285175697,4,1.0101931832725752,51.0,51.0,98.0,0
0,minvar_branch,0.417,27442,54.16833679493884,1.0,1.0,0.43185081010075876,0.8426260935196224,1.069336598543753,16,0.973576487059667,0.9747143416838919,4,1.0603095728801082,48.0,50.0,125.0,0
0,minvar_branch,0.46900000000000003,28178,55.62114256277919,1.0,1.0,0.4279355540388083,0.7819325754975373,0.9949573626525784,16,0.9724386324354422,0.9752200548502141,4,0.9672434442661038,49.0,49.0,196.5,0
0,minvar_branch,0.521,29556,58.34120553571942,1.0,1.0,0.4245563484550247,0.694406379244161,0.9767371943491806,15,0.9747143416838918,0.9767371943491806,4,0.9443536942974566,46.0,46.0,321.0,0
0,minvar_branch,0.5730000000000001,31853,62.87530179757987,1.0,1.0,0.4069391891452603,0.6519105223964272,0.9802771865134356,14,0.9753464831417946,0.9802771865134356,4,0.9948129492508132,39.0,39.0,526.0,0
0,minvar_branch,0.626,33756,66.63167323263448,1.0,1.0,0.37933374247579776,0.7055392350626161,0.9767371943491806,16,0.9738293436428281,0.9767371943491806,4,1.1027845086149073,46.0,46.0,571.0,0
0,minvar_branch,0.678,34369,67.84168673220803,1.0,1.0,0.3781968066366271,0.6770954880006876,0.9757257680165362,16,0.9744614851007308,0.9757257680165362,4,0.9428439062228431,48.0,48.0,627.5,0
0,minvar_branch,0.73,35195,69.472145379268,1.0,1.0,0.3831077531111217,0.6201788974421042,0.9747143416838919,14,0.9725650607270228,0.9747143416838919,4,1.1111996669127573,50.0,50.0,716.0,0
0,minvar_branch,0.782,36584,72.21392148189062,1.0,1.0,0.3847345081814359,0.5531512172896322,0.9742086285175697,12,0.9729443456017643,0.9742086285175697,4,1.227476738009431,51.0,51.0,843.0,0
0,minvar_branch,0.834,39028,77.0381841131431,1.0,1.0,0.37478734618483484,0.4595554764246376,0.9661172178564151,11,0.9635886520248043,0.9661172178564151,4,0.9704024040072305,67.0,67.0,1070.5,0
0,minvar_branch,0.886,42577,84.04362931703632,1.0,1.0,0.3389089242280295,0.3769980376527323,0.9403258463739848,9,0.9356479995855048,0.9403258463739848,4,1.0682629879399432,118.0,118.0,1043.0,0
0,minvar_branch,0.9390000000000001,44574,87.98554931483142,1.0,1.0,0.3104522701921374,0.38785414774516164,0.9064430642304,10,0.8963288009039566,0.9064430642304,4,0.8434275243982431,185.0,185.0,999.0,0
0,minvar_branch,0.991,45147,89.11660597919625,1.0,1.0,0.32021487385232494,0.3458259380620182,0.8528374686002508,9,0.8342525097379111,0.8528374686002508,4,0.6080546199100902,291.0,291.0,963.5,0
0,minvar_branch,1.043,46173,91.14184880229979,1.0,1.0,0.3213056137679362,0.294255019364861,0.7532119748347849,8,0.7151570590690418,0.7532119748347849,4,0.6497992273062323,488.0,488.0,930.0,0
0,minvar_branch,1.095,47760,94.27446123920555,1.0,1.0,0.32514134683613805,0.23261999380526277,0.5944180406096259,7,0.5314567514025162,0.5944180406096259,4,0.549515527759808,693.0,802.0,928.0,0
0,minvar_branch,1.147,50455,99.59417801139271,1.0,1.0,0.3321315396535075,0.15052431283021134,0.34105574428222263,6,0.2314424154818932,0.34105574428222263,3,0.5370378335784323,690.0,1303.0,1276.0,0
0,minvar_branch,1.2,54059,106.70818886369793,1.0,1.0,0.3285909660520284,0.13101616696011947,0.4357196791886184,4,0.1657952766641656,0.4357196791886184,1,0.5172182074883505,658.0,2027.0,1437.0,0
0,weighted,0.0,20000,39.47841760435744,1.0,1.0,0.8922431347888171,0.9516580846022846,0.971680062685959,16,0.971680062685959,0.971680062685959,4,0.924447855934829,56.0,56.0,56.0,0
0,weighted,0.052000000000000005,20000,39.68378019050825,0.9966080675966421,1.6972192494801115,0.9025523008041502,0.943481123526523,0.9743423955535632,16,0.9715753989956142,0.9743423955535632,4,0.9183169969564087,50.64939004135869,51.0,55.64163236457151,0
0,weighted,0.10400000000000001,20000,40.1766631791225,0.9732583045012054,3.230526552899029,0.8832463223747682,0.925626929171596,0.974475468806369,16,0.9720981840383349,0.974475468806369,4,1.0175750615810488,47.999999999880245,51.00000000000003,55.96453729984027,0
0,weighted,0.156,20000,41.0079315767934,0.8971645629305897,6.138708689856559,0.8993431775858931,0.8991848231832592,0.975105737131663,16,0.972367368216146,0.975105737131663,4,1.024961023705071,48.99999986987316,50.00000000000001,53.81942849830989,0
0,weighted,0.20800000000000002,20000,42.35981107968679,0.7274181944291456,11.4834602912627,0.9168101070684194,0.8533527989206249,0.9762254572583445,16,0.9722630334680686,0.9762254572583445,4,1.145478552620344,47.767201274129306,47.999999999999986,54.0,0
0,weighted,0.26,20000,44.68494550783261,0.48083068336952034,20.914013388358047,0.890868726809937,0.7767343686466914,0.976841498088433,15,0.9725300748602157,0.976841498088433,4,1.0138069584551488,43.391097932713976,47.000000000000014,53.46998794399593,0
0,weighted,0.313,20000,48.71525000742895,0.26205143191750235,36.896053996520784,1.019244145350649,0.7774217495096889,0.9774540429620964,15,0.9737780717059165,0.9774540429620964,4,0.9932890791418966,38.4420532628759,46.0,54.02609072108,0
0,weighted,0.365,20000,52.80157820893452,0.16768380016265344,51.65311026880588,0.9477304422799635,0.87790309923781,0.977083390202525,16,0.9742797624081531,0.977083390202525,4,0.9126394648339655,36.72891450283794,47.00000000000002,50.4999999996817,0
0,weighted,0.417,20000,54.23741201949002,0.16120745111828066,52.98878952151233,1.0139685731094548,0.8653691712479806,0.9767171887086596,16,0.9741706312236683,0.9767171887086596,4,1.011392195957108,34.98950023414946,47.99999999999999,47.644166701175706,0
0,weighted,0.46900000000000003,20000,55.714424972717644,0.1638986828894865,51.423003633832295,1.09479900793534,0.8101858862246334,0.9792506591412385,16,0.9752696809532045,0.9792506591412385,4,1.0263732493833202,33.90456653645023,43.0,44.20336601754916,0
0,weighted,0.521,20000,58.28678705514494,0.16119237493057645,48.90168708067838,1.094297594773187,0.7196266611492192,0.9779181553425845,16,0.9749179047090767,0.9779181553425845,4,1.1281583423398858,30.83875204818263,46.000000000000014,44.4558276024962,0
0,weighted,0.5730000000000001,20000,62.55119025169782,0.1435381309833611,45.33157374658222,1.0784085882656491,0.6605936900514717,0.9789877829214889,14,0.9748092170106932,0.9789877829214889,4,1.2744122113047345,30.38616413001708,44.000000000000014,43.91131107500662,0
0,weighted,0.626,20000,66.09650976085669,0.12694911575731777,46.04708827405017,1.0590279815953478,0.7076538278687959,0.977198721998871,15,0.9741110480263439,0.977198721998871,4,1.2444205470920444,30.21064844342291,47.9999999999968,44.673814282942075,0
0,weighted,0.678,20000,67.28296967047788,0.12833582893708673,46.33869294499932,1.0803712332775062,0.6720240430301935,0.9801515807832719,15,0.9744805978743829,0.9801515807832719,4,1.415015307541129,28.423048537976886,41.999999997046466,41.0555784735153,0
0,weighted,0.73,20000,68.87464580464196,0.13172832343987353,45.07743639197815,1.1543696908195171,0.6099742766247731,0.980700554551138,13,0.9741102632490408,0.980700554551138,4,1.4714121313931605,27.821108905168856,40.99999748007563,39.218215720290104,0
0,weighted,0.782,20000,71.66268801737564,0.13209349375620139,43.10027114653107,1.1330422198712264,0.5443590232964459,0.9796383271703827,13,0.9742901991152711,0.9796383271703827,4,1.6159117280132267,25.99816238304786,41.99721029421502,38.4765448872043,0
0,weighted,0.834,20000,76.563251033407,0.1216857617773634,40.132372807296484,1.117151585929312,0.43961553869855485,0.9694936626860262,13,0.9639124858115888,0.9694936626860262,4,1.335642087484321,26.378435381437868,47.76590256795483,35.35667709712627,0
