seed,method,N0,Nact_final,particle_steps,global_rel_L2,global_nESS,max_mean_weight,mean_Em,max_Em,num_Em_gt_20pct,mean_late_Em,max_late_Em,num_late_gt_20pct,max_late_localL2,min_local_eff,min_late_local_eff,n_resamples
0,minvar_branch,20000,54059,40008646,0.3285909660520284,1.0,1.0,0.13101616696011947,0.4357196791886184,4,0.1657952766641656,0.4357196791886184,1,0.5172182074883505,658.0,2027.0,0
0,weighted,20000,20000,24000000,1.1981361137306115,0.08747547788848736,54.56524715690016,0.14667491850179426,0.3589826087515554,6,0.24263536044325493,0.3589826087515554,3,1.2164159450993366,22.228482723777773,25.2289705913578,0
0,weighted_ess_resample,20000,20000,24000000,0.4758577071225266,0.8474898734772826,3.4632199588002375,0.12820667219859744,0.2763885715213639,3,0.12098068140861397,0.21244303812344162,1,0.6013906093762118,220.1600959333489,220.1600959333489,4
0,weighted_ess_resample_costmatched,33341,33341,40009200,0.4030902652521738,0.8526151466903096,3.5645593183289828,0.11186597522679038,0.32941129692544074,3,0.18246325262260127,0.32941129692544074,1,0.5976722599046839,334.6492941303855,334.6492941303855,4
1,minvar_branch,20000,51221,39220206,0.3078947874308801,1.0,1.0,0.10347758768528617,0.32183864396197903,2,0.13902333433651795,0.32183864396197903,1,0.44099316873986905,595.0,1341.0,0
1,weighted,20000,20000,24000000,1.3022466113747924,0.08739892820524428,49.72072402863743,0.21075854129183294,0.45153112035469606,8,0.20599983694881044,0.3034098252804348,3,1.1692996228499348,25.040604101794266,25.43920430322371,0
1,weighted_ess_resample,20000,20000,24000000,0.5197869006718732,0.8082150736381772,3.819564392811037,0.12451102881258283,0.2613976642849356,4,0.23340906507871162,0.2613976642849356,3,0.6207363017242541,204.68027152222038,204.68027152222038,4
1,weighted_ess_resample_costmatched,32684,32684,39220800,0.3639755446970318,0.8307074668391294,3.7361195385189094,0.08677353879332811,0.274266089966047,1,0.1252008869199504,0.274266089966047,1,0.38583282082831,322.1727792314295,322.1727792314295,4
2,minvar_branch,20000,49513,38432572,0.34846165841815013,1.0,1.0,0.158211224463401,0.36178998410143126,7,0.20885953769105314,0.36178998410143126,2,0.4612156059443761,553.0,1262.0,0
2,weighted,20000,20000,24000000,1.2119275553007811,0.09002404796855817,51.54088698904525,0.14324396995199115,0.33863865747332234,2,0.07839212136364014,0.18027391501696788,0,1.0526716820699045,21.210462991505125,31.973296338938056,0
