F,chi,M,seed,aborted,R05_0,R05_T,R05_ratio,t_focus10,t_turn,Cdrift_max,occ_max,Nu
16.0,1.0,16.0,0,False,0.6898061142379389,3.060839154129309,4.4372456128643645,nan,2.0,0.0007492058538678647,17204,20000
32.0,1.0,32.0,0,False,0.6898061142379389,2.963533960978449,4.2961839563460575,nan,2.0,0.0015988848276520583,17204,20000
64.0,1.0,64.0,0,False,0.6898061142379389,2.679603366911307,3.8845746820780067,nan,2.0,0.003913504781526884,17204,20000
128.0,1.0,128.0,0,False,0.6898061142379389,0.19257050465928421,0.27916613188044276,0.24,0.08,0.04201650927051318,17204,20000
