t,N,M_raw,M_clip,xc_x_raw,xc_y_raw,xc_x_clip,xc_y_clip,R_0.05_raw,R_0.1_raw,R_0.2_raw,R_0.3_raw,R_0.5_raw,R_0.8_raw,R_0.05_clip,R_0.1_clip,R_0.2_clip,R_0.3_clip,R_0.5_clip,R_0.8_clip,S_L2,peak,u_min
0.0,320,31.415926530163055,31.415926530163055,-4.27692817413266e-18,-7.06789929343137e-18,-4.27692817413266e-18,-7.06789929343137e-18,0.02470529422006551,0.03539457031678981,0.05156754261748123,0.06515869807810672,0.0908556258132772,0.13841464346616583,0.02470529422006551,0.03539457031678981,0.05156754261748123,0.06515869807810672,0.0908556258132772,0.13841464346616583,114.86813748577772,840.2294489451787,4.662094662272682e-16
5.012531328320803e-07,320,31.415926530163052,31.415926530163052,-8.257468150105828e-10,-8.257468162405731e-10,-8.257468150105828e-10,-8.257468162405731e-10,0.024296653933138623,0.03481207756660914,0.05075151179424236,0.06420383169257309,0.089722717477639,0.137355299918623,0.024296653933138623,0.03481207756660914,0.05075151179424236,0.06420383169257309,0.089722717477639,0.137355299918623,116.17494233790025,870.4442263839758,5.089235437907356e-16
1.0025062656641605e-06,320,31.41592653016305,31.41592653016305,-1.9069892687706674e-09,-1.9069892687158324e-09,-1.9069892687706674e-09,-1.9069892687158324e-09,0.023877063154352927,0.03426405271962339,0.04990711274071455,0.06327607909890955,0.08856442122014473,0.13624092047658093,0.023877063154352927,0.03426405271962339,0.04990711274071455,0.06327607909890955,0.08856442122014473,0.13624092047658093,117.51450752031806,901.6446868523544,5.432289473797917e-16
1.5037593984962408e-06,320,31.41592653016304,31.41592653016304,-3.0512947746800283e-09,-3.0512947769886613e-09,-3.0512947746800283e-09,-3.0512947769886613e-09,0.023480613516454057,0.03369010817268008,0.049204475071196706,0.06235190832055026,0.08747159414119744,0.13516331282316132,0.023480613516454057,0.03369010817268008,0.049204475071196706,0.06235190832055026,0.08747159414119744,0.13516331282316132,118.88741000978798,933.9348996132607,5.732745651743873e-16
2.005012531328321e-06,320,31.41592653016304,31.41592653016304,-4.221330603295962e-09,-4.221330601574514e-09,-4.221330603295962e-09,-4.221330601574514e-09,0.023077219194775917,0.03312793691072612,0.04840950763825467,0.06138957596099896,0.08633507062044087,0.13403618752018245,0.023077219194775917,0.03312793691072612,0.04840950763825467,0.06138957596099896,0.08633507062044087,0.13403618752018245,120.2941472127414,967.3624032705275,6.001337421687828e-16
2.5062656641604014e-06,320,31.415926530163034,31.415926530163034,-5.411350926035966e-09,-5.4113509220143935e-09,-5.411350926035966e-09,-5.4113509220143935e-09,0.022699068754895614,0.03256740124390225,0.04762178748522171,0.06047114350007666,0.08525073280046921,0.13292753592793222,0.022699068754895614,0.03256740124390225,0.04762178748522171,0.06047114350007666,0.08525073280046921,0.13292753592793222,121.73520828744726,1001.9676320569971,6.245825796154271e-16
3.0075187969924816e-06,320,31.415926530163027,31.415926530163027,-6.620205823417307e-09,-6.620205826432756e-09,-6.620205823417307e-09,-6.620205826432756e-09,0.022272914611228958,0.032041582815113066,0.04684129754525488,0.059572824022235585,0.08418061384899735,0.13184124308460674,0.022272914611228958,0.032041582815113066,0.04684129754525488,0.059572824022235585,0.08418061384899735,0.13184124308460674,123.21108458795008,1037.7911545977154,6.471981539863019e-16
3.508771929824562e-06,320,31.415926530163027,31.415926530163027,-7.847383311518581e-09,-7.847383316204781e-09,-7.847383311518581e-09,-7.847383316204781e-09,0.021931580786241474,0.031512629518314454,0.046107170132329484,0.058686190431693194,0.08304585429827106,0.13071360380889968,0.021931580786241474,0.031512629518314454,0.046107170132329484,0.058686190431693194,0.08304585429827106,0.13071360380889968,124.72227126851016,1074.8746972749468,6.68407463863908e-16
4.010025062656642e-06,320,31.415926530163024,31.415926530163024,-9.092451187330402e-09,-9.09245119282263e-09,-9.092451187330402e-09,-9.09245119282263e-09,0.02153558810576498,0.030944953510347654,0.045376209743355066,0.05783361248429515,0.08200256731533423,0.1296518448011773,0.02153558810576498,0.030944953510347654,0.045376209743355066,0.05783361248429515,0.08200256731533423,0.1296518448011773,126.26926760571541,1113.2613158701563,6.885267172138671e-16
4.511278195488723e-06,320,31.415926530163027,31.415926530163027,-1.0354979055769298e-08,-1.0354979053024874e-08,-1.0354979055769298e-08,-1.0354979053024874e-08,0.021166194601935893,0.030470343680375888,0.04463716221953533,0.0569530914697504,0.08087444450466899,0.12849659070761707,0.021166194601935893,0.030470343680375888,0.04463716221953533,0.0569530914697504,0.08087444450466899,0.12849659070761707,127.85257713379652,1152.9954522317682,7.077914378678116e-16
