step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,S_dg_raw_40,S_dg_cross_40,peak_dg_40,ppc_40,empty_40,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.0002564925024122629,-0.00013053632664816023,0.41386428799385755,0.041386428799385755,0.011880653383719289,0.10899841000546424,0.09108837467658959,0.13795476266461917,0.165278150478161,0.2330569621376486,40000,64000,72000,2.2009237646023108,832.3523471863231,428.9443519336394,114.84550680511656,114.84550680511656,0.0003,0.764245958935092,0,0,115.07419430798238,114.79434085901748,936.688338443869,50.0,0.708125,115.82477158554389,114.7607033004864,1053.1174062024807,12.5,0.76203125,118.82517795070565,114.77009326818832,1547.1716720582745,3.125,0.8129296875
4,1e-06,80000,10,31.41592653589793,31.41592653589793,0.00025392618635033547,-0.00014033275587500293,0.4081866260834516,0.04081866260834516,0.011547715619657077,0.10746029787627186,0.0889785749618118,0.13606220869448385,0.16355153709071268,0.23237666240781663,40000,64000,72000,2.1798503252191463,889.4303396039347,428.35624428436074,117.22348489987233,117.22348489987233,0.0003375,0.7669853831799109,0,0,117.43183378981246,117.16503572691542,1020.5455135742841,50.0,0.710625,118.20242590942685,117.17551324994686,1195.6495332147254,12.5,0.7634375,121.2005437770468,117.1990798266194,1796.2016492487228,3.125,0.8137109375
8,2e-06,80000,10,31.41592653589793,31.41592653589793,0.00024753501544615147,-0.00015552499212096956,0.402382212816606,0.0402382212816606,0.011220979196210689,0.10592912345625582,0.08702064553818736,0.13412740427220202,0.1617666260097599,0.23150940367405534,40000,64000,72000,2.1626364875588777,951.4735100978986,429.6028954092648,119.72529546729592,119.72529546729592,0.000475,0.7704972466328247,0,0,119.93725981884921,119.68197227315193,1060.9473658657084,50.0,0.71,120.70371833493479,119.6972478306703,1220.7668433383928,12.5,0.7634375,123.54632852770007,119.76170445585366,1635.45162937418,3.125,0.81640625
12,3e-06,80000,10,31.41592653589793,31.41592653589793,0.00024563928249881343,-0.00016479613295977157,0.39653564523324436,0.039653564523324435,0.010897505506677544,0.1043911179491701,0.08500811025765703,0.13217854841108145,0.15992977883045756,0.23080421801170792,40000,64000,72000,2.143769703418587,1017.754282980157,429.32652686935575,122.36537660260758,122.36537660260758,0.0006125,0.7775653934416676,0,0,122.55091198081553,122.29104697073541,1126.065840458317,50.0,0.710625,123.28503010839525,122.29764614105157,1335.7099555472164,12.5,0.76484375,126.11536355640382,122.31064526829817,1795.5988830097356,3.125,0.817421875
16,4e-06,80000,10,31.41592653589793,31.41592653589793,0.0002520468527562056,-0.0001797859521893172,0.39083102081260407,0.03908310208126041,0.010579858506033447,0.10285843915806543,0.08301052602829659,0.1302770069375347,0.15820529309561732,0.2298435447516624,40000,64000,72000,2.12394926727422,1087.4745776441061,429.57956794865623,125.1280459547891,125.1280459547891,0.0007375,0.7799598548362366,0,0,125.33172871315949,125.05702305367942,1203.4066611031774,50.0,0.71,125.98036671798134,124.98346180424336,1360.3673638949979,12.5,0.76625,128.70444345878553,125.00334301428369,1796.9547785893128,3.125,0.8190234375
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,0.00024879109264577896,-0.00019315326605761794,0.3848760654268063,0.03848760654268063,0.010267511628721382,0.10132873051963782,0.08095199943594944,0.12829202180893542,0.15629639199751907,0.22888406998520555,40000,64000,72000,2.103326413560639,1162.9648762775369,428.94198931006133,128.03584491469113,128.03584491469113,0.000825,0.7823115829368119,0,0,128.23823767052787,128.00890089113227,1268.0550382084386,50.0,0.710625,128.86727879373032,127.92217454841999,1479.125995266427,12.5,0.76703125,131.48747533303086,127.84978980930224,1975.693869986397,3.125,0.819921875
24,6e-06,80000,10,31.41592653589793,31.41592653589793,0.00024655547412105175,-0.00020809044616457287,0.3787061425880033,0.037870614258800325,0.009961303823507647,0.0998063315802542,0.07895296973242702,0.12623538086266775,0.15449734725144387,0.22803666742391587,40000,64000,72000,2.0848082683021185,1243.5901300476455,428.047288733281,131.089831506038,131.089831506038,0.0009875,0.7862795824747306,0,0,131.27250381585367,131.06121323687617,1305.7484001385722,50.0,0.713125,131.9334949014049,131.0388439871462,1524.5622472095404,12.5,0.7684375,134.61051783764935,130.93824659802263,1971.0577857956016,3.125,0.8221875
28,7e-06,80000,10,31.41592653589793,31.41592653589793,0.00024262157240326318,-0.00021291516270013748,0.3727010732248191,0.03727010732248191,0.009660499688633112,0.09828784100097586,0.0769949960691162,0.1242336910749397,0.15259375715605364,0.22723467632820094,40000,64000,72000,2.065864619141346,1332.0606602434518,427.45546006315413,134.30664259978857,134.30664259978857,0.0011875,0.788842375484298,0,0,134.48320699273938,134.2559919387622,1413.3657572181637,50.0,0.715,135.13688185169838,134.1770608769689,1543.7290882990678,12.5,0.769375,137.76210554349447,134.178199407014,2051.4076976577867,3.125,0.823125
32,8e-06,80000,10,31.41592653589793,31.41592653589793,0.0002391280507663913,-0.00023043903410423938,0.3663916806230872,0.03663916806230872,0.009366003922621642,0.09677811696154065,0.07512013004545456,0.12213056020769573,0.1508657886310853,0.22641116220332055,40000,64000,72000,2.0502684427142275,1423.1359229723014,426.96283490902715,137.64543338208202,137.64543338208202,0.001425,0.7911021876799624,0,0,137.84476406987594,137.6379517973699,1556.4793330600157,50.0,0.715,138.45103603556677,137.56532880217114,1723.3641760249197,12.5,0.77015625,141.0783131398369,137.73632278536383,2263.7114956757487,3.125,0.82453125
36,9e-06,80000,10,31.41592653589793,31.41592653589793,0.00023638437793842783,-0.00023351283133662759,0.3603796002843006,0.03603796002843006,0.009078811714690955,0.09528279862961077,0.07316354401027161,0.1201265334281002,0.14887021325174823,0.22578104982284491,40000,64000,72000,2.030179953375648,1520.332489998428,428.03711456873975,141.13799973021298,141.13799973021298,0.0018,0.7970710965672116,0,0,141.3321412521723,141.12620063457,1674.7916930643264,50.0,0.713125,141.9902663365908,141.17474204072835,1710.5333568629687,12.5,0.77015625,144.46540357374832,141.19052399319074,2410.344052476187,3.125,0.826171875
