step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.00017592213060875532,-0.00010815205978851175,0.41502970175702614,0.04150297017570261,0.011908612310654645,0.10912658846795609,0.03541177348271342,0.05167699561835202,0.09075627577967588,0.1383432339190087,0.16597825787289616,0.23297720922277604,40000,64000,72000,2.186741705363728,836.3707353298093,421.681559471009,114.84426357571611,114.84426357571611,0.000375,0.9023190793395833,0,0,0.9023190793395833,0.7955463791998602,2552.1437591800873,2250.1449579225027,two_level_blob_residual,0.024901782105421568,0.07440051355299528,115.80849536141584,114.69085003775302,1087.3587446941322,12.5,0.763125,118.82588087384686,114.73632265018747,1512.172683596814,3.125,0.813515625
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00015956558796152403,-9.830741661880814e-05,0.4087812225238324,0.04087812225238324,0.011549511156567724,0.10746865197148293,0.034247807017714085,0.05002338176281153,0.08860213199196476,0.13626040750794413,0.16416687903052454,0.23250085544921234,40000,64000,72000,2.167470693612869,898.564949245625,421.6016025969916,117.44134555793289,117.44134555793289,0.000475,0.9043575054975512,0,0,0.9043575054975512,0.7988391633649368,2557.9092990170757,2259.45835797094,two_level_blob_residual,0.024526873351429945,0.07228852282063543,118.3881341385474,117.36056092743847,1187.4807888602686,12.5,0.76453125,121.27173092145107,117.26319274925282,1703.6316182795886,3.125,0.8149609375
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.0001359748856450117,-0.00010089703887935252,0.402488324254646,0.0402488324254646,0.011198931409963335,0.10582500370878016,0.03312556684887365,0.04843616261005064,0.08644878856351916,0.13416277475154867,0.16226633447545138,0.23168847233662987,40000,64000,72000,2.147858294364455,964.6330479072734,420.1403023424194,120.16801934436099,120.16801934436099,0.000525,0.9054531296381582,0,0,0.9054531296381582,0.8029750316660105,2561.008192054895,2271.156360058075,two_level_blob_residual,0.024149299455278758,0.07018734118347666,121.08113137333231,120.02876619898893,1180.1013966955743,12.5,0.76484375,123.96995722391482,119.97151153303561,1699.113229515989,3.125,0.8159375
12,3e-06,80000,10,31.41592653589793,31.41592653589793,-0.00011787179356877634,-9.666213918788774e-05,0.39574002346718906,0.03957400234671891,0.010851949588267363,0.10417269118280166,0.03208237779407163,0.0468508373410425,0.08430637203038849,0.1319133411557297,0.16030421475489895,0.23071968071426843,40000,64000,72000,2.1303473753237485,1036.4938667094364,419.4383840400298,123.05596905103222,123.05596905103222,0.00065,0.911980354029406,0,0,0.911980354029406,0.8096775983142972,2579.4699705724056,2290.1140813715083,two_level_blob_residual,0.023744401408031343,0.06801142600339888,123.96050854214037,122.88765453963804,1237.5694290385616,12.5,0.76609375,126.89688837053754,122.99393049457021,1840.9298464351577,3.125,0.8176953125
16,4e-06,80000,10,31.41592653589793,31.41592653589793,-8.930619064900669e-05,-8.335791304672405e-05,0.3892086258123673,0.03892086258123673,0.010513459920629126,0.1025351643126841,0.031090697524359303,0.04545438517696475,0.08216686566296168,0.12973620860412244,0.15856570466491796,0.23017895185606746,40000,64000,72000,2.1111265324981083,1113.7250007190394,420.26704002288557,126.10152241481086,126.10152241481086,0.0007625,0.9136060335927307,0,0,0.9136060335927307,0.8116215301801563,2584.068086745459,2295.6123509895624,two_level_blob_residual,0.023352517548742038,0.06592621903785889,127.04337860017914,126.02550116452144,1393.7699786812236,12.5,0.76640625,129.82245850073855,126.10953285815239,2022.7738536533911,3.125,0.818828125
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,-6.559602993519079e-05,-7.74277526254338e-05,0.3823460685581408,0.03823460685581408,0.010181887931491534,0.10090534144182622,0.03012862623338027,0.04404760520929091,0.08007061942314371,0.12744868951938026,0.1565353858454323,0.22985268621663946,40000,64000,72000,2.0941923039799195,1195.6787980508288,420.6215659653333,129.30543058433733,129.30543058433733,0.000975,0.9154013757272974,0,0,0.9154013757272974,0.815576049023744,2589.146081137067,2306.7974193520863,two_level_blob_residual,0.022940764113488447,0.06372012177489428,130.21584027719516,129.28446940815294,1477.8210928099932,12.5,0.7665625,132.89786649309997,129.27538323054557,1897.677251247258,3.125,0.8201171875
24,6e-06,80000,10,31.41592653589793,31.41592653589793,-3.374804033829425e-05,-7.752448831272172e-05,0.37586718625608484,0.03758671862560849,0.009859659413907231,0.09929581770602039,0.029125394754577056,0.04261471403356137,0.07806946959433472,0.1252890620853616,0.15471140672347683,0.22895330973202083,40000,64000,72000,2.077049352777091,1285.1376080982755,421.0514909850072,132.6710893988928,132.6710893988928,0.001225,0.9245091147593208,0,0,0.9245091147593208,0.8210666165214296,2614.9066572603515,2322.32708939279,two_level_blob_residual,0.02255203117536509,0.06175932061215909,133.6142353703021,132.70271590010904,1595.420830058487,12.5,0.76828125,136.28650678951658,132.66373207255094,2062.8460025388385,3.125,0.822265625
28,7e-06,80000,10,31.41592653589793,31.41592653589793,-5.075837697361363e-06,-7.147104045458937e-05,0.3691037030251484,0.03691037030251484,0.009545636141663512,0.09770177143564754,0.028136300642886122,0.04125713159925432,0.07596540119659667,0.12303456767504947,0.15273798585451034,0.22793075639726879,40000,64000,72000,2.058104553652253,1377.9876941094349,419.9075966069775,136.21195904532624,136.21195904532624,0.0015375,0.9351442759721585,0,0,0.9351442759721585,0.8281547008150348,2644.98743571079,2342.3752192713105,two_level_blob_residual,0.022146222181508902,0.05970867053879659,137.2021048916285,136.29456489663175,1869.6330205441234,12.5,0.7690625,139.72243623379833,136.21666174254096,2105.7273067837423,3.125,0.82265625
32,8e-06,80000,10,31.41592653589793,31.41592653589793,2.6252619614527508e-05,-7.356445611348211e-05,0.3627253666516148,0.03627253666516148,0.009237908125142247,0.09611403708690135,0.02734148112411845,0.039938744796580994,0.07395541516908413,0.12090845555053827,0.15077242683103825,0.22687149729610517,40000,64000,72000,2.0388818088952614,1477.372992965833,419.32290867746434,139.9300560284254,139.9300560284254,0.0020375,0.937609656006887,0,0,0.937609656006887,0.8325691784620548,2651.9605834738236,2354.861247589727,two_level_blob_residual,0.02176352199909689,0.05776661837498242,140.96193336552224,140.06652221851144,1825.734218577504,12.5,0.7709375,143.53606766248728,140.04731984012074,2341.0267545671227,3.125,0.825078125
36,9e-06,80000,10,31.41592653589793,31.41592653589793,5.1224900584718605e-05,-6.905093614718408e-05,0.3563429948278093,0.03563429948278093,0.008936427766034243,0.09453268094174756,0.02648046708820993,0.03859371585636826,0.07195099236748334,0.11878099827593643,0.1487970519235364,0.22588057955963495,40000,64000,72000,2.0191499036553595,1582.6968132340503,419.2190551256639,143.84910766761968,143.84910766761968,0.0024,0.9463178450393297,0,0,0.9463178450393297,0.838435692103472,2676.591061540602,2371.4542539008053,two_level_blob_residual,0.021380579689668555,0.05588255029392564,144.98748483258785,144.18402269279304,1888.1368181806754,12.5,0.77109375,147.4108218531826,144.31453519097496,2391.739136803105,3.125,0.8259375
