seed,method,t,total_mass,L1_err,L2_rel_err,peak_height,peak_height_err,peak_loc_err,local_mass_B,local_mass_B_err,global_nESS,local_nESS_B,max_w_over_mean_w,N_active,N_local_B,runtime_s
0,weighted,0.0,40.263815767235954,7.066011241885772,0.21708568852733326,1.949793663786021,0.45009476950832195,0.7903678776846799,1.532843625762523,0.053944696373251055,1.0,1.0,1.0,20000,nan,89.47343134880066
0,poisson,0.0,40.263815767235954,7.066011241885772,0.21708568852733326,1.9497936637860211,0.45009476950832217,0.7903678776846799,1.5328436257625235,0.0539446963732515,nan,nan,nan,20000,768,89.47343134880066
0,minvar,0.0,40.263815767235954,7.066011241885772,0.21708568852733326,1.9497936637860211,0.45009476950832217,0.7903678776846799,1.5328436257625235,0.0539446963732515,nan,nan,nan,20000,768,89.47343134880066
0,weighted,0.052000000000000005,39.09853641048858,6.855464934896902,0.21849223962044786,2.739121786142652,0.6051819846767095,0.33383031115829304,1.9234957158892074,0.028957865091961743,0.9946920471555857,0.9963719935234666,1.480078451688956,20000,nan,89.47343134880066
0,poisson,0.052000000000000005,39.14045530733007,7.032979895437769,0.22123027582739058,2.1644531711880397,0.030513369722097394,0.2609030311865269,1.9260620290637078,0.031524178266462144,nan,nan,nan,19442,957,89.47343134880066
0,minvar,0.052000000000000005,39.16058721521369,7.154094200827808,0.22839381024318464,2.5401204976415728,0.40618069617563046,0.19787757588595392,1.989000729096446,0.0944628782992003,nan,nan,nan,19452,984,89.47343134880066
0,weighted,0.10400000000000001,38.16391273401315,6.740865931180099,0.21953316673449236,3.4650453773993424,0.45247943695050585,0.12271846303085132,2.499830568308847,0.07147618595335592,0.972938577225222,0.9850903484304881,2.1776301541039977,20000,nan,89.47343134880066
0,poisson,0.10400000000000001,38.129833531572444,7.087805101867431,0.22952854573281087,3.5186758514411314,0.5061099109922949,0.3274537016447048,2.447195732056376,0.018841349700885246,nan,nan,nan,18940,1230,89.47343134880066
0,minvar,0.10400000000000001,38.22646668941382,7.0580548757937756,0.22549688898471046,3.563717675813795,0.5511517353649587,0.2699806186678728,2.4821361053599587,0.05378172300446771,nan,nan,nan,18988,1241,89.47343134880066
0,weighted,0.156,37.49949075673268,6.32505832177667,0.2054910227090973,4.824304752522758,0.6023598804622541,0.22089323345553247,3.191933388165409,0.07618830491078299,0.9237589890187061,0.9656420979515389,3.183154119235321,20000,nan,89.47343134880066
