step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.05,R_0.1,R_0.2,R_0.3,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.00014152332180111126,-0.00017593831783516123,0.49788878589578955,0.04978887858957896,0.011948212486302031,0.10930787934225981,0.024798004454317846,0.03573119634795941,0.05161643994135021,0.06516113912443332,0.0908995602605841,0.13865680474847492,0.16596292863192985,0.23500810496462557,40000,64000,72000,1.825700092783568,829.7942967875558,428.6337647496683,114.77355170915155,114.77355170915155,1.25e-05,0.6645627503471705,0,0,0.6645627503471705,0.6645627503471705,2101.5319392029132,2101.5319392029132,current_fourier,nan,nan,115.83451040416209,114.77659789180457,1064.6238564388163,12.5,0.75984375,118.80846685406895,114.69754247919225,1766.0601237299197,3.125,0.8113671875
5,1e-06,80000,10,31.41592653589793,31.41592653589793,0.00015321197130491082,-0.00015707757909922705,0.4929653194568069,0.04929653194568069,0.011630832249432206,0.10784633628191644,0.024178671685353287,0.03471446227355325,0.05018201932707079,0.06354514857776823,0.08898402992532878,0.13674418084942472,0.16432177315226895,0.23460358431351744,40000,64000,72000,1.8050768768760306,882.5437086384878,428.9728928359387,117.01722327462548,117.01722327462548,1.25e-05,0.665642482597585,0,0,0.665642482597585,0.665642482597585,2104.946352377362,2104.946352377362,current_fourier,nan,nan,118.0117214972762,116.97338549204719,1130.9611765057407,12.5,0.76046875,120.96657367784533,116.9390112282698,1653.5810943697506,3.125,0.81234375
10,2e-06,80000,10,31.41592653589793,31.41592653589793,0.00016453205852396327,-0.00014964646101258046,0.4882149429446879,0.04882149429446879,0.011317522809962049,0.10638384656498395,0.02345707008716789,0.03369482315266625,0.04876143558815125,0.06191333231995869,0.08719379471806923,0.1348549247845134,0.16273831431489597,0.23363642196313977,40000,64000,72000,1.7859714451212079,940.2383774194373,428.9301429951294,119.3750012757288,119.3750012757288,1.25e-05,0.6675308976069799,0,0,0.6675308976069799,0.6675308976069799,2110.9180449746987,2110.9180449746987,current_fourier,nan,nan,120.34698357986002,119.37949621246597,1208.213053108527,12.5,0.76234375,123.30927525989192,119.42735781897282,1695.5688922155555,3.125,0.81453125
15,3e-06,80000,10,31.41592653589793,31.41592653589793,0.0001768513491931859,-0.00014109391745597096,0.48298456486853714,0.048298456486853714,0.011009986061898035,0.10492848069946517,0.022716313503966395,0.03263481577514834,0.04745288740852142,0.06030019973875045,0.08532179212781126,0.13305058072906883,0.16099485495617905,0.23278017414821373,40000,64000,72000,1.7665531848007372,1000.7280908761535,429.16700699943397,121.83521921781507,121.83521921781507,1.25e-05,0.6695395457548786,0,0,0.6695395457548786,0.6695395457548786,2117.2699481399372,2117.2699481399372,current_fourier,nan,nan,122.80654493622025,121.83609004317837,1232.112289651403,12.5,0.76203125,125.68098797917611,121.83136237324793,1725.7456509848305,3.125,0.8165234375
20,4e-06,80000,10,31.41592653589793,31.41592653589793,0.00019344284916846847,-0.00012987242170586823,0.4781687530251557,0.04781687530251557,0.010706031043434065,0.10346995236992267,0.022055966787422963,0.0317597748290128,0.04611721118337025,0.05871289736526549,0.08350412453292329,0.1311013463001243,0.15938958434171857,0.23190745025463103,40000,64000,72000,1.746331687393431,1065.630560180217,429.2310351534411,124.42496791445944,124.42496791445944,1.25e-05,0.670021903084904,0,0,0.670021903084904,0.670021903084904,2118.795295948895,2118.795295948895,current_fourier,nan,nan,125.35426358402856,124.41651079009505,1334.2855011223508,12.5,0.76359375,128.1361207937733,124.37326924811498,2000.0219669063388,3.125,0.8185546875
25,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,0.00019635704419119617,-0.00012000574951761623,0.47278154574965237,0.04727815457496524,0.010407903843520283,0.10201913469305786,0.021364216606487865,0.03083137927234996,0.044828317168517096,0.057183517338619816,0.08160487548992064,0.12924476461448453,0.15759384858321746,0.23133286119958357,40000,64000,72000,1.726058815610627,1133.2333641148127,429.62766836434133,127.1205293254239,127.1205293254239,1.25e-05,0.6717990164037424,0,0,0.6717990164037424,0.6717990164037424,2124.4150216966455,2124.4150216966455,current_fourier,nan,nan,128.03473264033366,127.09589602462498,1453.935966702929,12.5,0.7646875,130.81890029225107,127.08114489987183,1730.5106239069821,3.125,0.81859375
30,6e-06,80000,10,31.41592653589793,31.41592653589793,0.0001995078119740296,-9.90877233911912e-05,0.4677813126776563,0.04677813126776563,0.010113313441337347,0.10056497124415313,0.020793651308158856,0.02992565640833993,0.04354976910377794,0.055615028403950106,0.07967597420961589,0.12729518966856165,0.15592710422588543,0.23040361480694063,40000,64000,72000,1.7032739882988839,1206.2625280899383,430.4316014545283,129.9666543672396,129.9666543672396,1.25e-05,0.6743694677937181,0,0,0.6743694677937181,0.6743694677937181,2132.5435027037142,2132.5435027037142,current_fourier,nan,nan,130.89608041321492,129.96226301110167,1481.2328717320484,12.5,0.7640625,133.5185438200597,129.89012090883622,2000.2852909239116,3.125,0.8211328125
35,7e-06,80000,10,31.41592653589793,31.41592653589793,0.00020579692133402796,-8.56525832257253e-05,0.4627956913045721,0.04627956913045721,0.009823918308409224,0.0991156814455171,0.02014074633876329,0.02896797837203853,0.04227807860959725,0.054168543568772515,0.07786068313085276,0.12534086871791575,0.15426523043485738,0.22955422163890116,40000,64000,72000,1.6823986176572157,1284.8486543904241,430.32605245877295,132.94817496530572,132.94817496530572,2.5e-05,0.676087193411907,0,0,0.676087193411907,0.676087193411907,2137.975428052412,2137.975428052412,current_fourier,nan,nan,133.85003632545315,132.98338854716022,1595.0662510573113,12.5,0.766875,136.4845772332195,132.86462004835872,2204.368698488026,3.125,0.8224609375
40,8e-06,80000,10,31.41592653589793,31.41592653589793,0.0002082246128377114,-6.918163676975083e-05,0.4575139475398633,0.04575139475398633,0.009541161449180295,0.09767886900031293,0.019395493726278457,0.028151960234889657,0.041083472285417005,0.05266235218634704,0.0760090051164975,0.12339454045435654,0.15250464917995443,0.2287744390805509,40000,64000,72000,1.6613483703657976,1367.694595877381,429.3867733595605,136.05768438967485,136.05768438967485,3.75e-05,0.6777635256082153,0,0,0.6777635256082153,0.6777635256082153,2143.2764559078187,2143.2764559078187,current_fourier,nan,nan,136.9459551940872,136.07985105444482,1653.5187700593142,12.5,0.765625,139.5542767638378,136.17030444640707,2141.260037013921,3.125,0.8233984375
45,9e-06,80000,10,31.41592653589793,31.41592653589793,0.0002054194931993601,-5.401610823049542e-05,0.4517714516742942,0.04517714516742942,0.009262642451980248,0.09624262284445623,0.018879711721157308,0.02732898510436101,0.03989195744017883,0.051226066693513136,0.0740872806312215,0.12145965137576724,0.1505904838914314,0.22790410555969745,40000,64000,72000,1.6399283389122807,1454.2626397825093,429.67286325323175,139.30720745850135,139.30720745850135,5e-05,0.6797045535236039,0,0,0.6797045535236039,0.6797045535236039,2149.4145251224154,2149.4145251224154,current_fourier,nan,nan,140.18714929245215,139.32320073697866,1793.5494412954506,12.5,0.768125,142.80829266022832,139.325330806785,2342.4138481290274,3.125,0.82515625
50,9.999999999999999e-06,80000,10,31.41592653589793,31.41592653589793,0.00020510593025686573,-4.099117371325757e-05,0.44598440403830386,0.04459844040383039,0.008991028956444129,0.09482103646577657,0.018211513308363313,0.02643791243491716,0.038766982813421794,0.04978793091329662,0.07233336008031024,0.11947334433349359,0.14866146801276794,0.22687808229532513,40000,64000,72000,1.621880931829576,1547.0222232036606,430.4215513576665,142.68883207107163,142.68883207107163,8.75e-05,0.681521901292347,0,0,0.681521901292347,0.681521901292347,2155.1614833722683,2155.1614833722683,current_fourier,nan,nan,143.5314950656612,142.74810193007767,1889.762425972027,12.5,0.77,146.09369712846544,142.8275671876844,2565.1973842078896,3.125,0.8255859375
55,1.1e-05,80000,10,31.41592653589793,31.41592653589793,0.0002014213849562899,-2.1910134668989348e-05,0.4406859433731381,0.04406859433731381,0.008722606785076522,0.0933948969969801,0.017697529942132313,0.025640133282469266,0.03760276776187121,0.048391813075200296,0.07052757460876677,0.11754506080715399,0.1468953144577127,0.2259003014016242,40000,64000,72000,1.6004044528611066,1644.0837191782232,430.3718030027097,146.23367894098695,146.23367894098695,8.75e-05,0.6839441264301628,0,0,0.6839441264301628,0.6839441264301628,2162.8212318134815,2162.8212318134815,current_fourier,nan,nan,147.0924321247498,146.348184935049,1998.5295212276983,12.5,0.77046875,149.5091101142211,146.38866290343339,2403.2610747396593,3.125,0.8271484375
60,1.2e-05,80000,10,31.41592653589793,31.41592653589793,0.00020823734445493233,-3.7788917671281788e-06,0.4353192976981757,0.04353192976981757,0.008461475720255853,0.09198628006532199,0.017133418011293113,0.024873751459548375,0.036518236131823735,0.04707273661777282,0.06885142539901422,0.1154865390161544,0.14510643256605857,0.2251439116340283,40000,64000,72000,1.5816304437473312,1746.801500596033,430.9036446087067,149.90642268175722,149.90642268175722,0.0001125,0.6851361458840243,0,0,0.6851361458840243,0.6851361458840243,2166.5907283029137,2166.5907283029137,current_fourier,nan,nan,150.7868689039443,149.95226342333402,2337.9900093684646,12.5,0.77328125,153.17834787218783,150.0245372335542,2637.8982786577526,3.125,0.8284765625
65,1.3e-05,80000,10,31.41592653589793,31.41592653589793,0.00020363858690466456,1.8257994087546284e-05,0.4294874690884176,0.04294874690884176,0.00820409001003308,0.09057643186852239,0.01654250900432861,0.024090258152513276,0.03533256671010309,0.04572334210771545,0.0670814364155187,0.11351684613367533,0.1431624896961392,0.22410487845534888,40000,64000,72000,1.5618950782871104,1859.0275485218765,430.73856659388196,153.80196663488405,153.80196663488405,0.000125,0.6876811089771826,0,0,0.6876811089771826,0.6876811089771826,2174.6386082383615,2174.6386082383615,current_fourier,nan,nan,154.704230626151,153.9263724216497,2366.834912788901,12.5,0.7734375,156.99902423685793,153.925199024324,2797.9798988524017,3.125,0.830078125
70,1.4e-05,80000,10,31.41592653589793,31.41592653589793,0.0001952693753859833,4.332357101443978e-05,0.42400685348151007,0.04240068534815101,0.007951602719816658,0.08917175965414531,0.016045669984222907,0.023364855225577352,0.034333485342699796,0.0444402639920318,0.06536702113020768,0.11153239384648642,0.14133561782717002,0.22318071284567453,40000,64000,72000,1.5416501076216254,1973.7369427590702,428.79425515896486,157.826385654313,157.826385654313,0.0001875,0.6918577706444036,0,0,0.6918577706444036,0.6918577706444036,2187.846372122696,2187.846372122696,current_fourier,nan,nan,158.6853709604837,157.89440661091058,2489.97837544118,12.5,0.774375,161.00117245389842,157.9399791697558,2982.0553627374056,3.125,0.8324609375
75,1.4999999999999999e-05,80000,10,31.41592653589793,31.41592653589793,0.0001875926856149235,6.226674222524405e-05,0.41836417759353484,0.041836417759353484,0.0077065747333476126,0.08778709890039431,0.015549650569779703,0.022637765049040977,0.03332150391932889,0.04313572067005823,0.06369191448062,0.10950975247496703,0.1394547258645116,0.22203953295064835,40000,64000,72000,1.5224036352008228,2095.3040693135554,429.03994213001243,162.0206395800419,162.0206395800419,0.0002,0.6932046953533539,0,0,0.6932046953533539,0.6932046953533539,2192.1057220397383,2192.1057220397383,current_fourier,nan,nan,162.91963838226854,162.1492617113002,2627.6856761453773,12.5,0.77515625,165.14210177740284,162.19154129034686,2980.6659308803637,3.125,0.8332421875
