t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,2,80000,0,10.0,0.0,0.0,0.0,0.0,0.0,0.00014464747260814297,0.0,0.0,0.0,0
0.02,2,80000,1659,10.0,0.207375,0.19801326693244747,0.0,0.00936173306755253,0.04727831226958292,0.00013559428258572883,4.30817604996315e-05,0.010449200491352508,0.08992150909273047,1659
0.04,2,80000,3238,10.0,0.40475,0.39210560847676823,0.0,0.012644391523231768,0.03224741306902508,0.00016069949838330125,5.967913199560267e-05,0.012633852678336813,0.13644885858870365,3238
0.06,2,80000,4833,10.0,0.604125,0.5823546641575128,0.0,0.02177033584248722,0.03738329437780354,9.099725037060733e-05,0.00010165965087314199,0.022663797518010217,0.17070807720261227,4833
0.08,2,80000,6333,10.0,0.791625,0.7688365361336424,0.0,0.022788463866357578,0.02964019371524299,0.00019477518271234596,0.00012455762204735473,0.020659365308078485,0.1771048851853951,6333
0.1,2,80000,7780,10.0,0.9725,0.9516258196404048,0.0,0.020874180359595207,0.021935281629373013,0.00017436975143207006,9.803937332576283e-05,0.020883780340310014,0.17584023716943434,7780
0.12,2,80000,9206,10.0,1.15075,1.1307956328284252,0.0,0.019954367171574727,0.01764630724798916,0.00017700305908569246,7.527736310123763e-05,0.020808604474758213,0.16696461185256525,9206
0.14,2,80000,10608,10.0,1.326,1.3064176460119414,0.0,0.01958235398805863,0.014989352025240201,0.0002151288891193863,7.276315749879049e-05,0.01844391338271031,0.1564464379258129,10608
0.16,2,80000,11938,10.0,1.49225,1.4785621103378865,0.0,0.01368788966211354,0.009257568259331042,0.00022082371431730172,6.876892018635497e-05,0.015215477088837718,0.1524781078186298,11938
0.18,2,80000,13322,10.0,1.6652500000000001,1.64729788588728,0.0,0.01795211411272013,0.010897916076090043,0.00018174267196421505,8.05424025975294e-05,0.01680755888744621,0.14739858875121017,13322
0.2,2,80000,14646,10.0,1.83075,1.8126924692201818,0.0,0.01805753077981831,0.009961717768699418,0.0001510095058489399,0.00010504320954487222,0.02213687884744775,0.1380999021911829,14646
0.22,2,80000,15914,10.0,1.98925,1.974812020375215,0.0,0.01443797962478488,0.007311065294225654,0.00021634331465792686,0.00010267456522421285,0.020260763076791116,0.13456627063441956,15914
0.24,2,80000,17132,10.0,2.1415,2.1337213893344664,0.0,0.007778610665533758,0.0036455606174337508,0.0002321960076965013,0.000106850472273735,0.0200234561677235,0.1270379964183738,17132
0.26,2,80000,18375,10.0,2.296875,2.2894841419643375,0.0,0.007390858035662529,0.003228176120635324,0.00023394385578763227,0.00010355517888003277,0.017046903941395786,0.12542995590271544,18375
0.28,2,80000,19565,10.0,2.445625,2.4421625854427456,0.0,0.0034624145572546006,0.0014177657859035994,0.00021309315188193276,9.874210178175693e-05,0.020406550434737037,0.12100808627112479,19565
0.3,2,80000,20834,10.0,2.60425,2.5918177931828215,0.0,0.012432206817178493,0.004796713275863197,0.00017973643421260066,0.00011094707684682027,0.01840007578859578,0.1158716108982359,20834
0.32,2,80000,21976,10.0,2.747,2.7385096292630906,0.0,0.00849037073690928,0.003100361834109733,0.00018193951042871603,0.00010615309852475026,0.019719367179711615,0.11057797863820246,21976
0.34,2,80000,23131,10.0,2.891375,2.8822967723739037,0.0,0.009078227626096336,0.00314965055406816,0.00017362125325627933,0.00012452607874144288,0.019837949852219657,0.10655288278717019,23131
0.36,2,80000,24224,10.0,3.028,3.0232367392896897,0.0,0.004763260710310302,0.0015755500217390951,0.00019284309943426618,0.0001286541200708879,0.01987012417448265,0.10310889390232737,24224
0.38,2,80000,25325,10.0,3.165625,3.1613859078764417,0.0,0.004239092123558219,0.0013408967608151614,0.00022907928972526858,0.00013045329059762563,0.017466351103479934,0.0992783127966213,25325
0.4,2,80000,26451,10.0,3.306375,3.2967995396436067,0.0,0.00957546035639334,0.0029044715158594307,0.0002418775138267104,0.0001457602923199712,0.018274263954118387,0.0976957094597593,26451
0.42,2,80000,27456,10.0,3.432,3.4295318018494325,0.0,0.0024681981505674244,0.0007196895358242216,0.0002104122562370622,0.00013497778634059368,0.020385988656392198,0.09350857735470847,27456
0.44,2,80000,28431,10.0,3.553875,3.559635789168587,0.0,0.005760789168586911,0.001618364773754688,0.00021987965893837834,0.00011725707961873624,0.020854248828923297,0.08897515227898974,28431
0.46,2,80000,29525,10.0,3.6906250000000003,3.6871635449307405,0.0,0.0034614550692597668,0.0009387853365003875,0.0002237139245306799,0.00013952491243625822,0.022084217361146467,0.08787368178160608,29525
0.48,2,80000,30503,10.0,3.812875,3.8121660819385914,0.0,0.0007089180614086033,0.00018596200851986463,0.00021111626911794878,0.0001528973908904133,0.019843930026781555,0.08442109036922632,30503
0.5,2,80000,31470,10.0,3.9337500000000003,3.9346934028736658,0.0,0.0009434028736654554,0.00023976528208689656,0.00021526857953543802,0.0001617775463483353,0.015203652471134643,0.0797654385098511,31470
0.52,2,80000,32451,10.0,4.056375,4.054794520298057,0.0,0.0015804797019427497,0.00038978046705719945,0.0001905960960411461,0.0001742234232117441,0.017874617865640326,0.07698623166846208,32451
0.54,2,80000,33320,10.0,4.165,4.172517476260103,0.0,0.007517476260103351,0.0018016644155176528,0.00022502709435771133,0.00015096338507566403,0.020622534744880495,0.07529500597058679,33320
0.56,2,80000,34250,10.0,4.28125,4.2879093615118515,0.0,0.006659361511851536,0.0015530555686707767,0.00022595724672886286,0.00018595420724041903,0.020293615268042475,0.07326590673153795,34250
0.58,2,80000,35192,10.0,4.399,4.40101633434598,0.0,0.002016334345979587,0.00045815197963341064,0.00022851011185865747,0.0001905916495403005,0.020552620949285286,0.07137907512148313,35192
0.6,2,80000,36160,10.0,4.5200000000000005,4.511883639059736,0.0,0.008116360940264578,0.0017988852527136548,0.00022162214771179263,0.00015732844306112176,0.018706118338460344,0.0681793100553224,36160
