config,theta,low_group,high_group,n_low,n_high,n_seed_low,n_seed_high,tmax_complete,tb,ci_low,ci_high,ratio_max,ldg_ref_80_160,ldg_ref_160_320,on_ldg_scale,fraction_reached_T_low,fraction_reached_T_high,t_end_mean_low,t_end_mean_high,cfl_solver_max_mean_low,cfl_solver_max_mean_high,cfl_fourier_max_mean_low,cfl_fourier_max_mean_high,R02_tm_mean_low,R02_tm_mean_high,residual_E_tm_mean_low,residual_E_tm_mean_high,valid_main_tb,invalid_reason
current_fourier,1.05,N80000_dg80,N320000_dg160,80000,320000,4,4,0.00011899999999999999,8.499999999999999e-05,7.3e-05,0.000107,1.4797286613015277,5.95e-05,8.43e-05,True,1.0,0.25,0.00019999999999999998,0.00015824999999999997,3.111239004867764,4.168313319946747,3.111239004867764,4.168313319946747,0.012846723789315511,0.00664983148367925,nan,nan,True,
blob_ch006,1.05,N80000_dg80,N320000_dg160,80000,320000,4,4,0.00013199999999999998,8.2e-05,6.9e-05,0.000107,1.5329888145356516,5.95e-05,8.43e-05,True,1.0,0.75,0.00019999999999999998,0.00018299999999999998,3.262254814383724,3.1836863363443904,2.8715495528882804,2.6666601691621925,0.014014676133807344,0.00998433933160089,0.017880203167181967,0.011140803051289597,True,
blob_ch009,1.05,N80000_dg80,N320000_dg160,80000,320000,4,4,0.000124,9.6e-05,7.9e-05,0.000103,1.693576263705397,5.95e-05,8.43e-05,True,1.0,0.5,0.00019999999999999998,0.00016274999999999997,2.4900113187486697,4.28140619717683,3.6716766284006317,6.564975020230763,0.01321964926892371,0.0063824662432234265,0.009336754299150558,0.005677847674857148,True,
