method,resolution,q_set,n_seed,n_boot_valid,T_qwindow_median,T_qwindow_p10,T_qwindow_p90,T_boot_median,T_boot_p10,T_boot_p90,n_seed_eff_min_in_windows
particle,80000,"0.1,0.2,0.3",4,573,0.00015046897536227343,0.00013932332931483523,0.00016151189620969216,0.00015046897536227343,9.61037424926755e-05,0.00019632688668799267,4
particle,80000,"0.2,0.3",4,488,0.00015046897536227343,0.00013932332931483523,0.00016151189620969216,0.00015046897536227343,0.00011096607612214599,0.0001963268866879927,4
particle,80000,0.2,4,303,0.00015046897536227343,0.00015046897536227343,0.00015046897536227343,0.00015046897536227343,0.00011096607612214599,0.00015247850038491815,4
particle,80000,0.3,4,306,0.00015040477211226126,0.0001393104886648328,0.00016149905555968972,0.0001532729388698729,0.0001504047721122612,0.0001963268866879927,4
particle,320000,"0.1,0.2,0.3",4,860,0.00012915462308462573,0.00011532758852562846,0.00013357826843561643,0.00012592685255142299,0.0001108413503838194,0.000136393545457347,3
particle,320000,"0.2,0.3",4,877,0.00012915462308462573,0.00011532758852562846,0.00013357826843561643,0.0001268946226431828,0.0001108413503838194,0.000136393545457347,3
particle,320000,0.2,4,610,0.00013271451647468277,0.00012986660176263714,0.00013444202039655006,0.00013271451647468274,0.0001255787126691695,0.0001385681992899198,3
particle,320000,0.3,4,854,0.00012320370425224585,0.00011121309948051591,0.00012968072231504232,0.00012320370425224583,0.00011075919088395811,0.0001348560544041172,3
