method,resolution,seed_group,q,q_set,window_start,window_end,quantity,alpha,beta,T_est,R2_fit,n_points,valid_fit,invalid_reason
LDG,80,ens,-1,,7e-05,0.00012,L2,2.2328824920935597e-06,0.007736598147981903,0.0002886129600354141,0.8322811663415945,101,False,R2<0.9 (curved)
LDG,80,ens,-2,,4e-05,9e-05,peak,9.860854031031136e-05,1.0412908738877462,9.469836218015449e-05,0.8034297526934852,101,False,R2<0.9 (curved)
LDG,80,ens,-2,,5e-05,0.0001,peak,5.627730000260636e-05,0.45299740462773824,0.00012423316210575998,0.7448186718419056,101,False,R2<0.9 (curved)
LDG,80,ens,-2,,6e-05,0.00011,peak,3.330163080398249e-05,0.17459901068061776,0.00019073207044053032,0.6999633969422334,101,False,R2<0.9 (curved)
LDG,80,ens,-2,,7e-05,0.00012,peak,2.2482159689274048e-05,0.05874005174418904,0.0003827398686535569,0.8258120472033765,101,False,R2<0.9 (curved)
LDG,160,-,0.1,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.0001242034438577201,1.4403730681802747,8.623005150647195e-05,0.8438951900143559,101,False,R2<0.9 (curved)
LDG,160,-,0.1,"0.1,0.2,0.3",5e-05,0.0001,Rq2,7.289880311809332e-05,0.7177733334255956,0.00010156242886620141,0.775839963016975,101,False,R2<0.9 (curved)
LDG,160,-,0.1,"0.1,0.2,0.3",6e-05,0.00011,Rq2,3.94575379793347e-05,0.3077192974606529,0.0001282257508870727,0.5680394434280631,101,False,R2<0.9 (curved)
LDG,160,-,0.1,"0.1,0.2,0.3",7e-05,0.00012,Rq2,1.6690284270739097e-05,0.06410579302390627,0.0002603553202206698,0.2525576716032977,101,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.00026796734753421167,3.065103957709803,8.74252068547889e-05,0.8647665212573743,101,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.00016770070220300772,1.6703601547942915,0.00010039793018390123,0.883459249345419,101,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00011259977464668272,1.0016999476900355,0.00011240868576098341,0.9229631277695373,101,True,
LDG,160,-,0.2,"0.1,0.2,0.3",7e-05,0.00012,Rq2,7.832440127444227e-05,0.6198791960136891,0.00012635429899588465,0.8369982066120846,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.0004525696399922184,5.183219422167701,8.731438959667791e-05,0.8490190101315592,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.00027478654449999843,2.711274622381578,0.00010134958009477717,0.8544227838402405,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00017905196128796593,1.5450012220572718,0.0001158911454125236,0.8841753380495767,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.00011547073021197382,0.8586826717360567,0.00013447427555341118,0.9197219394836837,101,True,
LDG,160,-,0.2,"0.2,0.3",4e-05,9e-05,Rq2,0.00026796734753421167,3.065103957709803,8.74252068547889e-05,0.8647665212573743,101,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.2,0.3",5e-05,0.0001,Rq2,0.00016770070220300772,1.6703601547942915,0.00010039793018390123,0.883459249345419,101,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.2,0.3",6e-05,0.00011,Rq2,0.00011259977464668272,1.0016999476900355,0.00011240868576098341,0.9229631277695373,101,True,
LDG,160,-,0.2,"0.2,0.3",7e-05,0.00012,Rq2,7.832440127444227e-05,0.6198791960136891,0.00012635429899588465,0.8369982066120846,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.2,0.3",4e-05,9e-05,Rq2,0.0004525696399922184,5.183219422167701,8.731438959667791e-05,0.8490190101315592,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.2,0.3",5e-05,0.0001,Rq2,0.00027478654449999843,2.711274622381578,0.00010134958009477717,0.8544227838402405,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.2,0.3",6e-05,0.00011,Rq2,0.00017905196128796593,1.5450012220572718,0.0001158911454125236,0.8841753380495767,101,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.2,0.3",7e-05,0.00012,Rq2,0.00011547073021197382,0.8586826717360567,0.00013447427555341118,0.9197219394836837,101,True,
LDG,160,-,0.2,0.2,4e-05,9e-05,Rq2,0.00026796734753421167,3.065103957709803,8.74252068547889e-05,0.8647665212573743,101,False,R2<0.9 (curved)
LDG,160,-,0.2,0.2,5e-05,0.0001,Rq2,0.00016770070220300772,1.6703601547942915,0.00010039793018390123,0.883459249345419,101,False,R2<0.9 (curved)
