t,N,M_raw,M_clip,xc_x_raw,xc_y_raw,xc_x_clip,xc_y_clip,R_0.05_raw,R_0.1_raw,R_0.2_raw,R_0.3_raw,R_0.5_raw,R_0.8_raw,R_0.05_clip,R_0.1_clip,R_0.2_clip,R_0.3_clip,R_0.5_clip,R_0.8_clip,S_L2,peak,u_min
0.0,80,31.415926530163063,31.415926530163063,-6.973461108631741e-18,-7.067899293431369e-18,-6.973461108631741e-18,-7.067899293431369e-18,0.02440509361492953,0.03611871342030282,0.05142806969112388,0.0648640605586413,0.09055058150720546,0.1383496476323667,0.02440509361492953,0.03611871342030282,0.05142806969112388,0.0648640605586413,0.09055058150720546,0.1383496476323667,114.86798734330138,843.6143305620544,-2.6756095069308213e-17
5.012531328320803e-07,80,31.415926530163063,31.415926530163063,-3.6863789908756404e-08,-3.6863789911192775e-08,-3.6863789908756404e-08,-3.6863789911192775e-08,0.02440504853989402,0.03442115844447109,0.050928450681666314,0.06421369526829686,0.08945390488537285,0.13721564905183234,0.02440504853989402,0.03442115844447109,0.050928450681666314,0.06421369526829686,0.08945390488537285,0.13721564905183234,116.17896841072282,874.6392279859007,-3.914102267105228e-15
1.0025062656641605e-06,80,31.415926530163066,31.415926530163066,-7.60804896951107e-08,-7.608048969925048e-08,-7.60804896951107e-08,-7.608048969925048e-08,0.023633326149426166,0.034205402120941475,0.04986815713560707,0.06390374507297956,0.08882918186613495,0.13623474196127253,0.023633326149426166,0.034205402120941475,0.04986815713560707,0.06390374507297956,0.08882918186613495,0.13623474196127253,117.52268958078626,906.4024212608284,-7.675523444739246e-15
1.5037593984962408e-06,80,31.415926530163063,31.415926530163063,-1.1791630545256207e-07,-1.1791630545115455e-07,-1.1791630545256207e-07,-1.1791630545115455e-07,0.023345751383871318,0.0331599550498467,0.049477976796167625,0.062140910144930665,0.0874887791812735,0.1349190445537209,0.023345751383871318,0.0331599550498467,0.049477976796167625,0.062140910144930665,0.0874887791812735,0.1349190445537209,118.89956708849388,939.1292855957911,-9.824181687342901e-15
2.005012531328321e-06,80,31.415926530163055,31.415926530163055,-1.6240394030738712e-07,-1.6240394030513017e-07,-1.6240394030738712e-07,-1.6240394030513017e-07,0.023345617279583186,0.03238827479281565,0.048611480358554345,0.06141024829763019,0.08631762619503647,0.13375606865309098,0.023345617279583186,0.03238827479281565,0.048611480358554345,0.06141024829763019,0.08631762619503647,0.13375606865309098,120.31009984681978,973.2419977585186,-1.0919689147561259e-14
2.5062656641604014e-06,80,31.415926530163055,31.415926530163055,-2.094965749325824e-07,-2.094965749307179e-07,-2.094965749325824e-07,-2.094965749307179e-07,0.023345297716248953,0.03238775625062184,0.04759874627865179,0.06075493054138348,0.08543423584409642,0.13280034227731036,0.023345297716248953,0.03238775625062184,0.04759874627865179,0.06075493054138348,0.08543423584409642,0.13280034227731036,121.75479302730253,1008.5739142482794,-1.1301244615990087e-14
3.0075187969924816e-06,80,31.415926530163055,31.415926530163055,-2.591232549832132e-07,-2.5912325498022883e-07,-2.591232549832132e-07,-2.5912325498022883e-07,0.021785163071036645,0.03186907523441869,0.047024696711427914,0.05929287001299916,0.08418823912170338,0.13171751628797715,0.021785163071036645,0.03186907523441869,0.047024696711427914,0.05929287001299916,0.08418823912170338,0.13171751628797715,123.23414881016375,1045.1630490725208,-1.1338728567976079e-14
3.508771929824562e-06,80,31.415926530163052,31.415926530163052,-3.1120731235650016e-07,-3.1120731235964207e-07,-3.1120731235649953e-07,-3.1120731235964207e-07,0.021784795643007702,0.03186851792216795,0.045576255718339696,0.057944456798603605,0.08255258788426176,0.1309163714957945,0.021784795643007702,0.03186851792216795,0.045576255718339696,0.057944456798603605,0.08255258788426176,0.1309163714957945,124.74866825776247,1083.0538458542812,-1.2989585697084502e-14
4.010025062656642e-06,80,31.41592653016305,31.41592653016305,-3.6567167596348675e-07,-3.65671675956251e-07,-3.656716759634853e-07,-3.65671675956251e-07,0.021784307215685004,0.03128208688159274,0.04513360872037156,0.05777246205041107,0.08196539545659516,0.12940072898439495,0.021784307215685004,0.03128208688159274,0.04513360872037156,0.05777246205041107,0.08196539545659516,0.12940072898439495,126.29885360206559,1122.2923153905015,-1.6667290202995174e-14
4.511278195488723e-06,80,31.41592653016305,31.41592653016305,-4.2243996965756577e-07,-4.2243996965448844e-07,-4.224399696575646e-07,-4.2243996965448844e-07,0.019764769726849724,0.031029515991584662,0.0441946467097687,0.056715366996410575,0.08148944687113621,0.12830682579826397,0.019764769726849724,0.031029515991584662,0.0441946467097687,0.056715366996410575,0.08148944687113621,0.12830682579826397,127.8852096211263,1162.9260959864005,-1.878287630523579e-14
5.012531328320803e-06,80,31.41592653016305,31.41592653016305,-4.814365158178725e-07,-4.81436515816867e-07,-4.814365158178714e-07,-4.81436515816867e-07,0.019764539872621854,0.03013476287160754,0.04419369835673146,0.05656505320873784,0.07995139433369329,0.1270410737157466,0.019764539872621854,0.03013476287160754,0.04419369835673146,0.05656505320873784,0.07995139433369329,0.1270410737157466,129.5082443463918,1205.0044686553526,-1.94472180363634e-14
5.5137844611528826e-06,80,31.41592653016305,31.41592653016305,-5.425862156177607e-07,-5.425862156173761e-07,-5.425862156177594e-07,-5.425862156173761e-07,0.01976423828768697,0.02984791701242039,0.043772150829833475,0.05530376712634955,0.0786754820234303,0.12655253458211074,0.01976423828768697,0.02984791701242039,0.043772150829833475,0.05530376712634955,0.0786754820234303,0.12655253458211074,131.16846941184923,1248.5783723986015,-1.920390667704614e-14
6.015037593984963e-06,80,31.415926530163045,31.415926530163045,-6.058145323630254e-07,-6.058145323612398e-07,-6.05814532363024e-07,-6.058145323612398e-07,0.01976385224015583,0.02864396290581728,0.0431901040309007,0.05401536584418539,0.07752497000568251,0.12496241766288112,0.01976385224015583,0.02864396290581728,0.0431901040309007,0.05401536584418539,0.07752497000568251,0.12496241766288112,132.8664002279593,1293.7004272175222,-1.8388266311288294e-14
6.516290726817044e-06,80,31.41592653016304,31.41592653016304,-6.710475819777073e-07,-6.71047581978765e-07,-6.710475819777064e-07,-6.71047581978765e-07,0.019763386565098354,0.02738704674603053,0.04131964182657685,0.053578423230575,0.07642243997978632,0.12405873358209961,0.019763386565098354,0.02738704674603053,0.04131964182657685,0.053578423230575,0.07642243997978632,0.12405873358209961,134.6025560707297,1340.4249625699858,-1.7210978965347136e-14
7.017543859649124e-06,80,31.41592653016304,31.41592653016304,-7.382122834770649e-07,-7.382122834761802e-07,-7.382122834770644e-07,-7.382122834761802e-07,0.019700911415264612,0.02728319468401427,0.04091332971467521,0.05259099602130306,0.07551935476395859,0.12279306221784839,0.019700911415264612,0.02728319468401427,0.04091332971467521,0.05259099602130306,0.07551935476395859,0.12279306221784839,136.37746013220956,1388.8080533384555,-1.580629372327346e-14
7.518796992481204e-06,80,31.415926530163038,31.415926530163038,-8.0723652648533e-07,-8.072365264872559e-07,-8.072365264853294e-07,-8.072365264872559e-07,0.01966939943968406,0.027137848817227087,0.04054796864718303,0.0517865939276204,0.07474158142572439,0.12165011846462342,0.01966939943968406,0.027137848817227087,0.04054796864718303,0.0517865939276204,0.07474158142572439,0.12165011846462342,138.1916395501493,1438.9075593706505,-1.4260929376819604e-14
8.020050125313284e-06,80,31.415926530163034,31.415926530163034,-8.780493292173528e-07,-8.780493292196504e-07,-8.780493292173522e-07,-8.780493292196504e-07,0.018803781201327183,0.026551447253883375,0.03940808106608242,0.05110239940267169,0.07364785831529447,0.12022159110232179,0.018803781201327183,0.026551447253883375,0.03940808106608242,0.05110239940267169,0.07364785831529447,0.12022159110232179,140.04562542452604,1490.7831670043329,-1.3177861475070715e-14
8.521303258145365e-06,80,31.415926530163034,31.415926530163034,-9.505809731956595e-07,-9.505809731867393e-07,-9.505809731956586e-07,-9.505809731867393e-07,0.018803709685902805,0.026515909112379638,0.03915495943163389,0.04990460408498811,0.07264628062286081,0.11939619646255868,0.018803709685902805,0.026515909112379638,0.03915495943163389,0.04990460408498811,0.07264628062286081,0.11939619646255868,141.93995282355039,1544.496431494193,-1.4055056911792084e-14
9.022556390977446e-06,80,31.415926530163034,31.415926530163034,-1.0247631095207254e-06,-1.0247631095194237e-06,-1.0247631095207248e-06,-1.0247631095194237e-06,0.018801904052832174,0.026447288170033795,0.0389332358685092,0.04970581980196591,0.07126024505844282,0.11838885594975407,0.018801904052832174,0.026447288170033795,0.0389332358685092,0.04970581980196591,0.07126024505844282,0.11838885594975407,143.8751607795019,1600.1108196183116,-1.484237612163872e-14
9.523809523809525e-06,80,31.415926530163034,31.415926530163034,-1.1005288365221838e-06,-1.100528836525723e-06,-1.1005288365221832e-06,-1.100528836525723e-06,0.01880166926154828,0.02606986382111342,0.03775774380933133,0.04899029850088145,0.07073873335026377,0.11692983012021323,0.01880166926154828,0.02606986382111342,0.03775774380933133,0.04899029850088145,0.07073873335026377,0.11692983012021323,145.85179227375477,1657.691751966716,-1.5541277333267665e-14
1.0025062656641605e-05,80,31.415926530163027,31.415926530163027,-1.177812751127568e-06,-1.1778127511274113e-06,-1.1778127511275671e-06,-1.1778127511274113e-06,0.017791238401051825,0.026066988233223003,0.03662962562166016,0.04773989414600436,0.06914871538095427,0.11596415126963826,0.017791238401051825,0.026066988233223003,0.03662962562166016,0.04773989414600436,0.06914871538095427,0.11596415126963826,147.870394209947,1717.3066445448735,-1.615459657239579e-14
1.0526315789473686e-05,80,31.415926530163034,31.415926530163034,-1.2565509774291225e-06,-1.2565509774319998e-06,-1.2565509774291216e-06,-1.2565509774319998e-06,0.017789612246582348,0.02440598651536697,0.03644517331904989,0.0475973662752495,0.06872173952906407,0.11490339100452975,0.017789612246582348,0.02440598651536697,0.03644517331904989,0.0475973662752495,0.06872173952906407,0.11490339100452975,149.93151737409627,1779.0249493940055,-1.6686036988540328e-14
1.1027568922305765e-05,80,31.415926530163027,31.415926530163027,-1.3366811761907306e-06,-1.3366811761860552e-06,-1.3366811761907298e-06,-1.3366811761860552e-06,0.01778770474079332,0.024403842069346864,0.03644299091106588,0.04590856331490468,0.06812289222260053,0.11353176354938567,0.01778770474079332,0.024403842069346864,0.03644299091106588,0.04590856331490468,0.06812289222260053,0.11353176354938567,152.03571638043013,1842.9181939634645,-1.713979756026767e-14
1.1528822055137846e-05,80,31.415926530163027,31.415926530163027,-1.4181425389098914e-06,-1.4181425389088388e-06,-1.4181425389098904e-06,-1.4181425389088388e-06,0.015686285961031256,0.02363474246371759,0.03612007520063246,0.045135722151824854,0.06660257830520698,0.11239118825545867,0.015686285961031256,0.02363474246371759,0.03612007520063246,0.045135722151824854,0.06660257830520698,0.11239118825545867,154.18354960170947,1909.0600189826505,-1.752031196531965e-14
1.2030075187969927e-05,80,31.41592653016302,31.41592653016302,-1.5008757697007234e-06,-1.5008757696995376e-06,-1.5008757697007224e-06,-1.5008757696995376e-06,0.015683385496102924,0.023631667107628113,0.03540999136030513,0.044721034650049764,0.06538685694410126,0.11126848581272664,0.015683385496102924,0.023631667107628113,0.03540999136030513,0.044721034650049764,0.06538685694410126,0.11126848581272664,156.37557908285427,1977.5262145809168,-1.7832070226729098e-14
