N,t,S_L2,peak,umin,mass_u,mass_v
80,0.0,114.86798734330138,843.6143305620544,-2.6756095069308213e-17,31.415926530163063,31.415637960307674
80,5.012531328320803e-07,116.17896841072282,874.6392279859007,-3.914102267105228e-15,31.41592653016306,31.41563796045231
80,1.0025062656641605e-06,117.52268958078626,906.4024212608284,-7.675523444739246e-15,31.41592653016306,31.415637960596957
80,1.5037593984962408e-06,118.89956708849388,939.1292855957911,-9.824181687342901e-15,31.415926530163052,31.415637960741602
80,2.005012531328321e-06,120.31009984681978,973.2419977585186,-1.0919689147561259e-14,31.415926530163052,31.415637960886247
80,2.5062656641604014e-06,121.75479302730253,1008.5739142482794,-1.1301244615990087e-14,31.41592653016305,31.41563796103089
80,3.0075187969924816e-06,123.23414881016375,1045.1630490725208,-1.1338728567976079e-14,31.41592653016305,31.415637961175538
80,3.508771929824562e-06,124.74866825776247,1083.0538458542812,-1.2989585697084502e-14,31.41592653016305,31.41563796132018
80,4.010025062656642e-06,126.29885360206559,1122.2923153905015,-1.6667290202995174e-14,31.415926530163045,31.415637961464824
80,4.511278195488723e-06,127.8852096211263,1162.9260959864005,-1.878287630523579e-14,31.415926530163038,31.41563796160947
80,5.012531328320803e-06,129.5082443463918,1205.0044686553526,-1.94472180363634e-14,31.415926530163038,31.41563796175411
80,5.5137844611528826e-06,131.16846941184923,1248.5783723986015,-1.920390667704614e-14,31.415926530163038,31.415637961898753
80,6.015037593984963e-06,132.8664002279593,1293.7004272175222,-1.8388266311288294e-14,31.415926530163038,31.415637962043398
80,6.516290726817044e-06,134.6025560707297,1340.4249625699858,-1.7210978965347136e-14,31.41592653016303,31.415637962188043
80,7.017543859649124e-06,136.37746013220956,1388.8080533384555,-1.580629372327346e-14,31.41592653016303,31.415637962332692
80,7.518796992481204e-06,138.1916395501493,1438.9075593706505,-1.4260929376819604e-14,31.41592653016303,31.415637962477327
80,8.020050125313284e-06,140.04562542452604,1490.7831670043329,-1.3177861475070715e-14,31.41592653016303,31.415637962621975
80,8.521303258145365e-06,141.93995282355039,1544.496431494193,-1.4055056911792084e-14,31.41592653016303,31.41563796276662
80,9.022556390977446e-06,143.8751607795019,1600.1108196183116,-1.484237612163872e-14,31.415926530163027,31.415637962911262
80,9.523809523809525e-06,145.85179227375477,1657.691751966716,-1.5541277333267665e-14,31.41592653016303,31.415637963055904
80,1.0025062656641605e-05,147.870394209947,1717.3066445448735,-1.615459657239579e-14,31.41592653016302,31.41563796320055
80,1.0526315789473686e-05,149.93151737409627,1779.0249493940055,-1.6686036988540328e-14,31.41592653016302,31.41563796334519
80,1.1027568922305765e-05,152.03571638043013,1842.9181939634645,-1.713979756026767e-14,31.41592653016302,31.415637963489832
80,1.1528822055137846e-05,154.18354960170947,1909.0600189826505,-1.752031196531965e-14,31.41592653016302,31.415637963634477
80,1.2030075187969927e-05,156.37557908285427,1977.5262145809168,-1.7832070226729098e-14,31.415926530163016,31.41563796377912
80,1.2531328320802007e-05,158.61237043671326,2048.394754398759,-1.8079500585209605e-14,31.415926530163013,31.41563796392376
80,1.3032581453634088e-05,160.89449272085358,2121.745827424786,-1.826689420217617e-14,31.415926530163013,31.415637964068406
80,1.3533834586466167e-05,163.2225182942745,2197.6618672836803,-1.8398359774122852e-14,31.415926530163006,31.415637964213044
80,1.4035087719298248e-05,165.59702265297634,2276.2275786894475,-1.8477798694591298e-14,31.415926530163013,31.415637964357696
80,1.4536340852130328e-05,168.0185842433395,2357.5299607692505,-1.8508894090572398e-14,31.415926530163013,31.415637964502334
80,1.5037593984962407e-05,170.4877842522892,2441.6583269527664,-1.8495109037629612e-14,31.415926530163002,31.415637964646972
80,1.553884711779449e-05,173.00520637324271,2528.704321114797,-1.8439690684161257e-14,31.415926530163002,31.415637964791618
80,1.604010025062657e-05,175.57143654685535,2618.7619296509733,-1.834567803058555e-14,31.415926530163002,31.415637964936266
80,1.6541353383458648e-05,178.18706267560398,2711.927489160967,-1.821591182545943e-14,31.415926530163,31.4156379650809
80,1.704260651629073e-05,180.85267431126823,2808.2996894099565,-1.805304554211747e-14,31.415926530162995,31.41563796522555
80,1.754385964912281e-05,183.56886231439586,2907.979571236215,-1.78595567484866e-14,31.415926530162995,31.415637965370184
80,1.804511278195489e-05,186.3362184848682,3011.0705190729004,-1.763775842419561e-14,31.415926530162988,31.41563796551483
80,1.854636591478697e-05,189.1553351627137,3117.678247753745,-1.738980994502255e-14,31.415926530162995,31.415637965659467
80,1.904761904761905e-05,192.0268047983563,3227.9107832767368,-1.711772756783126e-14,31.415926530162984,31.415637965804112
80,1.9548872180451132e-05,194.95121949152963,3341.8784372059463,-1.6823394325464814e-14,31.415926530162984,31.41563796594876
80,2.005012531328321e-05,197.92917049813758,3459.693774401244,-1.6508569291844922e-14,31.415926530162984,31.415637966093396
80,2.055137844611529e-05,200.96124770440025,3581.471573777038,-1.6174896210661494e-14,31.415926530162984,31.415637966238037
80,2.1052631578947372e-05,204.04803906768808,3707.328781805397,-1.5823911502041394e-14,31.415926530162984,31.41563796638268
80,2.155388471177945e-05,207.1901300235225,3837.3844584964013,-1.5457051674310784e-14,31.415926530162974,31.41563796652732
80,2.205513784461153e-05,210.38810285830164,3971.759715608292,-1.507566017509005e-14,31.41592653016298,31.415637966671962
