n_base,n_ref,t_b_1.05,t_b_1.10,ratio_max,ratio_final
128,256,3.458646616541354e-05,5.263157894736843e-05,1.506421101883191,1.506421101883191
256,512,5.012531328320803e-05,7.61904761904762e-05,1.483776942200517,1.483776942200517
