n_base,n_ref,t_b_1.05,t_b_1.10,ratio_max,ratio_final
128,256,3.458646616541354e-05,5.263157894736843e-05,1.5064211449260723,1.5064211449260723
256,512,5.012531328320803e-05,7.61904761904762e-05,1.4837767989452002,1.4837767989452002
