step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.05,R_0.1,R_0.2,R_0.3,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.00017592213060875532,-0.00010815205978851175,0.27226882733902763,0.027226882733902762,0.011908612310654645,0.10912658846795609,0.024660867154687426,0.03541177348271342,0.05167699561835202,0.06524993377025758,0.09075627577967588,0.1383432339190087,0.16597825787289616,0.23297720922277604,40000,64000,72000,3.3333333333333335,850.0585917992054,429.8350080471204,114.87341410583845,114.87341410583845,0.0254625,0.8626747032076179,0,0,0.8626747032076179,0.8626747032076179,2728.016941945837,2728.016941945837,current_fourier,nan,nan,115.80849536141584,114.69085003775302,1087.3587446941322,12.5,0.763125,118.82588087384686,114.73632265018747,1512.172683596814,3.125,0.813515625
5,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00015971082614680255,-9.999854884735324e-05,0.266066541593792,0.0266066541593792,0.0115599871875337,0.10751738086250845,0.02398504751054772,0.03431833120669402,0.050024728627162576,0.06335982112831524,0.08868884719793067,0.13627677425663945,0.1642347776557174,0.2323943244537618,40000,64000,72000,3.3333333333333335,907.5449928097156,429.2234745377788,117.41151393591329,117.41151393591329,0.0296625,0.8746268370802434,0,0,0.8746268370802434,0.8746268370802434,2765.8129078825827,2765.8129078825827,current_fourier,nan,nan,118.34634869196836,117.31819647776163,1162.990431839903,12.5,0.7640625,121.24740444015025,117.25932374479869,1618.5964731355052,3.125,0.8147265625
10,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.00013471784381472403,-0.00010408575115116625,0.25985544207341243,0.025985544207341244,0.011215964708399253,0.10590545174068827,0.023351566057077687,0.033242868688713303,0.048415189708267255,0.061493642789040855,0.08661848069113748,0.1342068389248039,0.1622429502110381,0.23166442770147377,40000,64000,72000,3.333333333333333,971.9230517479056,431.28115504304384,120.15766082798243,120.15766082798243,0.0346,0.8821047673683383,0,0,0.8821047673683383,0.8821047673683383,2789.460199776922,2789.460199776922,current_fourier,nan,nan,121.04082947936726,120.00301540099942,1162.6861842910832,12.5,0.7659375,124.00095632055464,120.01612641129299,1724.846157730915,3.125,0.8155859375
15,3e-06,80000,10,31.41592653589793,31.41592653589793,-0.00011059909849291954,-9.138809945682828e-05,0.25382442961642376,0.025382442961642375,0.010879138436351694,0.10430310846926708,0.022753086006609042,0.03235759479949106,0.0469324046737725,0.05969185883836306,0.08460814320547459,0.132033886203034,0.1604731328374093,0.23080124703197966,40000,64000,72000,3.3333333333333335,1043.9098183125232,432.97435945575694,123.11278956910972,123.11278956910972,0.0395375,0.8909644931400471,0,0,0.8909644931400471,0.8909644931400471,2817.4771126600144,2817.4771126600144,current_fourier,nan,nan,123.962510882233,122.93384114651003,1336.3903256760848,12.5,0.76640625,126.82413381610752,123.0821577462848,1770.385715291219,3.125,0.817265625
20,4e-06,80000,10,31.41592653589793,31.41592653589793,-8.969524393739322e-05,-8.243307304832756e-05,0.24757303223461524,0.024757303223461525,0.01054939301806712,0.1027102381365515,0.02211411047728649,0.03141589613006105,0.04546572858989513,0.057814491804466246,0.08252434407820508,0.1298356291512726,0.15869630251719738,0.23043674695938485,40000,64000,72000,3.333333333333333,1149.0999213189302,433.7743651178988,126.30187001595793,126.30187001595793,0.046075,0.8894158214837093,0,0,0.8894158214837093,0.8894158214837093,2812.5797828782415,2812.5797828782415,current_fourier,nan,nan,127.13367407451712,126.11463623723132,1468.08501836096,12.5,0.7646875,129.88808007137607,126.05858789675607,1805.1302881709357,3.125,0.8185546875
25,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,-5.68092354630131e-05,-8.322187578067679e-05,0.2415656561848451,0.02415656561848451,0.010229345908515378,0.10114022893248452,0.021605924730259244,0.030489995106213103,0.04401602918384143,0.05602835252294763,0.08052188539494837,0.12776077169416547,0.1568603696462529,0.22977858129476295,40000,64000,72000,3.333333333333333,1264.6613487467857,433.1566936048981,129.7534336109513,129.7534336109513,0.0535875,0.9074092572994001,0,0,0.9074092572994001,0.9074092572994001,2869.480022987874,2869.480022987874,current_fourier,nan,nan,130.58801862548123,129.63680722401318,1559.8712415617308,12.5,0.7659375,133.23592837300794,129.5114726597569,2179.8819302355237,3.125,0.8207421875
30,6e-06,80000,10,31.41592653589793,31.41592653589793,-3.0566701588936454e-05,-7.695174086586573e-05,0.23581130987161242,0.02358113098716124,0.00991752342419703,0.09958676329812627,0.021027294856665265,0.029707735609652536,0.042653864712197724,0.05422538088454076,0.07860376995720414,0.12557092834931083,0.1550258600486029,0.22865792232364893,40000,64000,72000,3.3333333333333335,1387.8066898221107,433.9218099884304,133.47407696344862,133.47407696344862,0.060975,0.9101930139384716,0,0,0.9101930139384716,0.9101930139384716,2878.2830344189556,2878.2830344189556,current_fourier,nan,nan,134.31182474772544,133.40190826594784,1816.2806770219174,12.5,0.7665625,136.91358740186593,133.3676059274164,2087.957160530449,3.125,0.820859375
35,7e-06,80000,10,31.41592653589793,31.41592653589793,-4.233991098916696e-06,-6.869248001222204e-05,0.22972308371970218,0.02297230837197022,0.009611755382767253,0.0980395602946446,0.020447814680948497,0.02888592109525733,0.04132073435022537,0.05243726175009875,0.07657436123990073,0.1235398936656168,0.1531486961862002,0.22803482197345204,40000,64000,72000,3.3333333333333335,1534.0313649222032,435.6546814539633,137.5776927015142,137.5776927015142,0.06945,0.9247141752319774,0,0,0.9247141752319774,0.9247141752319774,2924.2029783771104,2924.2029783771104,current_fourier,nan,nan,138.39245647260861,137.51737359919287,1847.430845141019,12.5,0.76609375,140.86543779821184,137.4624864165039,2291.904299048987,3.125,0.8226171875
40,8e-06,80000,10,31.41592653589793,31.41631923497963,2.248359476216285e-05,-6.889506042157406e-05,0.22397612547800153,0.022397612547800153,0.009315218940361665,0.09651538188476315,0.020033144111522284,0.02812546231544544,0.040071069552126484,0.050757631403804376,0.07465870849266718,0.12132148890925316,0.15105996803763752,0.22735968763500672,40000,64000,72000,3.333333333333333,1705.0350392132013,439.51895443950787,142.01903443946793,142.01903443946793,0.07888651391857601,0.9338613476035111,0,0,0.9338613476035111,0.9338613476035111,2953.1288772213206,2953.1288772213206,current_fourier,nan,nan,142.9243861261318,142.1262252775641,2211.8620474154454,12.5,0.766875,145.41738449420092,142.01024506657066,2606.447138894495,3.125,0.8240234375
45,9e-06,80000,10,31.41592653589793,31.41631923497963,5.5399443717942945e-05,-6.68969848953361e-05,0.218184882672464,0.0218184882672464,0.009026075886663118,0.09500566239263383,0.01956372960780889,0.02743440962243793,0.03890915651060764,0.049099797371412804,0.07272829422415467,0.11907934317907899,0.14915540312820946,0.22705147257962482,40000,64000,72000,3.3333333333333335,1886.8661625064628,439.66848931974073,146.7990256468165,146.7990256468165,0.08911138610767365,0.9427152108737934,0,0,0.9427152108737934,0.9427152108737934,2981.1272512471196,2981.1272512471196,current_fourier,nan,nan,147.74548766038808,146.93779205824777,2359.308916538545,12.5,0.76796875,150.12254057896047,146.9784816274092,2695.634820149217,3.125,0.8255859375
