step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.0002461144053557066,-0.00020763951576820277,0.41439197770453007,0.041439197770453004,0.011882306574904297,0.10900599329809484,0.035320200467519616,0.05142628341089237,0.09056928324290048,0.13813065923484336,0.1654953371152117,0.23669132961152062,40000,64000,72000,2.185594512340638,847.690488474699,426.35308400583705,115.17945949561457,115.17945949561457,0.0004125,0.8475385256247508,0,0,0.8475385256247508,0.8100371481092331,2397.2009551444394,2291.131041764202,two_level_blob_residual,0.037295277993407705,0.0671315005493838,116.10847073631665,115.03241135973379,1101.1730296354062,12.5,0.7571875,119.0738688117585,115.08299773174079,1589.626345188804,3.125,0.8112109375
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00023840975790584263,-0.0002028577608954354,0.4078446548072383,0.04078446548072383,0.011525939274375509,0.10735892731568954,0.034209671613153504,0.04985677291112403,0.08843396397652498,0.13594821826907943,0.1636209788118319,0.23626029475897836,40000,64000,72000,2.168324702412049,909.2830153980374,426.07565490331143,117.76995301092943,117.76995301092943,0.0004875,0.8488948633729805,0,0,0.8488948633729805,0.8137119379190383,2401.037257621849,2301.524916939996,two_level_blob_residual,0.03670601893265145,0.0652491763276529,118.67841019346685,117.6522459340246,1090.5883999019866,12.5,0.7571875,121.55155365641639,117.65547025214204,1496.0153258030864,3.125,0.813125
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.0002411144111299273,-0.00019144511838744294,0.4013267087630808,0.04013267087630808,0.01117564678630173,0.1057149317092989,0.033144489568621135,0.048331208836039315,0.08628530500016011,0.1337755695876936,0.16177101710179248,0.23513684552237352,40000,64000,72000,2.150001560227525,973.7093663182347,427.07662915431274,120.49203504620749,120.49203504620749,0.0006625,0.8523609831233132,0,0,0.8523609831233132,0.8210604704624633,2410.8409247413088,2322.3097057128994,two_level_blob_residual,0.03611940378867727,0.0633913799217043,121.41302442364761,120.38104495033802,1190.5036296915544,12.5,0.758125,124.31688653083101,120.40182441653374,1632.640275255264,3.125,0.8138671875
12,3e-06,80000,10,31.41592653589793,31.41631923497963,-0.00023688159096993058,-0.00017776380235973597,0.39478410502514627,0.039478410502514626,0.010832768254335908,0.10408058538620883,0.03207748740034952,0.04686368685254079,0.08411356165244466,0.13159470167504875,0.159943318816271,0.23441343547855767,40000,64000,72000,2.130621790030957,1041.1700071638882,427.2525634775906,123.34868955430898,123.34868955430898,0.0007749903126210922,0.8531904954178804,1,0,0.8531904954178804,0.8212441375423816,2413.187139815573,2322.829194663663,two_level_blob_residual,0.03553056945226316,0.061546560022263164,124.209708929697,123.18927480889666,1341.902249364803,12.5,0.76046875,127.0062854714716,123.19778892421056,1749.622777874178,3.125,0.815390625
16,4e-06,80000,10,31.41592653589793,31.41631923497963,-0.00022463990232913386,-0.00016263286680383022,0.38845420500405514,0.038845420500405514,0.010498256363480295,0.10246099923131873,0.031124555131552597,0.04534614519860898,0.08200440761376891,0.12948473500135171,0.1579583224276703,0.23373689906044612,40000,64000,72000,2.11104440516773,1113.7315406210082,428.10401157911025,126.3541728775117,126.3541728775117,0.0009249884376445294,0.8578131962941419,0,0,0.8578131962941419,0.8219280304036232,2426.262112363579,2324.763535782819,two_level_blob_residual,0.03496087845036496,0.05976722347464807,127.22291705790734,126.21686632353672,1371.5613326041725,12.5,0.76015625,130.05816321045293,126.34732927304388,1769.7454900724501,3.125,0.8171875
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41631923497963,-0.00021330291860065982,-0.0001501463925068998,0.38174007618515954,0.03817400761851596,0.010168378275381602,0.10083837699696283,0.03007245616637552,0.043952269013081975,0.07986532489752932,0.12724669206171985,0.15611324633149265,0.23297352868080035,40000,64000,72000,2.092138863062189,1192.3300854574766,428.1296319628839,129.5235328046009,129.5235328046009,0.0011749853126835914,0.8605453334384576,0,0,0.8605453334384576,0.8243153291004778,2433.9897631710883,2331.5158361718736,two_level_blob_residual,0.034356606856664355,0.05790115981022707,130.37487442949947,129.43701267107622,1487.3847020499884,12.5,0.76015625,132.96785189571338,129.3772477009551,1902.3468034100154,3.125,0.818125
24,6e-06,80000,10,31.41592653589793,31.41631923497963,-0.00020761647205507253,-0.00013467292909224695,0.37539939878534656,0.037539939878534656,0.009845610209365656,0.09922504829611148,0.029138257426616555,0.04257793466886727,0.07776141583724741,0.12513313292844885,0.15413512330496384,0.2317869695041029,40000,64000,72000,2.071431549673616,1277.7433431970999,428.37149455379205,132.84381291126064,132.84381291126064,0.0012999837502031225,0.8645776196136055,0,0,0.8645776196136055,0.8275081886006633,2445.394790763615,2340.546606587702,two_level_blob_residual,0.033785945890681186,0.056174754179938516,133.7135048329191,132.78720315834994,1744.2942106576475,12.5,0.761875,136.29666243507089,132.70145658557433,2049.0795513334133,3.125,0.8199609375
28,7e-06,80000,10,31.41592653589793,31.41631923497963,-0.00020066947826347122,-0.0001193168493825831,0.3686817868698178,0.03686817868698178,0.009530608011437606,0.09762483296496648,0.028113366214087127,0.04120623764810049,0.07575692991428978,0.12289392895660593,0.15208971110579028,0.23098541855625984,40000,64000,72000,2.054805325684279,1370.0871153798728,429.5285064995257,136.34072936172532,136.34072936172532,0.0016499793752578092,0.8698351428493019,0,0,0.8698351428493019,0.8310645734948057,2460.2653120924424,2350.605582088332,two_level_blob_residual,0.0331813608182836,0.05434452056230198,137.20217328179447,136.29642243178137,1689.9985483909354,12.5,0.7628125,139.6688091946286,136.1468567546312,2129.9355507996183,3.125,0.8223046875
32,8e-06,80000,10,31.41592653589793,31.41631923497963,-0.00018307057022245716,-0.00010112555715313128,0.36178770810945166,0.036178770810945164,0.009223474488276076,0.09603892173632561,0.02724213803537262,0.03988896472672726,0.07371256089363831,0.12059590270315056,0.15001794870476756,0.23032725828618866,40000,64000,72000,2.037453435851338,1463.986728216806,428.7371019442137,139.97636341431954,139.97636341431954,0.0021624729690878862,0.875060823575058,0,0,0.875060823575058,0.8361729599897365,2475.0457692024343,2365.0542810142815,two_level_blob_residual,0.032560893729850646,0.05249750289479017,140.8294392017674,139.97777561694693,1790.396079428214,12.5,0.76515625,143.29217263293404,139.81651917570946,2507.013803555899,3.125,0.8235546875
36,9e-06,80000,10,31.41592653589793,31.41631923497963,-0.00016274533627032628,-7.814562994463701e-05,0.3548349737299924,0.03548349737299924,0.008920707694066209,0.09444949811442202,0.02623125581335671,0.038602509675884654,0.07169500946115841,0.11827832457666412,0.1481797778099998,0.22956190969713505,40000,64000,72000,2.0205169943511234,1571.4101772104336,429.29076866754775,143.85236252179436,143.85236252179436,0.002737465781677729,0.8810976016013063,0,0,0.8810976016013063,0.8393027667862941,2492.120355917947,2373.9067114528802,two_level_blob_residual,0.03193514763569932,0.05067261907957413,144.67483230050263,143.80011275966206,1854.4155560362285,12.5,0.765,147.12738114800754,143.83598709407494,2393.567133029408,3.125,0.8251171875
