tag,t,method,recon,Kg,Kl,local_type,S_L2,peak,S_core,umin,mass,R05,R08,N
refined,6e-05,global_fourier,P_K,5,,,248.66256046371663,2233.1031357030847,229.91058850668546,-456.99498883596334,31.467170429164863,0.009779321397459096,0.03840889376011979,80000
refined,6e-05,global_fourier,P_K,8,,,367.7923868282573,5474.550033171536,353.8054549748585,-1020.9546878697398,31.373955099510198,0.009779321397459096,0.03840889376011979,80000
refined,6e-05,global_fourier,P_K,16,,,597.6827030893896,18125.613337294424,587.2753842636802,-3182.86420274063,31.38585182967244,0.009779321397459096,0.03840889376011979,80000
refined,6e-05,global_fourier,P_K,32,,,947.5889730840516,56912.06537556226,939.62338290373,-9011.509602309672,31.390677115833604,0.009779321397459096,0.03840889376011979,80000
refined,6e-05,hybrid_spectrum,Kg8+Kl24,8,24,spectrum,1319.6669689529472,151799.95973831348,1316.1311838145352,-15900.44897476492,34.666027989803055,0.009779321397459096,0.03840889376011979,80000
refined,6e-05,hybrid_spectrum,Kg8+Kl32,8,32,spectrum,1385.0461050291965,189818.221325413,1381.8310206159254,-11929.81592203704,34.666588826696,0.009779321397459096,0.03840889376011979,80000
refined,6e-05,hybrid_spectrum,Kg8+Kl40,8,40,spectrum,1406.9630076475069,210839.49833094294,1403.8668069311227,-6557.1740140280135,34.666483515085844,0.009779321397459096,0.03840889376011979,80000
refined,6e-05,hybrid_blob,Kg8+blob,8,,blob,1414.9126451748257,239652.95239354906,1411.8555476977983,-470.8707498174632,34.666500593762244,0.009779321397459096,0.03840889376011979,80000
refined,0.00012,global_fourier,P_K,5,,,256.8096473674412,2307.6704096318113,225.4763403436859,-487.7011795436205,31.46930238901283,0.012953740181967315,0.027228342512465437,80000
refined,0.00012,global_fourier,P_K,8,,,389.35192628375967,5800.286101817191,363.56148466704735,-1152.1153328128437,31.373654417563607,0.012953740181967315,0.027228342512465437,80000
refined,0.00012,global_fourier,P_K,16,,,655.0492107589585,19837.516590307237,632.8776628939609,-4182.598810723384,31.403163364922474,0.012953740181967315,0.027228342512465437,80000
refined,0.00012,global_fourier,P_K,32,,,1260.4539630579832,77494.75314264429,1239.0042128809794,-17111.556781908614,31.439071353648863,0.012953740181967315,0.027228342512465437,80000
refined,0.00012,hybrid_spectrum,Kg8+Kl24,8,24,spectrum,3016.568864006389,545528.9667518972,3012.5347887333746,-100614.70814751112,27.790462194761467,0.012953740181967315,0.027228342512465437,80000
refined,0.00012,hybrid_spectrum,Kg8+Kl32,8,32,spectrum,3439.913228010444,789837.3153053726,3436.8074681501153,-126315.11384562428,27.789781897549766,0.012953740181967315,0.027228342512465437,80000
refined,0.00012,hybrid_spectrum,Kg8+Kl40,8,40,spectrum,3677.8087843204835,978735.0007762827,3675.271640049541,-131688.68732116494,27.789902360722948,0.012953740181967315,0.027228342512465437,80000
refined,0.00012,hybrid_blob,Kg8+blob,8,,blob,3854.937842552939,1339503.5294436684,3852.9905057731903,-890.3156270108822,27.789791167771906,0.012953740181967315,0.027228342512465437,80000
