t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,2,320000,0,10.0,0.0,0.0,0.0,0.0,0.0,9.420853132807053e-05,0.0,0.0,0.0,0
0.02,2,320000,6327,10.0,0.19771875,0.19801326693244747,0.0,0.000294516932447475,0.0014873595946879152,8.299522353317237e-05,9.641913135754659e-06,0.0037925930873118794,0.08841890712984395,6327
0.04,2,320000,12547,10.0,0.39209375,0.39210560847676823,0.0,1.1858476768211723e-05,3.0243068479124604e-05,8.835216867595958e-05,1.643482441109787e-05,0.0068829810887990565,0.13297488248997197,12547
0.06,2,320000,18668,10.0,0.583375,0.5823546641575128,0.0,0.0010203358424871745,0.001752086666916775,7.467889491039948e-05,2.8305815034583983e-05,0.00935160463351429,0.1549449525983322,18668
0.08,2,320000,24666,10.0,0.7708125,0.7688365361336424,0.0,0.0019759638663575663,0.0025700701950174955,6.391063971410754e-05,3.483889215403621e-05,0.010628104309789737,0.1653444867470545,24666
0.1,2,320000,30537,10.0,0.95428125,0.9516258196404048,0.0,0.0026554303595951456,0.002790414367485915,6.980947157076525e-05,3.347719029163751e-05,0.009576675003288786,0.1650470209122241,30537
0.12,2,320000,36151,10.0,1.12971875,1.1307956328284252,0.0,0.0010768828284251075,0.0009523231229073045,7.686860539671477e-05,3.6238425031509955e-05,0.011614146854461948,0.16185462626915642,36151
0.14,2,320000,41833,10.0,1.30728125,1.3064176460119414,0.0,0.0008636039880585145,0.0006610473998838046,8.105621202721331e-05,4.302097223614211e-05,0.010102754205274433,0.155023399620994,41833
0.16,2,320000,47279,10.0,1.47746875,1.4785621103378865,0.0,0.0010933603378864287,0.0007394754202355219,7.743121820321708e-05,4.607638281170854e-05,0.010894088978801408,0.14994399527011573,47279
0.18,2,320000,52735,10.0,1.64796875,1.64729788588728,0.0,0.0006708641127199932,0.00040725124366844395,9.032500705347959e-05,3.3905576933297754e-05,0.010722928601860781,0.14694419824857155,52735
0.2,2,320000,58020,10.0,1.813125,1.8126924692201818,0.0,0.00043253077981830756,0.00023861233340059156,0.00010460577880014607,3.444974052642107e-05,0.008233979362295508,0.13964455597865205,58020
0.22,2,320000,63240,10.0,1.97625,1.974812020375215,0.0,0.0014379796247849796,0.0007281602552286282,0.00010027086120497754,3.431988915855252e-05,0.008059285240458689,0.13280039090009224,63240
0.24,2,320000,68272,10.0,2.1335,2.1337213893344664,0.0,0.00022138933446624876,0.0001037573769344379,8.942798911028484e-05,3.492451791702953e-05,0.008829672521509237,0.1268568111772218,68272
0.26,2,320000,73253,10.0,2.28915625,2.2894841419643375,0.0,0.0003278919643374678,0.00014321652564762568,9.41801661929813e-05,5.142943455738483e-05,0.008804588650552432,0.12109572453955385,73253
0.28,2,320000,78183,10.0,2.44321875,2.4421625854427456,0.0,0.0010561645572546574,0.0004324710252913742,0.00010396689014150938,5.605285624771392e-05,0.008591356018825836,0.1167554866372433,78183
0.3,2,320000,82966,10.0,2.5926875000000003,2.5918177931828215,0.0,0.0008697068171787947,0.0003355586258672804,0.00010655489955484021,5.290697977902971e-05,0.008650049186427434,0.11162543545974209,82966
0.32,2,320000,87435,10.0,2.73234375,2.7385096292630906,0.0,0.006165879263090535,0.0022515455842124317,0.00012570645786255698,5.3063016179962965e-05,0.00793479994726025,0.10727107116362944,87435
0.34,2,320000,92151,10.0,2.87971875,2.8822967723739037,0.0,0.00257802237390381,0.0008944333555841688,0.00013737940472715327,6.964631572549565e-05,0.010556288712112834,0.10249491945902035,92151
