K,N,T_core_qwin,T_core_boot,boot_p5,boot_p95,offset_vs_ldg,ci_contains_ldg,outside_v_frac,R02_over_heff,drift_cfl,frac_reached_T,t_end_mean,n_valid_fits
10,80000,0.00015046897536227343,0.00015046897536227343,9.095136365612997e-05,0.0001963268866879927,0.23842778075945215,True,0.6038456236842633,1.300813860861804,1.5862049235786684,1.0,0.00019999999999999998,3
10,320000,0.00012915462308462573,0.0001268946226431828,0.0001108413503838194,0.000136393545457347,0.04440018636364429,True,0.7244852661765631,0.8475620589856795,1.4864853538877822,0.25,0.00015824999999999997,7
12,80000,nan,0.00012050833738396674,9.384137965925777e-05,0.00012117882485849052,-0.008161832230726418,False,0.5481507353243783,1.4626350747062518,2.0709631275675804,1.0,0.00019999999999999998,0
12,320000,0.00013687041213796355,0.00013121626007156647,0.00010690525490303627,0.0001432792347534506,0.07996921869602036,True,0.6870851911221366,1.3026217646070566,1.9501373936940964,0.5,0.00016974999999999998,5
16,80000,nan,0.00013474227447782708,0.00012806427367467274,0.00014961376537081424,0.10898991339775388,False,0.4418884217611038,1.8120932773591296,2.61867803803642,0.75,0.0001905,0
16,320000,0.00013209032746882985,0.00012654098370279464,0.0001061874829302242,0.00014938529085252206,0.04148957780077889,True,0.5958994728440257,1.7245834967436473,2.385925614628685,0.5,0.00018999999999999998,6
8,80000,0.00013573359206284073,0.00013573359206284073,0.00010892857407075115,0.0001623401967895108,0.11714890586700188,True,0.7092844630546302,1.1966851280440656,1.5834710513274768,0.5,0.000169,2
