tau,N,T_core_qwin,T_core_boot,boot_p5,boot_p95,offset_vs_ldg,ci_contains_ldg,outside_v_frac,R02_over_heff,drift_cfl,frac_reached_T,t_end_mean,n_valid_fits
1e-07,80000,nan,0.00013639581661635503,0.000116438938407795,0.0001600530608152615,0.12259931371485622,True,0.5766642461008861,1.3203327403526497,1.21884693093635,1.0,0.00019999999999999998,0
1e-07,320000,0.00010723981106486176,0.00011355996924510059,9.336581717006298e-05,0.00015940496984677958,-0.06535004736542727,True,0.7165230557038613,1.1334517979413192,1.0599768819477733,0.5,0.00018025,3
2e-07,80000,0.00015046897536227343,0.00015046897536227343,9.61037424926755e-05,0.00019632688668799267,0.23842778075945215,True,0.6038456236842633,1.300813860861804,1.5862049235786684,1.0,0.00019999999999999998,3
2e-07,320000,0.00012915462308462573,0.00012592685255142299,0.0001108413503838194,0.0001348560544041172,0.036435000423234554,True,0.7244852661765631,0.8475620589856795,1.4864853538877822,0.25,0.00015824999999999997,7
4e-07,80000,nan,0.00012792965877416924,0.0001190472050725375,0.00019986132178135988,0.052919002256536896,True,0.5693540661860856,1.3685565868452951,2.362515999332411,0.25,0.000164,0
