step,t,N,K,L,h_eff,xc_x,xc_y,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,N_0.99,R50_over_heff,peak_PK_u,S_L2,Mcore_0.01,Mcore_0.02,Mcore_0.04
0,0.0,160000,5,0.4154228671099962,0.08308457342199924,0.0002558652916317803,-0.00014690083775573468,0.01194530234914285,0.10929456687842654,0.09103370321678986,0.1384742890366654,0.16587595869349167,0.23450772196599204,80000,128000,144000,158400,1.0956751592671214,825.0675072264379,114.66898247921971,0.2646791810649401,1.0381000224705772,3.931114157345078
20,1.9999999999999998e-05,160000,5,0.41537826611165235,0.08307565322233047,0.0002743028320601539,-0.00014269399782541452,0.011939329481710911,0.1092672388308175,0.09089344019836051,0.13845942203721745,0.16601013514127688,0.23519850253983385,80000,128000,144000,158400,1.0941044297913345,829.1064751079772,114.83309701209797,0.26723172509598175,1.0435978096143594,3.960173889390784
40,3.9999999999999996e-05,160000,5,0.4151991538640135,0.0830398307728027,0.0002748968927940976,-0.0001287648372297389,0.01193249223186508,0.10923594752582631,0.09076464954700555,0.13839971795467118,0.16620843999912235,0.23558589854033837,80000,128000,144000,158400,1.0930254638323864,834.1281524752262,115.0244529478965,0.26703537555513246,1.0536116361976768,3.98903727189564
60,5.9999999999999995e-05,160000,5,0.4153092260740723,0.08306184521481445,0.0002731221268487094,-0.00013667276869501325,0.011930251580166099,0.10922569102626954,0.09049815391118682,0.13843640869135743,0.16620612005133456,0.23566047429154807,80000,128000,144000,158400,1.0895273717690788,838.1838136848729,115.19035863911346,0.2713550654538184,1.0581276756372122,4.037535608485432
80,7.999999999999999e-05,160000,5,0.4151637361171818,0.08303274722343637,0.00025854362563211694,-0.00013676635994194834,0.011922615226664912,0.10919072866624213,0.09027299535413558,0.13838791203906062,0.16638804565761398,0.2366832064733125,80000,128000,144000,158400,1.087197501862923,842.7534096587987,115.3773308879434,0.2693915700453247,1.0752100856911067,4.065220893745192
100,9.999999999999999e-05,160000,5,0.41510409132995296,0.08302081826599059,0.0002594065720906643,-0.00013538099586552334,0.011907348612118444,0.1091207982564206,0.09011922880875384,0.13836803044331766,0.16641669459516767,0.23683898446522753,80000,128000,144000,158400,1.0855015728708026,848.6713957394941,115.61882901055897,0.2638937829015426,1.0771735810996004,4.100171112016379
120,0.00011999999999999999,160000,5,0.4149455581977501,0.08298911163955001,0.000233042341804871,-0.0001248498217456387,0.011898144558423107,0.10907861641230653,0.08995064817266946,0.1383151860659167,0.1662248248275175,0.23732402379666592,80000,128000,144000,158400,1.0838849385851455,853.4016471184625,115.82048146459636,0.2650718801466388,1.0934705929900972,4.1573088284035435
140,0.00014,160000,5,0.4151422696454296,0.08302845392908592,0.00020088174375290145,-0.00015847115063558697,0.011890701921699009,0.10904449514624298,0.08976317880412887,0.13838075654847654,0.16635127635970967,0.2378380037326736,80000,128000,144000,158400,1.0811134563675608,856.8639793732012,115.98189773809413,0.2646791810649401,1.0920961462041519,4.158683275189488
160,0.00015999999999999999,160000,5,0.4149029820684643,0.08298059641369286,0.00022028397042639993,-0.00014120518344935324,0.011882893892037035,0.10900868723196805,0.08959001601851858,0.13830099402282145,0.1665875973897982,0.23790187394172316,80000,128000,144000,158400,1.0796501819759767,861.5440126524934,116.17337933464306,0.2780309498426967,1.0995574287564276,4.173802189834889
180,0.00017999999999999998,160000,5,0.41459261234477984,0.08291852246895597,0.00021746897292218207,-0.00011907970521396981,0.01187553296763765,0.10897491898431332,0.08938785766573393,0.13819753744825994,0.16659970119403888,0.23892110620009632,80000,128000,144000,158400,1.0780203868104383,866.3491592890125,116.3749133561891,0.2723368131580652,1.1048588663593604,4.193633493460675
