N_base,K_base,N_ref,K_ref,t_gap_1.05,t_gap_1.10,ratio_max,ratio_final,base_csv,ref_csv
40000,5,160000,10,0.0030199999999999997,nan,1.083636824488616,1.083636824488616,diag_N40000_K5_dt1e-06_q0.8_seed0.csv,diag_N160000_K10_dt1e-06_q0.8_seed0.csv
160000,5,640000,10,0.00248,0.00378,1.1108496481471943,1.1108496481471943,diag_N160000_K5_dt1e-06_q0.8_seed0.csv,diag_N640000_K10_dt1e-06_q0.8_seed0.csv
