step,t,N,K,L,h_eff,xc_x,xc_y,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,N_0.99,R50_over_heff,peak_PK_u,S_L2,Mcore_0.01,Mcore_0.02,Mcore_0.04
0,0.0,40000,5,0.41436556131798374,0.08287311226359675,0.0003055288476723513,-0.0003797715424515892,0.011897316225871271,0.10907481939417214,0.09043976517936973,0.13812185377266126,0.16568245865080083,0.23415324318000919,20000,32000,36000,39600,1.091304075701966,832.3713130192988,115.06305097146173,0.27567475535250435,1.0398671683382215,3.919136835353267
20,1.9999999999999998e-05,40000,5,0.414418123094621,0.0828836246189242,0.0003936751175461661,-0.0004126705568938299,0.011896125453389524,0.10906936074530521,0.09034631396354054,0.13813937436487367,0.1658666218468983,0.23463101550734683,20000,32000,36000,39600,1.090038163496441,834.3000800327101,115.1588185915442,0.2693915700453247,1.0469357518087985,3.9112828537192925
40,3.9999999999999996e-05,40000,5,0.41419563088462075,0.08283912617692415,0.0003603251793276362,-0.0004002764807004094,0.011883455492735836,0.10901126314622649,0.09031735133929739,0.1380652102948736,0.16610877034927654,0.23496810209465394,20000,32000,36000,39600,1.0902740710519032,840.3127142667588,115.39505151731755,0.2788163480060941,1.0799224746714915,3.933274002294421
60,5.9999999999999995e-05,40000,5,0.4138151262818476,0.08276302525636951,0.00034776826224507,-0.0004104211771105755,0.011880671314702378,0.10899849225884906,0.0900301587350543,0.13793837542728252,0.1659622835859481,0.23613644983501178,20000,32000,36000,39600,1.087806522975373,844.9732944115109,115.57844916390759,0.29138271862045334,1.0500773444623885,4.028307180065513
80,7.999999999999999e-05,40000,5,0.4142922384238489,0.08285844768476977,0.00031231492528915975,-0.0004170669283841582,0.011874465611339816,0.10897002161759818,0.08990967553975451,0.13809741280794963,0.1659615505224123,0.23702389414562847,20000,32000,36000,39600,1.0850996856930115,849.6618295945892,115.77540135240147,0.29530970943744056,1.070497696710722,4.052654523130833
100,9.999999999999999e-05,40000,5,0.41442178326990764,0.08288435665398153,0.0003146409895468414,-0.00042143457383117414,0.0118546887646335,0.10887923936469018,0.08966869155339927,0.13814059442330254,0.16611996598684617,0.2373484389021982,20000,32000,36000,39600,1.0818530199581617,854.8267482371346,116.01152803807615,0.2568251994309656,1.0791370765080939,4.0887828386471154
120,0.00011999999999999999,40000,5,0.4138239989314859,0.08276479978629718,0.00030230271697509464,-0.0004201351731848524,0.011840919430401472,0.1088159888545864,0.08942347422589944,0.13794133297716196,0.16584316761067563,0.23747215783485087,20000,32000,36000,39600,1.0804529758640786,858.8618904457564,116.20225185463896,0.2701769682087222,1.1042698177368122,4.106846996405257
140,0.00014,40000,5,0.41430125571662957,0.08286025114332592,0.0002749071527138666,-0.0004493377899673926,0.011827925715098013,0.10875626747501964,0.08931495735824578,0.13810041857220987,0.16584403102166248,0.2377560133627753,20000,32000,36000,39600,1.0778987044554689,863.0428184439276,116.39436203825302,0.2686061718819273,1.1011282250832224,4.1249111541633985
160,0.00015999999999999999,40000,5,0.4134883084729901,0.08269766169459802,0.00030851948955384743,-0.0004953774039696209,0.011816561211180477,0.10870400733726644,0.0891717305626892,0.13782943615766338,0.1662052658695655,0.23728218853423672,20000,32000,36000,39600,1.0782859966706178,867.3226045154473,116.58663777945073,0.25839599575776045,1.100342826919825,4.1618248678430785
180,0.00017999999999999998,40000,5,0.41409351335529354,0.0828187026710587,0.0002962622266048743,-0.00040897105234706565,0.011817485734693843,0.10870825973537541,0.08897039524183539,0.1380311711184312,0.1660198572451138,0.2382550099128151,20000,32000,36000,39600,1.0742790260215755,870.7823991243773,116.71817811275518,0.2780309498426967,1.1026990214100174,4.143760710084937
