step,t,N,K,L,h_eff,xc_x,xc_y,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,N_0.99,R50_over_heff,peak_PK_u,S_L2,Mcore_0.01,Mcore_0.02,Mcore_0.04
0,0.0,160000,10,0.4154228671099962,0.04154228671099962,0.0002558652916317803,-0.00014690083775573468,0.01194530234914285,0.10929456687842654,0.09103370321678986,0.1384742890366654,0.16587595869349167,0.23450772196599204,80000,128000,144000,158400,2.191350318534243,839.547109839309,114.70054307878726,0.2646791810649401,1.0381000224705772,3.931114157345078
20,1.9999999999999998e-05,160000,10,0.41538265046347167,0.04153826504634717,0.000274302832060154,-0.00014269399782541463,0.011939300533350666,0.10926710636486474,0.09089357311898692,0.1384608834878239,0.16601145577768223,0.23519711338478774,80000,128000,144000,158400,2.188188963057811,848.7632812229403,114.86756299010543,0.2674280746368311,1.0437941591552087,3.9611556370950303
40,3.9999999999999996e-05,160000,10,0.41520464720927364,0.041520464720927366,0.00027489689279409755,-0.00012876483722973892,0.011932430035495729,0.10923566283726084,0.09076397499444155,0.13840154906975788,0.16620887612803892,0.2355817516795545,80000,128000,144000,158400,2.186005758955155,857.9378289055715,115.0652177327121,0.26703537555513246,1.053807985738526,3.991393466385832
60,5.9999999999999995e-05,160000,10,0.41531714266440745,0.04153171426644074,0.00027312212684870926,-0.0001366727686950132,0.011930151127319594,0.10922523118455549,0.09049713944006957,0.1384390475548025,0.16620390242637156,0.23565501950921564,80000,128000,144000,158400,2.1789887809469692,867.8780415504958,115.23729422126048,0.2719441140763665,1.058520374718911,4.040480851598172
80,7.999999999999999e-05,160000,10,0.41517321229884213,0.04151732122988421,0.00025854362563211677,-0.00013676635994194837,0.011922470647598814,0.10919006661596473,0.09027219969775346,0.1383910707662807,0.16638954905055356,0.2366829850127977,80000,128000,144000,158400,2.174326209485198,876.5501413644199,115.42729225886758,0.2699806186678729,1.0767808820179017,4.067969787317083
100,9.999999999999999e-05,160000,10,0.41513373080492333,0.041513373080492334,0.0002594065720906642,-0.00013538099586552326,0.011907155978303857,0.10911991558970277,0.09011575460412026,0.13837791026830779,0.16641982730705687,0.23683216256908443,80000,128000,144000,158400,2.170764452924371,886.8259565448506,115.6780331218557,0.26487553060578944,1.0787443774263952,4.104883500996763
120,0.00011999999999999999,160000,10,0.41497586542382553,0.04149758654238255,0.00023304234180487085,-0.00012484982174563872,0.011897897735458064,0.10907748500702638,0.08995685889478072,0.1383252884746085,0.1662242522837894,0.23732250093394397,80000,128000,144000,158400,2.1677612215569564,894.5979301076305,115.88916225725815,0.26585727831003625,1.0966121856436872,4.163002965088174
140,0.00014,160000,10,0.4152014400805772,0.041520144008057716,0.00020088174375290145,-0.00015847115063558694,0.011890394634957516,0.10904308614010114,0.08975730579013075,0.13840048002685906,0.1663535223160334,0.23783990604734093,80000,128000,144000,158400,2.1617773236218008,897.6439472335127,116.05896135985236,0.26624997739173495,1.0944523406943443,4.167911703609409
160,0.00015999999999999999,160000,10,0.41494756508470304,0.0414947565084703,0.00022028397042639982,-0.0001412051834493533,0.011882521463710076,0.10900697896790863,0.08959284310073387,0.13831585502823435,0.16659534572699458,0.23790275094725596,80000,128000,144000,158400,2.1591364943289966,905.5435055487682,116.26129027199785,0.27861999846524477,1.1036807691142643,4.183423317336508
180,0.00017999999999999998,160000,10,0.41465387178217816,0.041465387178217815,0.00021746897292218207,-0.00011907970521396978,0.011875088660204716,0.10897288038867614,0.08938603648588145,0.13821795726072605,0.16659801335687804,0.2389060333124317,80000,128000,144000,158400,2.155678327606135,912.1767993145033,116.47215138646222,0.27371125994401074,1.1097676048805944,4.206985262238431
200,0.00019999999999999998,160000,10,0.41434221526045634,0.04143422152604563,0.0001934242365953211,-0.00012153396483576124,0.011867931223171039,0.10894003498792829,0.08928732924710674,0.13811407175348545,0.16671150654677172,0.23928549191434498,80000,128000,144000,158400,2.1549175043865745,916.303189841957,116.674351331435,0.2837250865273282,1.1180142855962676,4.225834818159971
220,0.00021999999999999998,160000,10,0.41423313851387783,0.04142331385138778,0.00016132158560628866,-0.00010306003088174561,0.011862427913980062,0.1089147736258955,0.08897372668299244,0.13807771283795928,0.16695666476472681,0.23967449006380748,80000,128000,144000,158400,2.1479142639866704,921.6053878041149,116.90392926392744,0.2856885819358218,1.1174252369737196,4.254109152042278
240,0.00023999999999999998,160000,10,0.41425279503891216,0.041425279503891216,0.00017914325747638276,-0.0001096530356386055,0.01185611745155707,0.10888580004553886,0.08887207586666729,0.13808426501297072,0.1668341405022103,0.2402224238985817,80000,128000,144000,158400,2.1453585088863245,931.1088769223412,117.10785647931606,0.28293968836393074,1.1398090846305469,4.289844768476863
260,0.00026,160000,10,0.41435849854905016,0.04143584985490502,0.00018416698510130165,-0.00012070108667530115,0.011846651445735473,0.10884232377956414,0.08858238081569937,0.13811949951635005,0.166937343453557,0.2404858342745359,80000,128000,144000,158400,2.137819813661028,936.2205027643708,117.29193323809582,0.29314986448809754,1.155124348816797,4.3049636831222635
280,0.00028,160000,10,0.4138158340100081,0.04138158340100081,0.00018419640050328188,-0.00013200940303180068,0.011838826740703278,0.1088063727026284,0.08851644236470507,0.13793861133666938,0.16711920291787738,0.24127173872550237,80000,128000,144000,158400,2.139029855550774,949.1353195634399,117.51581240369576,0.3015928947446201,1.1604257864197298,4.357389010529043
