t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,4,20000,0,10.0,0.0,0.0,0.0,0.0,0.0,0.00035177651182554293,0.0,0.0,0.0,0
0.02,4,20000,392,10.0,0.196,0.19801326693244747,0.0,0.002013266932447466,0.010167333551111478,0.0003999795057785651,7.824916820757526e-05,0.020052280142501572,0.08174286246093186,392
0.04,4,20000,788,10.0,0.394,0.39210560847676823,0.0,0.0018943915232317865,0.004831329831243735,0.00036331892986928634,6.656499405662425e-05,0.02746929795095711,0.12907656377113405,788
0.06,4,20000,1159,10.0,0.5795,0.5823546641575128,0.0,0.0028546641575127873,0.004901934050176458,0.00047331564778849285,8.944181578839567e-05,0.025120046040345147,0.14166969571520982,1159
0.08,4,20000,1532,10.0,0.766,0.7688365361336424,0.0,0.002836536133642431,0.0036893877961457497,0.00036919867180813326,8.836251717349583e-05,0.04025882220129214,0.14594348068479415,1532
0.1,4,20000,1903,10.0,0.9515,0.9516258196404048,0.0,0.00012581964040481175,0.00013221545465459921,0.0004243418637114693,0.00010252899952833676,0.03867475600094015,0.14780017833005896,1903
0.12,4,20000,2300,10.0,1.1500000000000001,1.1307956328284252,0.0,0.01920436717157492,0.016983057427927637,0.00048026281840657614,0.0001423493672170943,0.0393934471807003,0.16084463483192096,2300
0.14,4,20000,2645,10.0,1.3225,1.3064176460119414,0.0,0.016082353988058573,0.012310270025173535,0.0004202060182148106,0.0002018095809130776,0.038318973340155396,0.164697748906134,2645
0.16,4,20000,3025,10.0,1.5125,1.4785621103378865,0.0,0.03393788966211342,0.022953306746348184,0.00046261236280034765,0.00027425533350638976,0.03637360526748928,0.16302783529703296,3025
0.18,4,20000,3349,10.0,1.6745,1.64729788588728,0.0,0.02720211411272011,0.01651317247825417,0.0003919669527271636,0.00019996784966418702,0.03939315171838468,0.15014670433457883,3349
0.2,4,20000,3723,10.0,1.8615,1.8126924692201818,0.0,0.04880753077981814,0.026925433634539832,0.00040149721156282076,0.00020160095305759166,0.04219092692556161,0.14834662941288854,3723
0.22,4,20000,4046,10.0,2.023,1.974812020375215,0.0,0.04818797962478505,0.024401299530083534,0.0003943979403272313,0.0002436586646582003,0.04487180314138271,0.13930832266584467,4046
0.24,4,20000,4334,10.0,2.1670000000000003,2.1337213893344664,0.0,0.033278610665533837,0.015596511724482379,0.0002628597469096994,0.0002117652895884285,0.037299182209668116,0.13058052443562018,4334
0.26,4,20000,4635,10.0,2.3175,2.2894841419643375,0.0,0.028015858035662422,0.01223675566131037,0.00038876346891322984,0.0002613959333085512,0.033421719922224334,0.13219668083647423,4635
0.28,4,20000,4945,10.0,2.4725,2.4421625854427456,0.0,0.030337414557254583,0.012422356618715718,0.00040584587688662934,0.00024397373702031138,0.030087639190253604,0.12220588774829574,4945
0.3,4,20000,5253,10.0,2.6265,2.5918177931828215,0.0,0.034682206817178596,0.01338142168342317,0.0004912945349172128,0.00021888999632007275,0.03663049507154516,0.11873965684190503,5253
0.32,4,20000,5486,10.0,2.743,2.7385096292630906,0.0,0.004490370736909277,0.0016397133276166707,0.0005936397683971324,0.0002143636253633572,0.03988301880708033,0.1150773634817087,5486
0.34,4,20000,5795,10.0,2.8975,2.8822967723739037,0.0,0.015203227626096272,0.005274691965038237,0.0006496210209638868,0.000266306772778679,0.04009128509697773,0.11090783711774366,5795
0.36,4,20000,6055,10.0,3.0275,3.0232367392896897,0.0,0.004263260710310135,0.0014101643628847238,0.0006544966278844369,0.00032026274082995454,0.04077122464628937,0.10908686164556923,6055
0.38,4,20000,6333,10.0,3.1665,3.1613859078764417,0.0,0.0051140921235584,0.001617674106415444,0.0006301416897364065,0.0002826164593777398,0.03640026838128798,0.10270084580144555,6333
0.4,4,20000,6606,10.0,3.303,3.2967995396436067,0.0,0.0062004603563932115,0.0018807514020289808,0.0006541595880298495,0.00027840163234085075,0.04045200066595382,0.10257946228311746,6606
0.42,4,20000,6885,10.0,3.4425,3.4295318018494325,0.0,0.012968198150567378,0.003781331942620873,0.0005610335768405,0.00027185405404793174,0.047664229467610245,0.10467696401784947,6885
0.44,4,20000,7129,10.0,3.5645000000000002,3.559635789168587,0.0,0.004864210831413196,0.001366491157947739,0.0005344155937356604,0.0002881581782847257,0.04474035781091473,0.09781010093480101,7129
0.46,4,20000,7355,10.0,3.6775,3.6871635449307405,0.0,0.009663544930740287,0.0026208614868809153,0.00046455620772998244,0.00025357866302017133,0.041199807131020706,0.09026112442467467,7355
0.48,4,20000,7622,10.0,3.811,3.8121660819385914,0.0,0.0011660819385914678,0.00030588434856397524,0.00047096234551566546,0.00025887867696403576,0.04296545443792949,0.09024624964051275,7622
0.5,4,20000,7889,10.0,3.9445,3.9346934028736658,0.0,0.00980659712633436,0.0024923408566401148,0.0005755899091411716,0.00030220147448233346,0.038608598701413775,0.0847925087906849,7889
0.52,4,20000,8126,10.0,4.063,4.054794520298057,0.0,0.008205479701942409,0.0020236487104010503,0.0005333711392407828,0.00024212631719265374,0.04249647978590745,0.08326803366425999,8126
0.54,4,20000,8344,10.0,4.172,4.172517476260103,0.0,0.0005174762601036775,0.00012402015403120613,0.0005688708280910213,0.0001989714261723594,0.03598735276249164,0.07660110558292423,8344
0.56,4,20000,8575,10.0,4.2875000000000005,4.2879093615118515,0.0,0.000409361511851003,9.546878847893099e-05,0.000637278959575865,0.0002462578656266337,0.040018190233088474,0.07621461487998588,8575
0.58,4,20000,8817,10.0,4.4085,4.40101633434598,0.0,0.007483665654020477,0.0017004403268438674,0.000619047746035306,0.00022630500048612952,0.03344142501790205,0.07337605048074634,8817
0.6,4,20000,9029,10.0,4.5145,4.511883639059736,0.0,0.002616360940264073,0.0005798821843750641,0.0004992251305899125,0.00032722654437751546,0.036207749303922544,0.07148300028339638,9029
0.62,4,20000,9208,10.0,4.604,4.620555624053255,0.0,0.016555624053254725,0.0035830374959823037,0.00044842455046816573,0.00033024314059635317,0.0329020427720049,0.06750221788183403,9208
0.64,4,20000,9448,10.0,4.724,4.727075759569514,0.0,0.0030757595695138917,0.0006506685583126756,0.000472265550626548,0.0003296847739435588,0.0367303564881647,0.06836011569591291,9448
0.66,4,20000,9673,10.0,4.8365,4.831486655083008,0.0,0.005013344916991791,0.0010376402285448636,0.00047116715017020167,0.0003453136662177754,0.03652410587231034,0.06655781023292287,9673
0.68,4,20000,9887,10.0,4.9435,4.933830076344105,0.0,0.009669923655895474,0.00195992231314556,0.0004733608997058183,0.000294956021654207,0.03786961978076865,0.06579723003120047,9887
0.7000000000000001,4,20000,10081,10.0,5.0405,5.034146962085906,0.0,0.0063530379140939175,0.001261988964950981,0.0005005633222126075,0.00032575204664146457,0.03562830484917973,0.06315980319701389,10081
0.72,4,20000,10318,10.0,5.159,5.132477440400283,0.0,0.026522559599716722,0.0051675939948502185,0.0004941243998804641,0.0003527556726470559,0.029592575401526,0.05903081746907024,10318
0.74,4,20000,10475,10.0,5.2375,5.228860844789656,0.0,0.008639155210343752,0.001652205990326232,0.0005220019142265368,0.00034710599871205447,0.032515180759681295,0.0588568787402951,10475
0.76,4,20000,10693,10.0,5.3465,5.323335729900908,0.0,0.023164270099091944,0.004351457671358094,0.0005194282274925457,0.0003763032703855904,0.03759358854056642,0.06091290290863022,10693
0.78,4,20000,10871,10.0,5.4355,5.415939886947765,0.0,0.019560113052235373,0.0036115823773034475,0.0004762324433373243,0.00034509713845722013,0.033778868172759505,0.05842815027699144,10871
0.8,4,20000,11043,10.0,5.5215000000000005,5.506710358827784,0.0,0.01478964117221615,0.0026857488788214435,0.00045867633853169604,0.00034054972776659216,0.03367196045752456,0.056882880003001755,11043
0.8200000000000001,4,20000,11197,10.0,5.5985000000000005,5.5956834549400085,0.0,0.0028165450599919595,0.0005033424572123434,0.00047672922377963903,0.00032986675504044017,0.03150041514522255,0.0548099487848826,11197
0.84,4,20000,11381,10.0,5.6905,5.682894765709204,0.0,0.007605234290796403,0.0013382676618765963,0.0004038036775904957,0.0003757146294232079,0.03306690382442109,0.05425225320792889,11381
0.86,4,20000,11541,10.0,5.7705,5.768379176822512,0.0,0.002120823177488518,0.0003676636213531241,0.00044298338313477844,0.000355323724308121,0.03377467993095368,0.05422753327598586,11541
0.88,4,20000,11688,10.0,5.844,5.852170883184186,0.0,0.008170883184186017,0.0013962140455714464,0.00047010636712281915,0.0003683522070514368,0.032305371032407215,0.05172808186974086,11688
0.9,4,20000,11848,10.0,5.924,5.934303402594009,0.0,0.010303402594008304,0.0017362446600732396,0.00042111642220065104,0.0003638281663808659,0.0330733261670519,0.05145151117982739,11848
0.92,4,20000,12014,10.0,6.007000000000001,6.01480958915486,0.0,0.007809589154859076,0.0012983934136402812,0.00038820752542542035,0.0003623720467627223,0.032660562508230885,0.05090351425256231,12014
0.9400000000000001,4,20000,12178,10.0,6.089,6.093721646414789,0.0,0.004721646414788339,0.0007748378886925851,0.0003885700967954707,0.00030411225494276795,0.032415533376150295,0.050012719522155136,12178
0.96,4,20000,12359,10.0,6.1795,6.1710711402488805,0.0,0.00842885975111951,0.00136586656668806,0.0004558032364546682,0.0003066555757779118,0.03143048009521977,0.048894482588331,12359
0.98,4,20000,12489,10.0,6.2445,6.246889011486005,0.0,0.0023890114860050105,0.0003824321965081166,0.0004070728937735901,0.00034727360589426206,0.0334786171843191,0.04984993106259472,12489
1.0,4,20000,12637,10.0,6.3185,6.321205588285577,0.0,0.0027055882855764324,0.0004280177646160431,0.0004604942568310081,0.0003885622860365368,0.03554776828358486,0.05020151393510239,12637
