method,n_seeds,N0,Nact_final,particle_steps,global_rel_L2,global_nESS,max_mean_weight,mean_Em,mean_Em_std,median_Em,max_Em,max_Em_std,num_Em_gt_20pct,min_local_eff,median_local_eff,n_resamples
weighted,8,20000,20000.0,16000000.0,1.4794693305499185,0.006519303896704534,593.1408662393967,0.18499138709063842,0.03944340517380812,0.16925795536420807,0.4702067508836514,0.12467848484962361,6.125,9.762100935939985,17.588393741644524,0.0
weighted_ess_resample,8,20000,20000.0,16000000.0,0.24582555994078534,0.7553471680694435,2.429730146129443,0.1406184310634161,0.024163693815497867,0.12460346630316654,0.40839863545156296,0.06018003247647719,3.375,114.87108615068237,495.74872677740325,3.0
minvar_branch,8,20000,1499806.375,164444558.375,0.25982440002613516,1.0,1.0,0.1834305014697681,0.03019375160422213,0.15236583121415437,0.4758669292967356,0.14872349928648698,5.5,4739.125,35934.375,0.0
poisson_branch,8,20000,1424771.625,157750201.5,0.23072887907837353,1.0,1.0,0.16890379058712326,0.04115466082073589,0.14453583625243832,0.4692329317838226,0.13573367567570063,5.125,4420.25,35670.125,0.0
