seed,method,m,amplitude,local_eff,E_m
7,weighted,5,1.176776695296637,10.163139426107682,0.15235781169956295
7,weighted,6,1.0956708580912724,15.88947462607214,0.026199508676485406
7,weighted,7,1.0,17.923078427728083,0.1204328818104239
7,weighted,8,0.9043291419087276,15.891572015556354,0.15330725038299153
7,weighted,9,0.8232233047033631,21.248851905366664,0.12029120483373773
7,weighted,10,0.7690301168721784,27.686038361757745,0.09408904143321503
7,weighted,11,0.75,26.213992439388832,0.32642108951555826
7,weighted,12,0.7690301168721784,21.74165921649632,0.11804539791259004
7,weighted,13,0.823223304703363,14.719259692591054,0.3237392596897421
7,weighted,14,0.9043291419087274,22.682292754015112,0.11133037498190299
7,weighted,15,0.9999999999999999,19.296411349123765,0.061869379316140706
7,weighted_ess_resample,0,1.0956708580912724,1021.1043092447658,0.2564301170267101
7,weighted_ess_resample,1,1.176776695296637,1287.633209404195,0.02762811053526706
