seed,method,m,amplitude,cx,cy,M_ref,M_method,E_m,local_eff
0,weighted,0,1.0956708580912724,-2.356194490192345,-2.356194490192345,148.2825587440157,113.11513729714586,0.2371649217867917,13.054549193177449
0,weighted,1,1.176776695296637,-0.7853981633974483,-2.356194490192345,284.67508004620794,306.1262916809237,0.07535331730207595,12.731543471041826
0,weighted,2,1.2309698831278217,0.7853981633974483,-2.356194490192345,441.41018128244633,343.23857617901604,0.22240448740490867,8.437682117042355
0,weighted,3,1.25,2.356194490192345,-2.356194490192345,515.1724650036236,424.07367481675533,0.17683163673397712,9.566533796689995
0,weighted,4,1.2309698831278217,-2.356194490192345,-0.7853981633974483,441.4101812824476,264.63869330112146,0.4004698928052463,8.276462791276007
0,weighted,5,1.176776695296637,-0.7853981633974483,-0.7853981633974483,284.6750800462278,244.9829413358156,0.13942962167242262,16.177294699970986
0,weighted,6,1.0956708580912724,0.7853981633974483,-0.7853981633974483,148.2825587440179,95.60006322573885,0.35528450523453353,14.878744065939534
0,weighted,7,1.0,2.356194490192345,-0.7853981633974483,69.19726433937538,56.94209046122043,0.17710488984145253,13.350483825631537
0,weighted,8,0.9043291419087276,-2.356194490192345,0.7853981633974483,32.57757740317082,33.20924145751773,0.01938953429623117,20.968054932985456
0,weighted,9,0.8232233047033631,-0.7853981633974483,0.7853981633974483,17.336913934687896,19.51477758675721,0.125620030201097,25.088899195297586
0,weighted,10,0.7690301168721784,0.7853981633974483,0.7853981633974483,11.425663551126782,12.063630372790639,0.0558363038443349,22.79477420734172
0,weighted,11,0.75,2.356194490192345,0.7853981633974483,9.878529006862887,7.589233731687421,0.23174455160125862,18.42900051671423
0,weighted,12,0.7690301168721784,-2.356194490192345,2.356194490192345,11.425663551126913,11.662313779309462,0.020712164954236598,30.783700181697057
0,weighted,13,0.823223304703363,-0.7853981633974483,2.356194490192345,17.336913934685423,17.975606857243623,0.03684005844202678,19.540157976353512
0,weighted,14,0.9043291419087274,0.7853981633974483,2.356194490192345,32.57757740316995,28.500427298686475,0.12515203491118854,19.784120161021995
0,weighted,15,0.9999999999999999,2.356194490192345,2.356194490192345,69.19726433937966,92.22416328043052,0.3327718105749799,14.001213748596768
0,weighted_ess_resample,0,1.0956708580912724,-2.356194490192345,-2.356194490192345,148.2825587440157,148.41795220856145,0.0009130774764919627,954.0984534743233
0,weighted_ess_resample,1,1.176776695296637,-0.7853981633974483,-2.356194490192345,284.67508004620794,318.94034129531457,0.12036621274874061,1739.6855996172296
0,weighted_ess_resample,2,1.2309698831278217,0.7853981633974483,-2.356194490192345,441.41018128244633,269.8075962873356,0.3887599159959269,1316.703047995629
0,weighted_ess_resample,3,1.25,2.356194490192345,-2.356194490192345,515.1724650036236,474.69428564323704,0.07857209402700101,2223.603773254628
0,weighted_ess_resample,4,1.2309698831278217,-2.356194490192345,-0.7853981633974483,441.4101812824476,359.0371193972359,0.18661341622408828,1771.856343339335
0,weighted_ess_resample,5,1.176776695296637,-0.7853981633974483,-0.7853981633974483,284.6750800462278,272.7172234291908,0.04200528059953524,1499.392031219575
0,weighted_ess_resample,6,1.0956708580912724,0.7853981633974483,-0.7853981633974483,148.2825587440179,145.97398535168787,0.01556874531896467,969.9795017421718
0,weighted_ess_resample,7,1.0,2.356194490192345,-0.7853981633974483,69.19726433937538,45.232361690015665,0.3463273133432667,367.88533063844113
0,weighted_ess_resample,8,0.9043291419087276,-2.356194490192345,0.7853981633974483,32.57757740317082,30.404285174926947,0.06671129044826839,302.6757496833935
0,weighted_ess_resample,9,0.8232233047033631,-0.7853981633974483,0.7853981633974483,17.336913934687896,16.972626035647757,0.021012268989307713,202.81747753664965
0,weighted_ess_resample,10,0.7690301168721784,0.7853981633974483,0.7853981633974483,11.425663551126782,9.831524790200396,0.13952264162103517,132.30429039771286
0,weighted_ess_resample,11,0.75,2.356194490192345,0.7853981633974483,9.878529006862887,11.150193568684053,0.12873015414923664,147.95953932601512
0,weighted_ess_resample,12,0.7690301168721784,-2.356194490192345,2.356194490192345,11.425663551126913,11.475816887807877,0.0043895338293956036,148.46186563375684
