seed,method,t,Nact,total_mass,global_nESS,max_mean_weight,global_rel_L2,min_local_eff,median_local_eff,max_local_eff,mean_Em,median_Em,max_Em,num_Em_gt_20pct,n_resamples
0,weighted,0.0,20000,39.47841760435744,1.0,1.0,0.9043376638669864,40.0,54.0,66.0,0.9963610869907921,0.9985451742080818,0.9998166540793105,16,0
0,weighted,0.042,20000,39.57978581912343,0.9904494568484061,1.7992913106225135,0.8987840366885067,39.63986289186297,56.62380004727953,66.82106550375845,0.9952728286114711,0.9979831824641237,0.9997354191326734,16,0
0,weighted,0.084,20000,40.063428593757166,0.9487271504649477,3.2080491867067127,0.8952414906061428,40.083257033327406,53.17636936045386,63.08430447150003,0.9940518352499348,0.997347545898569,0.999572383997782,16,0
0,weighted,0.126,20000,41.067971689829314,0.8515003095902466,5.544887346554841,0.8941790182062919,38.671247092328194,51.86013527649918,58.394187176716514,0.9923330123437532,0.9962836544810403,0.9993694863647492,16,0
0,weighted,0.168,20000,42.79033790065712,0.6888992312185016,9.41225852953302,0.8906034278205354,39.300866186363635,47.353658098175515,56.04016080276661,0.9900421656221855,0.9943993211468432,0.9990519151336588,16,0
0,weighted,0.21,20000,45.53493286710754,0.49053795455015164,15.577207587421684,0.9219224119237216,31.88480465620311,46.15201176141035,57.287664071747926,0.9866437745391072,0.9924520491893487,0.9987087503518081,16,0
0,weighted,0.252,20000,49.76100566605763,0.31314812681661336,24.950663466344658,0.9081758400851994,31.191121314694254,43.07678120359124,57.48876800776275,0.9822798069172151,0.9891001038781921,0.9979572021965613,16,0
0,weighted,0.294,20000,56.13328920701038,0.18877048231586666,37.259378424575374,0.9829631732487333,29.850320867349232,40.00241723802337,54.617583629482844,0.976675014709385,0.9852641511360308,0.99675022489069,16,0
0,weighted,0.336,20000,65.6425905597462,0.11365510955099795,52.63281092804997,0.946248219434588,26.19929390984494,38.67870082445715,52.2859639660871,0.968372945702317,0.9786986753889949,0.9950373190191224,16,0
0,weighted,0.378,20000,79.75313466838605,0.07084411975684303,77.60217514950347,1.0045885565602402,22.120497120318664,35.66194010415721,48.29949101089003,0.957770973567339,0.9690661302201022,0.9926109751082836,16,0
0,weighted,0.421,20000,101.23453086007267,0.04577008860147388,110.6012317354088,1.067582067796445,21.10445594130148,32.84806188922597,48.349285848634736,0.9439559635608507,0.956922248024164,0.987700245785802,16,0
0,weighted,0.463,20000,132.52423703059722,0.03129139509936247,149.18076997679663,1.0575455802732556,18.35673728427341,29.943165625209517,43.54433821136564,0.9251723815343398,0.9377115444527067,0.980776911911815,16,0
0,weighted,0.505,20000,179.12030703047193,0.022353838521810502,197.16427404677248,1.0311576308723132,16.81234320381077,27.9486222471364,41.80330916159523,0.9004163846451412,0.9110476266363643,0.9692641761803111,16,0
0,weighted,0.547,20000,248.83827723827207,0.016673308296382677,244.58948882041506,1.1158916877425078,14.526224003277756,24.025824983067086,39.611764292945026,0.8658878601109544,0.8778563290037453,0.95414564582535,16,0
0,weighted,0.589,20000,353.6201161424007,0.012840292248082294,304.60429593264354,1.1809145474866745,13.362340009296277,22.320938364328775,42.1782527710872,0.814087288921574,0.8241694405121582,0.924894188588102,16,0
0,weighted,0.631,20000,510.7007526358355,0.010176603614446457,368.96812132384974,1.137284315974968,11.141319098630264,21.263412672354598,36.48816415684062,0.7490347064492221,0.7657245119576136,0.8876712242615507,16,0
0,weighted,0.673,20000,744.8617548699265,0.008330531652952397,443.7759235821337,1.2611132324092706,10.080117503452499,19.485508032703425,35.220024869627736,0.6538422925329466,0.6715702860572803,0.8240610223360112,16,0
0,weighted,0.715,20000,1095.417625182625,0.006963619730253856,525.981103478092,1.4748960525953283,8.636763504959116,18.19743952394391,33.71173187346192,0.5227542958606213,0.5168585653102026,0.7590602242636023,16,0
0,weighted,0.757,20000,1617.9859548954905,0.0059256038773587835,583.4911247495816,1.4229996361123403,8.40791568856758,17.023787598198233,32.701072594491514,0.352277181741365,0.3619020333534827,0.6185846611182287,13,0
0,weighted,0.8,20000,2417.8204697157403,0.005144383867856127,690.6552327481149,1.4239040526404128,8.276462791276007,15.52801938295526,30.783700181697057,0.17075686010042262,0.15813062920319987,0.4004698928052463,6,0
0,weighted_ess_resample,0.0,20000,39.47841760435744,1.0,1.0,0.9043376638669864,40.0,54.0,66.0,0.9963610869907921,0.9985451742080818,0.9998166540793105,16,0
0,weighted_ess_resample,0.042,20000,39.57978581912343,0.9904494568484061,1.7992913106225135,0.8987840366885067,39.63986289186297,56.62380004727953,66.82106550375845,0.9952728286114711,0.9979831824641237,0.9997354191326734,16,0
0,weighted_ess_resample,0.084,20000,40.063428593757166,0.9487271504649477,3.2080491867067127,0.8952414906061428,40.083257033327406,53.17636936045386,63.08430447150003,0.9940518352499348,0.997347545898569,0.999572383997782,16,0
0,weighted_ess_resample,0.126,20000,41.067971689829314,0.8515003095902466,5.544887346554841,0.8941790182062919,38.671247092328194,51.86013527649918,58.394187176716514,0.9923330123437532,0.9962836544810403,0.9993694863647492,16,0
0,weighted_ess_resample,0.168,20000,42.79033790065712,0.6888992312185016,9.41225852953302,0.8906034278205354,39.300866186363635,47.353658098175515,56.04016080276661,0.9900421656221855,0.9943993211468432,0.9990519151336588,16,0
0,weighted_ess_resample,0.21,20000,45.53513379109407,0.9999361868073285,1.0250550791041924,0.911270068876952,144.99909232579273,228.99677844356756,374.99251232179364,0.9867981902502095,0.9925147441155412,0.9986883363051984,16,1
0,weighted_ess_resample,0.252,20000,49.76033354077305,0.9630536763483014,1.6958823935096379,0.6177908172744478,148.52724970738439,219.50896602297263,370.40853991479025,0.9824875611665227,0.9894777644311179,0.9980156185787659,16,1
0,weighted_ess_resample,0.294,20000,56.10457221618805,0.8481421064033666,2.7074136626097753,0.5110865966058045,138.4044133875607,208.95651763881665,361.3926102395085,0.9770448354816572,0.9853357618064363,0.9969785730756007,16,1
0,weighted_ess_resample,0.336,20000,65.54090935672657,0.6790874512620801,4.197487098412844,0.45363549513850515,140.9409981158285,198.83869299363346,336.2371429146825,0.9694389547136015,0.9797467681181282,0.99538802957639,16,1
0,weighted_ess_resample,0.378,20000,79.55736754156351,0.5089571715515535,6.241100494127589,0.43623334777741146,126.74283908336562,193.38960467018342,319.6176927520027,0.9597650014170334,0.9718871342470865,0.9927341989054109,16,1
0,weighted_ess_resample,0.421,20000,100.96536838879517,0.9617254873316113,1.4100277975808628,0.3365258021081052,204.4659616090844,488.55404880770504,1270.339338229206,0.9455558256041486,0.9595259305577895,0.9888103920704084,16,2
0,weighted_ess_resample,0.463,20000,132.2540092255241,0.8605188011077093,1.9450049090084682,0.30407392671660005,203.45390395196364,468.1807137278108,1213.8627201739305,0.92708313153628,0.9422231997016476,0.9823546384618069,16,2
0,weighted_ess_resample,0.505,20000,179.01625905028504,0.7390828919271323,2.597979354773283,0.2996269915068573,194.42143018328002,451.54022597553904,1156.3441059967965,0.9012303766961914,0.9167947364645779,0.9726369904775389,16,2
0,weighted_ess_resample,0.547,20000,249.0746112418095,0.62642576174303,3.3559134266922137,0.3025016470163815,184.10639786935104,427.44384467423623,1082.8082116222158,0.8658314891303802,0.882131883526776,0.9581044348729365,16,2
0,weighted_ess_resample,0.589,20000,354.4016687783466,0.5324580508051773,4.2036750002660055,0.29179446204095133,174.40737251254322,406.03226203191264,1002.5697107659744,0.81691899452545,0.830538616080071,0.9346178002255725,16,2
0,weighted_ess_resample,0.631,20000,513.0840660373871,0.9916260485661237,1.1417761602311274,0.264132578754453,152.8376699623818,591.013812610606,2762.2429168011035,0.7505634262823218,0.7656441781181056,0.8988636532316341,16,3
0,weighted_ess_resample,0.673,20000,752.9871107555721,0.9496829359830379,1.4069140304836862,0.25456527964161574,140.94957343210115,569.4547928043394,2642.051118938797,0.655624602579696,0.6635661592671318,0.8417967327979974,16,3
0,weighted_ess_resample,0.715,20000,1117.0914507440011,0.8888799236098864,1.7156464552076205,0.2550015948055313,142.17951576384914,547.7410450560271,2505.761967849995,0.5205151082677646,0.5151830615159179,0.75265030334476,16,3
0,weighted_ess_resample,0.757,20000,1671.911819734979,0.8211874174084949,2.0718123482636046,0.2556157646927745,134.2898873345011,525.5592117885861,2375.1538503733923,0.329921286820565,0.3230401239575477,0.6160035086148107,15,3
0,weighted_ess_resample,0.8,20000,2544.1575688219586,0.7513462502325114,2.4771468536932,0.25124184713603354,132.30429039771286,490.37819426498777,2223.603773254628,0.11340008444253984,0.08846796793940101,0.3887599159959269,2,3
0,minvar_branch,0.0,20000,39.47841760435744,1.0,1.0,0.9043376638669864,40.0,54.0,66.0,0.9963610869907921,0.9985451742080818,0.9998166540793105,16,0
0,minvar_branch,0.042,20061,39.59882677805073,1.0,1.0,0.9040172749831005,54.0,73.5,96.0,0.9952561444970326,0.9980031802856024,0.9997093296379314,16,0
0,minvar_branch,0.084,20251,39.97387174529212,1.0,1.0,0.8912988587235089,78.0,104.0,138.0,0.9939548068517299,0.9970047704284036,0.999530455568966,16,0
0,minvar_branch,0.126,20785,41.02794549532847,1.0,1.0,0.8578115881793072,97.0,143.0,229.0,0.9919543591682005,0.9964199875120443,0.9992979192793111,16,0
0,minvar_branch,0.168,21683,42.80052644576411,1.0,1.0,0.7797031735471617,114.0,190.0,359.0,0.9896231542656733,0.9947369537527664,0.9989714741034493,16,0
0,minvar_branch,0.21,23063,45.524537260464776,1.0,1.0,0.68689954445224,141.0,258.5,570.0,0.9864809572224471,0.992640293052649,0.9984706267103464,16,0
0,minvar_branch,0.252,25244,49.82965870021996,1.0,1.0,0.5787567440027906,184.0,356.0,886.0,0.9825734058281792,0.9902726353912918,0.997755130434485,16,0
0,minvar_branch,0.294,28579,56.41268483574656,1.0,1.0,0.47765584747003137,238.0,494.5,1386.0,0.9772056286673101,0.9861934179747367,0.9965298430620726,16,0
0,minvar_branch,0.336,33430,65.98817502568346,1.0,1.0,0.4049614841506782,294.0,653.0,2190.0,0.9698293090911436,0.9813867876622225,0.9947545179275917,16,0
0,minvar_branch,0.378,40727,80.39187568863326,1.0,1.0,0.34538661849825986,402.0,916.0,3408.0,0.9592599414823433,0.9738701877373115,0.9921205972620772,16,0
0,minvar_branch,0.421,52160,102.9597131121642,1.0,1.0,0.31982798981816135,522.0,1311.0,5386.0,0.9450196294418487,0.9626024193489251,0.9876889922034613,16,0
0,minvar_branch,0.463,68796,135.7978608754687,1.0,1.0,0.29907467692893125,695.0,1835.0,8488.0,0.9258660585892677,0.9474322808634161,0.9808560027689857,16,0
0,minvar_branch,0.505,93316,184.19840085841093,1.0,1.0,0.2877373883364564,893.0,2598.0,13250.0,0.8997023503035485,0.923649996992118,0.9709195482379617,16,0
0,minvar_branch,0.547,130654,257.9006586839858,1.0,1.0,0.2833936644282589,1148.0,3738.0,20936.0,0.8643104168118454,0.8876329894219344,0.9545570427793583,16,0
0,minvar_branch,0.589,186896,368.9179168291994,1.0,1.0,0.27500628550766903,1492.0,5239.0,32727.0,0.8143124780238553,0.8436696260959674,0.9288796701793852,16,0
0,minvar_branch,0.631,271855,536.6202608916295,1.0,1.0,0.2672839313473533,1856.0,7437.5,51382.0,0.7468120376670719,0.7761657840718121,0.8883691654104624,16,0
0,minvar_branch,0.673,401443,792.4167199173031,1.0,1.0,0.27009290630403915,2362.0,10495.5,81123.0,0.6511920766568275,0.6715941680443771,0.8266352523588033,16,0
0,minvar_branch,0.715,599008,1182.394398617547,1.0,1.0,0.26959183310801466,3027.0,14874.5,128498.0,0.5146706115971253,0.4986749028108462,0.7294127240244228,16,0
0,minvar_branch,0.757,900437,1777.3913956207398,1.0,1.0,0.27004833621773217,3821.0,20938.0,203503.0,0.32093274223271706,0.32568811903492767,0.5774189557728587,11,0
