t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,0,20000,0,112.0,0.0,0.0,0.0,0.0,0,0.45264636635471217,0.6898061142379389,0.9701262422815995,0.20657284840854348,0.20204581388753645,0.19926185518345851,0.0
0.04,0,20000,845,112.0,4.732,4.391582814939804,0.0,1.6067116583306627,845,0.4959552348892176,0.7741291767705933,1.1190831638535452,0.26916834012394353,0.2661420665320716,0.2611835635881495,0.003309762413401724
0.08,0,20000,1623,112.0,9.088799999999999,8.610969204696795,0.0,2.5659675584391892,1623,0.47850046834140364,0.8064730720107405,1.2231490935959404,0.31435723084068956,0.3095263827527227,0.30699189492863593,0.005795113648082652
0.12,0,20000,2348,112.0,13.1488,12.664911087678362,0.0,3.0804845867172124,2348,0.4666880989692544,0.8096191994497082,1.310879342185718,0.35117851889370433,0.3466462559437462,0.3419447868708307,0.006868014645534251
0.16,0,20000,3046,112.0,17.0576,16.55989563578433,0.0,3.587393413498127,3046,0.43872332034879574,0.7944962384858754,1.380881440650223,0.3829709969878523,0.37300492696944676,0.36926108310080513,0.008309516468258029
0.2,0,20000,3692,112.0,20.6752,20.302155655266034,0.0,4.262112881354219,3692,0.4015087373858192,0.7655906969553212,1.4271153851600207,0.40533761743641433,0.3975238556139505,0.3843588943369982,0.009634162177944203
0.24,0,20000,4363,112.0,24.4328,23.897679560546024,0.0,4.98671659329454,4363,0.36786795977755304,0.7136869289308342,1.4803326215217294,0.4238485482413411,0.4123648447537714,0.398933374209796,0.01174837898647087
0.28,0,20000,4936,112.0,27.6416,27.352220956958746,0.0,5.660765049340748,4936,0.3174191280939093,0.640954929638349,1.5054337261516448,0.4312478089633417,0.42615976212413137,0.4098253542858567,0.013397198248697149
0.32,0,20000,5534,112.0,30.9904,30.671307847746615,0.0,6.12876025414994,5534,0.28732494817659526,0.5588588941678534,1.5518897919773091,0.43824092035345025,0.4356043453531362,0.4181825357613522,0.014367184303377556
0.36,0,20000,6074,112.0,34.0144,33.860251480044525,0.0,6.327302190534963,6074,0.26860467998211807,0.5090508420565997,1.578619635668078,0.4503264233245154,0.4438122222364605,0.42651951260775794,0.014726008538013603
0.4,0,20000,6626,112.0,37.1056,36.9241548440084,0.0,7.8520344647503855,6626,0.24614055871959978,0.4515024640473114,1.5904629847005833,0.4571744704678361,0.45147484012740896,0.4382679460404267,0.018173697129696815
0.44,0,20000,7162,112.0,40.1072,39.86792083868818,0.0,8.752087851135755,7162,0.2171321041882604,0.38874191169043826,1.598116174936017,0.468425491970232,0.45335766305654895,0.439150259357866,0.020749980322737935
