t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,4,320000,0,10.0,0.0,0.0,0.0,0.0,0.0,0.00012995766550426166,0.0,0.0,0.0,0
0.02,4,320000,6522,10.0,0.2038125,0.19801326693244747,0.0,0.005799233067552534,0.029287093523541283,0.00012136452513986922,2.744572957028686e-05,0.00628569352259885,0.0889344425850084,6522
0.04,4,320000,12691,10.0,0.39659375,0.39210560847676823,0.0,0.004488141523231792,0.0114462568915224,0.00010233251306188534,2.832015609537671e-05,0.006132764766660236,0.13068044663453965,12691
0.06,4,320000,18793,10.0,0.58728125,0.5823546641575128,0.0,0.0049265858424871745,0.008459768841405986,0.00011161803187585046,2.792310127810374e-05,0.008845350247316688,0.1507073893649222,18793
0.08,4,320000,24797,10.0,0.77490625,0.7688365361336424,0.0,0.006069713866357573,0.007894674070617412,0.00010277153185978071,3.378898529210976e-05,0.01244585083343757,0.1573904107965759,24797
0.1,4,320000,30569,10.0,0.95528125,0.9516258196404048,0.0,0.0036554303595951465,0.00384124756196342,0.00010865622610075716,3.079516515147234e-05,0.009379373903326734,0.1625340974090529,30569
0.12,4,320000,36298,10.0,1.1343125,1.1307956328284252,0.0,0.0035168671715748445,0.003110082024970516,9.98294893907627e-05,3.75666244267451e-05,0.009396797860108486,0.1615853093605568,36298
0.14,4,320000,41971,10.0,1.3115937500000001,1.3064176460119414,0.0,0.005176103988058678,0.0039620591499660174,9.126053047265082e-05,2.6978712186586534e-05,0.009057960059074737,0.1546120630256548,41971
0.16,4,320000,47374,10.0,1.4804375,1.4785621103378865,0.0,0.0018753896621135357,0.0012683874752376582,9.503303169985197e-05,2.8166239888884498e-05,0.009240593341530653,0.1485576016774577,47374
0.18,4,320000,52749,10.0,1.64840625,1.64729788588728,0.0,0.0011083641127200838,0.0006728376951222082,8.700037045784763e-05,3.2220300068310124e-05,0.009058400829285307,0.1430155505926504,52749
0.2,4,320000,57926,10.0,1.8101875,1.8126924692201818,0.0,0.0025049692201817297,0.0013819052391492335,8.896388513014467e-05,4.224532480205282e-05,0.00911369566788508,0.13789498943007392,57926
0.22,4,320000,62968,10.0,1.96775,1.974812020375215,0.0,0.007062020375214972,0.0035760468856540512,0.0001042915719834291,4.30551557625368e-05,0.0099088220243215,0.1341804438919796,62968
0.24,4,320000,68168,10.0,2.13025,2.1337213893344664,0.0,0.003471389334466224,0.0016269178121465016,0.00010515936725592107,4.0175409451533965e-05,0.00976110238903531,0.12905017971158927,68168
0.26,4,320000,73061,10.0,2.28315625,2.2894841419643375,0.0,0.006327891964337251,0.002763894210207558,8.971387553308212e-05,5.038678161952142e-05,0.007641695556733546,0.12302304351800045,73061
0.28,4,320000,77978,10.0,2.4368125000000003,2.4421625854427456,0.0,0.005350085442745289,0.0021907163243905644,6.876798698787979e-05,5.6478846566853616e-05,0.007883559791845237,0.11804570652379878,77978
0.3,4,320000,82632,10.0,2.58225,2.5918177931828215,0.0,0.009567793182821305,0.0036915377338589063,8.898995136168654e-05,6.115138836494204e-05,0.008317926729878187,0.1123528393846399,82632
0.32,4,320000,87182,10.0,2.7244375,2.7385096292630906,0.0,0.014072129263090538,0.005138608647827624,8.23087822616354e-05,6.695350858442549e-05,0.009450179285990597,0.1089019595149699,87182
0.34,4,320000,91854,10.0,2.8704375,2.8822967723739037,0.0,0.011859272373903718,0.004114521616084744,7.227974357559718e-05,6.183214522229278e-05,0.009881998976894126,0.1049676459383735,91854
0.36,4,320000,96285,10.0,3.00890625,3.0232367392896897,0.0,0.01433048928968983,0.00474011482576015,8.569759460769083e-05,6.837445201768334e-05,0.010935215686408794,0.10179476429994866,96285
0.38,4,320000,100861,10.0,3.15190625,3.1613859078764417,0.0,0.00947965787644156,0.0029985766219883018,9.346102195778892e-05,6.752762253582804e-05,0.010733257590333225,0.09785484136481191,100861
0.4,4,320000,105116,10.0,3.284875,3.2967995396436067,0.0,0.011924539643606735,0.003617004764838026,0.00010009406528922999,6.962504125069104e-05,0.009550333495235371,0.09318805695768698,105116
0.42,4,320000,109390,10.0,3.4184375,3.4295318018494325,0.0,0.011094301849432497,0.003234931906288115,9.874948903912246e-05,6.849509694533875e-05,0.010035284766700035,0.08943386298741324,109390
0.44,4,320000,113613,10.0,3.55040625,3.559635789168587,0.0,0.009229539168587042,0.0025928324455752132,0.00011408453165482368,6.316064624465828e-05,0.009087411974134695,0.08542705861079385,113613
0.46,4,320000,117790,10.0,3.6809375,3.6871635449307405,0.0,0.006226044930740304,0.0016885730331382017,8.431301769950843e-05,6.1760048008968e-05,0.008874291856210068,0.08227228716489669,117790
0.48,4,320000,121787,10.0,3.80584375,3.8121660819385914,0.0,0.006322331938591219,0.0016584618305444184,9.313557041714461e-05,5.757956005146177e-05,0.01026190060787457,0.07991800312046296,121787
0.5,4,320000,125761,10.0,3.93003125,3.9346934028736658,0.0,0.004662152873665892,0.0011848833940303796,8.917128804357012e-05,5.29576309652255e-05,0.010029441276123678,0.07681819470568246,125761
0.52,4,320000,129637,10.0,4.05115625,4.054794520298057,0.0,0.0036382702980573,0.0008972761208599691,8.894481223976631e-05,5.7943559585100334e-05,0.008912195939516086,0.07403488598747356,129637
0.54,4,320000,133506,10.0,4.1720625,4.172517476260103,0.0,0.0004549762601033791,0.00010904118741071922,0.00010092734640084637,5.980303112730754e-05,0.010055962789453695,0.07188351539252062,133506
0.56,4,320000,137158,10.0,4.2861875000000005,4.2879093615118515,0.0,0.0017218615118510527,0.0004015620123192041,8.121867747179261e-05,6.663387551610793e-05,0.008630645596476947,0.06964600031020896,137158
0.58,4,320000,140888,10.0,4.40275,4.40101633434598,0.0,0.0017336656540205553,0.00039392393081817304,8.594122315150432e-05,6.28585680928275e-05,0.009417663732767456,0.06737224157568002,140888
0.6,4,320000,144518,10.0,4.5161875,4.511883639059736,0.0,0.004303860940264137,0.0009538944894334752,8.61987612225407e-05,6.914965484062529e-05,0.009623237028250816,0.06510517102845409,144518
0.62,4,320000,147980,10.0,4.624375,4.620555624053255,0.0,0.003819375946744863,0.0008266053387307609,9.408701564933714e-05,7.624129276665226e-05,0.009839576542850056,0.06305439975765527,147980
0.64,4,320000,151469,10.0,4.73340625,4.727075759569514,0.0,0.006330490430485725,0.0013391980058009966,9.427104999569937e-05,8.220839281127436e-05,0.00946736547168037,0.06079857906480618,151469
0.66,4,320000,154669,10.0,4.83340625,4.831486655083008,0.0,0.0019195949169921178,0.0003973093695648711,0.00010565705826761498,8.027695528705497e-05,0.009050478220737672,0.058559797837378136,154669
