quantity,particle_value,exact_value
R_0.5,0.0909394181149997,0.0908391553765399
R_0.8,0.1383313846915014,0.13841956201355718
core_mass_R08,25.132741228718345,25.132741228718345
local_count_R08,320000.0,
residual_energy_frac_C,0.12754750156927638,
