scheme,peak,L2,field_min,global_modes,local_modes,local_quadrature_nodes,wall_s,peak_relerr,L2_relerr
A_global_low,728.3595376005139,113.69060175448051,-27.01923322577269,64,0,0,0.2895047664642334,0.13290531238034056,0.010251200562424137
B_global_high,843.8892640727452,114.80824745240609,-1.8988118696901075,1600,0,0,1.771040439605713,0.004630076277077576,0.0005213858666828365
C_hybrid_window,850.7968097041268,115.00161219370345,-15.502180635958922,64,1600,0,2.090271472930908,0.012853344885865188,0.0011619768528312738
D_hybrid_blob,744.5553612052307,108.36589357119462,-15.502180635958922,64,0,400000,0.7370977401733398,0.11362456999377295,0.05660616262994573
E_ht_residual,774.3277278788655,113.301270599273,-15.502180635958922,64,0,2955,0.8524956703186035,0.07818127633468391,0.013640575211723995
E_positive_residual,736.3442814738256,114.30647717940225,-20.65082799459361,64,0,16805,0.909827709197998,0.12339966491211236,0.004889614353778918
