series,q,Tstar,C,npts,fit_window
FVM n=256,0.5,0.00015957149676228298,4.442629335973735,342,3e-5..2e-4
FVM n=256,0.8,0.0001573913170314692,16.365219778132207,342,3e-5..2e-4
FVM n=512,0.5,0.00015505211873485794,4.244063188670537,342,3e-5..2e-4
FVM n=512,0.8,0.00015446535035448878,15.568694078815955,342,3e-5..2e-4
particle base,0.5,0.00018370800792198337,7.13996627452465,43,3e-5..2e-4
particle base,0.8,0.00018538360749858655,20.123617514093027,43,3e-5..2e-4
particle refined,0.5,0.00019448014953525703,2.5044150673406427,43,3e-5..2e-4
particle refined,0.8,0.00019239833600132413,15.831226420948994,43,3e-5..2e-4
