method,n_base,n_ref,tb_global_105,tb_global_110,tb_core_105,tb_core_110,ratio_max_global,ratio_max_core
FVM baseline,128,256,3.458646616541354e-05,5.263157894736843e-05,3.458646616541354e-05,5.263157894736843e-05,1.506421101883191,1.5064211449260723
FVM baseline,256,512,5.012531328320803e-05,7.61904761904762e-05,5.012531328320803e-05,7.61904761904762e-05,1.483776942200517,1.4837767989452002
particle,20000,80000,8e-06,1.2e-05,,,2.7102609405920766,
