step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.0002564925024122629,-0.00013053632664816023,0.41386428799385755,0.041386428799385755,0.011880653383719289,0.10899841000546424,0.035660668770776005,0.051401032442506066,0.09108837467658959,0.13795476266461917,0.165278150478161,0.2330569621376486,40000,64000,72000,2.2009237646023108,832.3523471863231,428.9443519336394,114.84550680511656,114.84550680511656,0.0003,0.764245958935092,0,0
4,1e-06,80000,10,31.41592653589793,31.41592653589793,0.00025243695751439474,-0.00013836514135242593,0.4078426065261843,0.040784260652618434,0.011520689004797984,0.10733447258359256,0.03444807193553336,0.04979015432727089,0.08885739308525262,0.1359475355087281,0.16349293215386276,0.2324169946372583,40000,64000,72000,2.178717761788034,905.2638429624134,428.3776439572591,117.5234442079435,117.5234442079435,0.00035,0.7672026133859243,0,0
8,2e-06,80000,10,31.41592653589793,31.41592653589793,0.00024364628443276126,-0.00015048270014429593,0.40197853423184626,0.040197853423184625,0.011170281979067543,0.10568955473019812,0.033382132632464354,0.048078194054280717,0.08676028897295862,0.13399284474394876,0.16165899727296001,0.23170422333726443,40000,64000,72000,2.1583313929623547,984.7697475913753,429.6187639817662,120.39617311039582,120.39617311039582,0.000475,0.7707736580446107,0,0
12,3e-06,80000,10,31.41592653589793,31.41592653589793,0.00023793602414388598,-0.0001557415905116262,0.3961557082482965,0.03961557082482965,0.010827155274041314,0.1040536173039713,0.03233303609078407,0.046504930325841715,0.08451381244367354,0.13205190274943215,0.1596236463922397,0.2309253803880007,40000,64000,72000,2.1333483447044825,1077.4416573779308,429.3382718526121,123.47988043296043,123.47988043296043,0.0006125,0.7778265591579704,0,0
16,4e-06,80000,10,31.41592653589793,31.41592653589793,0.00023815556944888587,-0.00016433555244658874,0.3900350881639154,0.039003508816391544,0.010494364732076086,0.10244200667732005,0.031342754734739096,0.045173942235828594,0.08239516781363085,0.13001169605463847,0.15771232310018,0.22999005113012533,40000,64000,72000,2.112506549128821,1181.7714749326035,429.6003905217261,126.74431966542953,126.74431966542953,0.0007625,0.7805715211556595,0,0
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,0.00022354599481237838,-0.00017310960568718092,0.3842687916661738,0.03842687916661738,0.010171645614835865,0.10085457656862114,0.030488428872050406,0.043767848434089984,0.08011995390616479,0.12808959722205793,0.15586358172397477,0.2290733222470138,40000,64000,72000,2.08499767984717,1295.0590773283782,429.0315265652437,130.20560361407996,130.20560361407996,0.000875,0.7826852626184224,0,0
24,6e-06,80000,10,31.41592653589793,31.41592653589793,0.00019904937462387424,-0.0001866894111849089,0.3779970182385358,0.03779970182385358,0.009860519775273207,0.09930014992573379,0.029689198122279086,0.04238918751982118,0.07782733302701994,0.12599900607951195,0.15389836500113485,0.22853863240703656,40000,64000,72000,2.058940395606688,1413.6675574391313,428.1343447431065,133.8258244485843,133.8258244485843,0.0009875,0.7865057832224525,0,0
28,7e-06,80000,10,31.41592653589793,31.41592653589793,0.00016366007557599616,-0.00019522421917416805,0.37189272897511205,0.03718927289751121,0.009560970887206147,0.09778021725894327,0.029017777157814523,0.04103381886235513,0.07573103589235083,0.12396424299170401,0.1520520011776047,0.22781872143935983,40000,64000,72000,2.036367747792642,1535.726586023712,427.5480070307999,137.58423089868194,137.58423089868194,0.0012125,0.789472680401681,0,0
32,8e-06,80000,10,31.41592653589793,31.41592653589793,0.0001234598809916633,-0.0002130981553285716,0.3657698375520289,0.036576983755202894,0.009272524284339605,0.09629394728818425,0.02859197627526613,0.039756810993964005,0.07372525538090233,0.12192327918400964,0.15012581734456504,0.22699440418692388,40000,64000,72000,2.0156187802231034,1655.0182958091739,427.04311484400927,141.4457844150236,141.4457844150236,0.0014375,0.7916814399092673,0,0
36,9e-06,80000,10,31.41592653589793,31.41592653589793,7.30907686178661e-05,-0.00021133042245389803,0.3598123796848045,0.03598123796848045,0.00899628063703447,0.09484872501533412,0.027989057706754427,0.03863226669091046,0.071838911331311,0.11993745989493484,0.14831416272272835,0.22632151362805175,40000,64000,72000,1.9965658600807972,1781.9658536671423,428.199041144898,145.47636400051306,145.47636400051306,0.0018375,0.797300789121931,0,0
40,9.999999999999999e-06,80000,10,31.41592653589793,31.41592653589793,1.9047415348671627e-05,-0.00020617150899274354,0.3538446596023989,0.03538446596023989,0.008727607578566455,0.09342166546667029,0.027540961858015366,0.0374619421268377,0.06997345349822592,0.1179482198674663,0.14649127987865435,0.2255517480908344,40000,64000,72000,1.9775189931325314,1912.0506319103472,431.2402092486936,149.68578586694107,149.68578586694107,0.0022,0.802179912516666,0,0
44,1.1e-05,80000,10,31.41592653589793,31.41592653589793,-5.1989108004996676e-05,-0.00021938873513337103,0.34803017265859365,0.03480301726585937,0.008469709967921025,0.09203102720235727,0.027095269563241035,0.036434506958569174,0.06824355336891189,0.11601005755286455,0.14472631979923964,0.22440511682651418,40000,64000,72000,1.9608516367302613,2054.8109970064966,432.3164284229007,154.07653684747527,154.07653684747527,0.002675,0.8091120901123353,0,0
48,1.2e-05,80000,10,31.41592653589793,31.41592653589793,-0.000114575828184207,-0.0002361796791570225,0.3422792375517154,0.034227923755171544,0.008221768796893528,0.09067396978677798,0.026587845715378502,0.03550721235409147,0.06670357841575647,0.11409307918390513,0.14294723049772706,0.22347579041201232,40000,64000,72000,1.9488058607609273,2195.913181203986,434.8345647600166,158.5141568659475,158.5141568659475,0.003275,0.8176590293445601,0,0
52,1.3e-05,80000,10,31.41592653589793,31.41592653589793,-0.00019334736621875374,-0.0002584473779833659,0.33655547196668373,0.03365554719666837,0.007984343774879733,0.08935515527869521,0.02616916063812004,0.03462763119281827,0.06532862237718817,0.1121851573222279,0.14112930789926273,0.2225758829199794,40000,64000,72000,1.9410952374488561,2345.6797677210443,435.41590566545665,163.18014134168095,163.18014134168095,0.0040125,0.8212704231531023,0,0
56,1.4e-05,80000,10,31.41592653589793,31.41592653589793,-0.00024370336949382804,-0.0002957278690428236,0.33124354227512187,0.033124354227512184,0.007753667390749111,0.08805491122446897,0.025723054099523586,0.03377827162635949,0.06406871943969315,0.1104145140917073,0.13943461003407076,0.22141870320755497,40000,64000,72000,1.9341877278464623,2506.5826455198962,436.3785866615263,168.10557973067162,168.10557973067162,0.00485,0.8199334247843578,0,0
60,1.4999999999999999e-05,80000,10,31.41592653589793,31.41631923497963,-0.0002652386199754519,-0.00033141164672837624,0.3254938746211737,0.03254938746211737,0.00753250655008801,0.0867900141150352,0.02533982500816346,0.03315750070696742,0.062788458895027,0.10849795820705789,0.13770165379656485,0.22053568325281353,40000,64000,72000,1.9290212133209388,2671.92723308033,437.51953512046094,173.27663384864024,173.27663384864024,0.0057749278134023325,0.8236183895291918,0,0
64,1.6e-05,80000,10,31.41592653589793,31.41631923497963,-0.0003044578804217869,-0.0003739106721022118,0.3198596692536553,0.031985966925365525,0.007320742738971004,0.085561339043817,0.024969568580406255,0.03270688368976085,0.06143816675362486,0.10661988975121842,0.13603161379632608,0.21973427117067867,40000,64000,72000,1.920785039795159,2833.5125524382765,439.06666408365743,178.56060960322685,178.56060960322685,0.006474919063511706,0.8290822283805066,0,0
68,1.7e-05,80000,10,31.41592653589793,31.41631923497963,-0.00039134626503291574,-0.00038725056307481687,0.3145108300669745,0.03145108300669745,0.00712030895273164,0.08438192313956609,0.024466469937998666,0.03249091928969046,0.06011361860283522,0.10483694335565817,0.13443258340178235,0.2186553254395315,40000,64000,72000,1.9113369987937818,2967.6389965701583,438.55752300538694,183.53434427358647,183.53434427358647,0.00798740015749803,0.8365559695666445,0,0
72,1.8e-05,80000,10,31.41592653589793,31.41631923497963,-0.0005026744626339393,-0.00039528904538835036,0.3090649705679247,0.03090649705679247,0.006930132647490065,0.08324741826321141,0.02383785230934848,0.032380516924776,0.05886260576200511,0.10302165685597489,0.13261834275812964,0.21788095397270738,40000,64000,72000,1.904538248182629,3106.6290335408034,439.63366042945927,188.31822406613153,188.31822406613153,0.009499881251484356,0.8425259342990896,0,0
76,1.8999999999999998e-05,80000,10,31.41592653589793,31.41592653589793,-0.0006444156874081048,-0.00040584731239268033,0.30393464432189965,0.030393464432189966,0.006748843083079373,0.08215134255189853,0.02299533408857701,0.0322423520054369,0.057459563980442864,0.10131154810729989,0.13114012580353224,0.21705927813481862,40000,64000,72000,1.8905236719110892,3239.0663521544093,442.37303541068616,193.11774132568817,193.11774132568817,0.01085,0.8412360470239355,0,0
80,1.9999999999999998e-05,80000,10,31.41592653589793,31.41592653589793,-0.0007670202170707957,-0.00043419405249769076,0.2988015464196643,0.029880154641966427,0.006576311873994527,0.08109446265926254,0.022316149100319864,0.03207855964464386,0.056037588055190365,0.09960051547322142,0.12928710551606531,0.2159099516809767,40000,64000,72000,1.8754115809188632,3419.7019356774504,444.09572726088686,198.20719084491745,198.20719084491745,0.012725,0.8485219897337144,0,0
84,2.1e-05,80000,10,31.41592653589793,31.41631923497963,-0.0008459937074069087,-0.00045836400254304624,0.29386958846371947,0.029386958846371946,0.006414224128937136,0.08008885146471471,0.021416940740522864,0.03206198256619506,0.05445378253138258,0.0979565294879065,0.12759100882315186,0.21495480109894452,40000,64000,72000,1.8529914175894842,3559.0080030971653,441.46120519369197,202.84221244659028,202.84221244659028,0.01454981812727341,0.8503084103215991,0,0
88,2.2e-05,80000,10,31.41592653589793,31.41631923497963,-0.0008880384676084504,-0.000495659452252954,0.2894533716788435,0.02894533716788435,0.006256706573999031,0.07909934622990908,0.02086399667240247,0.03195192681258214,0.053064454621837495,0.09648445722628117,0.1259057319325183,0.21369108757668864,40000,64000,72000,1.8332643463111555,3709.7720449053445,441.5566135758947,207.51275356535012,207.51275356535012,0.016312296096298796,0.8580899461073295,0,0
92,2.3e-05,80000,10,31.41592653589793,31.416711934061325,-0.0009876822095214958,-0.0005427516612432213,0.28457270368275595,0.028457270368275594,0.006107340341967262,0.07814947435502853,0.02023653666081306,0.031652652534841993,0.051786588994709934,0.09485756789425198,0.12423562107830745,0.21286521061880107,40000,64000,72000,1.8198017000408466,3887.3666830524658,441.46289402267405,212.24828574536656,212.24828574536656,0.018912027199320017,0.8715855527324725,0,0
96,2.4e-05,80000,10,31.41592653589793,31.416711934061325,-0.0011167700786117703,-0.0005531937770003484,0.2805217692618378,0.02805217692618378,0.0059689964620306775,0.07725928075015116,0.01981047846927757,0.03162817510434406,0.05081452805377304,0.0935072564206126,0.12262079416505411,0.21177915509143916,40000,64000,72000,1.8114290447934178,3981.4644368733398,440.88556978336925,216.0443849452312,216.0443849452312,0.021024474388140296,0.8797950360835319,0,0
100,2.4999999999999998e-05,80000,10,31.41592653589793,31.416711934061325,-0.0012496261245059882,-0.0005133019883618372,0.276464210824689,0.027646421082468904,0.005834986368668943,0.07638708247255516,0.01963695002659496,0.031513268937125284,0.04999972530503609,0.09215473694156301,0.12103632962804277,0.2106934535062662,40000,64000,72000,1.8085424205862877,4144.745568443044,440.31590662638763,220.08147453581805,220.08147453581805,0.02332441688957776,0.898761960241574,0,0
104,2.6e-05,80000,10,31.41592653589793,31.416711934061325,-0.0013419987518570452,-0.00052098952413827,0.2721599942643836,0.027215999426438358,0.005704963975558178,0.07553121192962667,0.019453291648120107,0.031378565379169096,0.04930751181403298,0.09071999808812786,0.11955157242899281,0.2099923118570994,40000,64000,72000,1.8117104957804462,4297.084514538531,440.90864808974334,224.11704733207426,224.11704733207426,0.026399340016499587,0.9036148411606565,0,0
108,2.7e-05,80000,10,31.41592653589793,31.416711934061325,-0.0013618572383921556,-0.0004910548927190771,0.26647870308461,0.026647870308461004,0.005576992239346129,0.07467926244511343,0.019267150188104657,0.03099345429690706,0.04877806105505657,0.08882623436153668,0.11795307531281907,0.2086571695364462,40000,64000,72000,1.8304675191836615,4502.087844392066,441.32553366138967,229.00982699011803,229.00982699011803,0.030224244393890154,0.921054356355141,0,0
112,2.8e-05,80000,10,31.41592653589793,31.416711934061325,-0.0013464575127993491,-0.0004013767921716345,0.260985095549781,0.0260985095549781,0.005457592605018775,0.07387552101351824,0.018842162385191732,0.03043784961436157,0.04841144681425337,0.086995031849927,0.1164644881930987,0.2071624478117461,40000,64000,72000,1.854950632804211,4647.502801223105,444.32558158545606,234.3700508201825,234.3700508201825,0.03416164595885103,0.9425543778048043,0,0
116,2.9e-05,80000,10,31.41592653589793,31.416711934061325,-0.001322923935375905,-0.0003281878984032642,0.2567460951712155,0.025674609517121548,0.005348142874031678,0.0731309980379844,0.018200244630458468,0.030021177218775688,0.048298473227071786,0.08558203172373849,0.11520760768796653,0.2061966619471114,40000,64000,72000,1.8811765450556563,4700.381569174407,446.6613195799423,239.4731494983383,239.4731494983383,0.03798655033624159,0.9444547447323162,0,0
120,2.9999999999999997e-05,80000,10,31.41592653589793,31.416711934061325,-0.0012518911062912106,-0.00016106244519962907,0.2534661140239861,0.025346611402398612,0.0052472325383173405,0.07243778391362715,0.01750954119198791,0.02968686238775878,0.04818850018763959,0.08448870467466203,0.11380019480676633,0.2050672446971379,40000,64000,72000,1.901181164716929,4944.189910661621,448.942370935047,245.26834116255978,245.26834116255978,0.04141146471338217,0.9500306508653662,0,0
124,3.1e-05,80000,10,31.41592653589793,31.41631923497963,-0.0011671752639873514,-8.248349008107825e-05,0.25078458145411103,0.025078458145411105,0.005148008653371473,0.07174962476118933,0.01729083515870196,0.02918806004030854,0.04812517379989616,0.08359486048470367,0.1124182509140953,0.20370691042188707,40000,64000,72000,1.9189845532310839,5172.3478263409925,446.52692852177336,250.94714619749212,250.94714619749212,0.044211947350658115,0.9490767397243053,0,0
128,3.2e-05,80000,10,31.41592653589793,31.41631923497963,-0.0011241470129407074,-9.348949834444636e-05,0.2479981160950026,0.02479981160950026,0.005040560787364628,0.07099690688589629,0.01723176472747288,0.02852421507587806,0.047754757936481707,0.08266603869833421,0.11074054562407117,0.20247916844370667,40000,64000,72000,1.9256097057684065,5385.786024756824,449.95177223695407,257.07306409043935,257.07306409043935,0.04721190985112686,0.9442982210356005,0,0
132,3.2999999999999996e-05,80000,10,31.41592653589793,31.41631923497963,-0.001139294496110644,-0.00013493030860757017,0.24561741863485184,0.024561741863485184,0.004931978230594957,0.07022804447366421,0.017411183884335178,0.027766411744044928,0.04759201398888005,0.08187247287828395,0.10878403459572762,0.20092708398259926,40000,64000,72000,1.9376481624714457,5587.1353577238615,448.7865165673248,262.6432446609962,262.6432446609962,0.0497868776640292,0.958646895878668,0,0
