t,n_active,x_c_0,x_c_1,x_c_2,R_0.5,R_0.9,rho_core,P_H,C_H,Qc,C_Hlo,C_Hhi,mass_drift,drift_cfl
0.0,200000,0.0015486139399962795,0.0008524350581531337,-0.00035669831437257216,0.6923976427712726,1.1250848866475092,7.191916701855391,13.732428565841758,2.4197566454586483,1.0018758537870684,2.415941388440663,2.4204733412435044,0.0,0.02665176130688626
0.1,200000,0.00323869351799555,-0.0001875186746183033,0.0001536788393536881,0.8802177216461807,1.5012012976005118,3.5005885382364434,8.163027977595991,1.8661027397940015,1.0020140970622868,1.8625670758135626,1.866318466689271,0.0,0.01704726690967157
0.2,200000,0.002321273589274142,0.0009224181016387334,-0.0016519836028203727,1.0541566833567293,1.8101933867937783,2.0379611048780317,4.694320101478248,1.4919487441727104,1.0006683194198709,1.4920236872811847,1.493020835686302,0.0,0.011845683559723081
0.3,200000,0.002116131526681997,-0.00041454238324423187,-0.0008936968369850362,1.2148669085544126,2.0757547264009917,1.3314512904889435,3.1381789653169054,1.2439240526226332,1.000230261630908,1.2432308477685108,1.2435171161311132,0.0,0.008916999549239048
0.4,200000,0.0005949770722155634,-0.0002472003691691427,-0.00013705813144593293,1.360925356129727,2.3222355496679277,0.9471275587018378,2.1184333966268625,1.0666693060024348,0.9989213529664488,1.0671710384891384,1.0660199376141803,0.0,0.007087239984142657
0.5,200000,0.0011979705595139833,-0.0006199787389453704,0.0007869432291407463,1.496982893575869,2.5371103648227775,0.7116408635065695,1.5674861127466386,0.9346169021664594,1.0000671532572816,0.9346060394045572,0.9346688012443783,0.0,0.005782942610775826
0.6,200000,0.0003555509706858473,-0.0015062249778141634,0.0004595142282033393,1.6225276864779863,2.748542200048061,0.5589011998437047,1.230122949660812,0.8322836147685612,1.0002798304526161,0.8324276587179721,0.8326605973264813,0.0,0.004929623090481076
0.7000000000000001,200000,0.0008470783333560661,-0.002548957301531374,-0.0013044985002492737,1.7454682905838306,2.942953751810428,0.4489267663855319,0.9803099977632794,0.7478008295079646,0.999417139223559,0.7480231184052946,0.747587125069705,0.0,0.004248262572839346
0.8,200000,0.0011145073756493318,-0.0010460488401351498,-0.00033064073486244183,1.8606590412213477,3.124010279194719,0.37060476417127197,0.8671829125038062,0.6809840209609204,0.9995387700896422,0.6809872630214231,0.6806731713271449,0.0,0.00371426724126445
0.9,200000,0.0007335198298941137,-1.4047559613317162e-05,4.771379289003619e-06,1.9666284156725489,3.301380123937314,0.3138661359838259,0.747576250703148,0.6250841364717036,1.0008345750638563,0.624604672637752,0.6251259521223036,0.0,0.0032900027716337606
1.0,200000,0.0002099426776700497,-0.0020684756164097706,-0.00044681839176075044,2.0683452813183836,3.468951757422863,0.26980020238041647,0.6254377814934822,0.57554333227097,1.0004860079195732,0.5754482829444443,0.5757279553672601,0.0,0.002959385199675964
