t,n_active,x_c_0,x_c_1,x_c_2,R_0.5,R_0.9,rho_core,P_H,C_H,Qc,C_Hlo,C_Hhi,mass_drift,drift_cfl
0.0,100000,0.0013128632072536561,-0.0012982962441459023,0.00042861710305874823,0.6917686235340728,1.1259441828581462,28.84621275851392,56.02406142293962,9.696462589094894,1.002288759529302,9.674320396098802,9.696462589094894,0.0,0.1082308343444639
0.1,100000,0.0035919303109750444,-0.002112331579819049,0.0004276152569717695,0.06928111037765877,1.0939580078366504,28716.192986874517,3200.9792156123194,43.06146159455593,1.9393709353815118,22.203829504171107,43.06146159455593,0.0,1.9798147511567965
0.2,100000,0.002931156697174586,-0.0007291442144436999,-0.0012658620216097205,0.056526002995786036,0.5406919570967552,52872.098803585184,3932.275009198919,51.0481036808187,2.0094002321632796,25.40464705026004,51.0481036808187,0.0,2.3657722183931638
0.3,100000,0.00306707599401701,-0.003316564690165613,-0.00014272208409327192,0.05437381844054555,0.09902751730206934,59402.111670546656,4123.722149270075,53.220956476554875,2.0213990888811084,26.328772368258026,53.220956476554875,0.0,2.4511356801885715
0.4,100000,0.0008478336525836738,-0.00429270317301178,0.0007336796681860491,0.0534238825510957,0.09346910356242202,62627.49503372321,4206.998921544562,54.18165085292079,2.025833669987144,26.74536002418433,54.18165085292079,0.0,2.5472420759300345
0.5,100000,0.0007865335081360669,-0.005272927222535806,0.0024535486344410273,0.05299437543320594,0.09086990704502694,64162.61381373688,4252.76916322697,54.71691176768961,2.0278144003988166,26.983195186368274,54.71691176768961,0.0,2.5258583380474957
0.6,100000,0.00040040266015495263,-0.006970466740538583,0.0016550425038124317,0.052643373611942684,0.08903451766570912,65454.61055282248,4282.754731748906,55.05977950089496,2.0294159627835633,27.13084971765696,55.05977950089496,0.0,2.586183561646451
0.7000000000000001,100000,4.328211889870204e-05,-0.008125735140463775,-0.0012598472862466181,0.052623732211766056,0.08818227231164975,65527.92918983435,4300.600609467578,55.27642519782769,2.0299193988401827,27.23084730822835,55.27642519782769,0.0,2.5748550251001867
0.8,100000,-0.0008470270561407034,-0.006094554867835278,6.70152811421687e-05,0.05249360772836653,0.08766645774687556,66016.44250669026,4315.29089591065,55.45139642988797,2.030411083005463,27.310428363012818,55.45139642988797,0.0,2.571295427247618
0.9,100000,-0.0002672946814588073,-0.004283380460274877,-0.0015950082535391985,0.05225675999134585,0.08711011141910584,66918.15281633945,4327.245716679947,55.58568320325309,2.0310859211199315,27.367470093339723,55.58568320325309,0.0,2.5863031228182
1.0,100000,-0.0013576918926796466,-0.005349999069354183,-0.0019376516184106407,0.05210304250310614,0.08669934786961804,67512.17962544391,4335.102337464283,55.67866659605552,2.031344965235115,27.40975439866319,55.67866659605552,0.0,2.6220558084301477
