t,n_active,x_c_0,x_c_1,x_c_2,R_0.5,R_0.9,rho_core,P_H,C_H,Qc,C_Hlo,C_Hhi,mass_drift,drift_cfl
0.0,400000,0.001022694566571225,0.0005449350232087369,-0.0004312240146990831,0.6919203910454412,1.1244400331123585,28.827235325041556,55.35020979537822,9.698453217817171,1.0022419171759247,9.680097516493552,9.701799493380404,0.0,0.10659634061460838
0.1,400000,0.0021454671242020495,-0.00024480631512435735,-0.0002084658391163785,0.11392999338959253,1.07991221131481,6457.392210527849,932.7399703171507,28.918141303275387,1.8273554357532673,22.09971738739663,40.38403869647023,0.0,0.8847505730096608
0.2,400000,0.001881592780938135,0.00013074780104460615,-0.0017048943825503926,0.0937762398462014,0.6731495075964978,11579.58346897747,1105.5109660785938,32.93727223834608,1.89687249901677,24.807887822562645,47.0574001693121,0.0,1.0444669671324631
0.3,400000,0.0015542242354698033,-0.0002590051835520413,-0.0009674552755454258,0.08868478547477306,0.16643536331812434,13690.648570688678,1163.787349954784,34.34364311696317,1.9144953009496757,25.77759517873186,49.351084839465166,0.0,1.092138051054994
0.4,400000,-0.00042133431777902075,-0.00011563837658101761,-0.0009487831954420045,0.08668729178419068,0.15379588843117847,14659.024685642098,1190.4568798817954,34.998607537813484,1.9214146268220942,26.233500844312942,50.40543223501265,0.0,1.1125702832378122
0.5,400000,-0.0002959534800002217,-0.0006095128536003358,0.00041654439141325383,0.08554096979636049,0.1488248146487506,15256.287810892723,1205.163606899433,35.3657180680747,1.9250549831104677,26.49061835860944,50.99589687691874,0.0,1.1319682810025968
0.6,400000,-0.0005423131394231007,0.00024581035769610793,-0.0006603641530968929,0.08490199995879291,0.145810738632108,15603.341729358252,1214.2449488073235,35.592094591525836,1.9272415482324157,26.64883321852144,51.35873859065069,0.0,1.1400945378995215
0.7000000000000001,400000,-0.0004520551294140418,0.00023995706231527691,-0.0006615430280580981,0.08459263593080235,0.14430198450651271,15775.157657477272,1219.8673190276504,35.7371589402125,1.9282898588897874,26.752116158471036,51.585834292221314,0.0,1.14542017654301
0.8,400000,0.0002943420010748099,0.00046679644453639924,-0.00037913017368129687,0.08417198205705514,0.14299707364511496,16012.853126517017,1224.4527292937096,35.85216909621986,1.929426553705627,26.832570913277117,51.771474824266114,0.0,1.1510749165830965
0.9,400000,-0.0001341815957367487,0.0007582311208382819,-2.2790241315462367e-05,0.08390533757412602,0.14193088709005475,16166.001507658173,1227.7083652728493,35.93464745949046,1.9302062371317472,26.89047865667841,51.9041696225788,0.0,1.1576075197886482
1.0,400000,0.00040398378920780686,-0.0014734421804449838,-0.0004600249379222987,0.08374397742606193,0.14140615193901684,16259.628939503655,1230.0248861771292,35.995422026378975,1.9305921991620743,26.934022436607894,51.99861360817148,0.0,1.1572852645255753
