t,n_active,x_c_0,x_c_1,x_c_2,R_0.5,R_0.9,rho_core,P_H,C_H,Qc,C_Hlo,C_Hhi,mass_drift,drift_cfl
0.0,200000,0.0015486139399962795,0.0008524350581531337,-0.00035669831437257216,0.6923976427712726,1.1250848866475092,35.95958350927695,68.66214282920879,12.098783227293248,1.001875853787069,12.079706942203314,12.102366706217529,0.0,0.09422820575332252
0.05,200000,0.0027436806703438066,0.0001170767215894486,4.192831989158208e-06,0.12956380088169792,1.061940805346444,5488.205378593318,1011.3757275915212,32.772331656256135,1.7688761172659653,25.445383314697374,45.00973084004607,0.0,0.6800523026875207
0.1,200000,0.002094966817549171,0.0009019205427707178,-0.0012726033254057967,0.0860918411819861,0.8931457137255485,18706.623586522237,1344.640298391415,40.07050856078187,1.9176997835597145,30.12913043408252,57.778626912282455,0.0,0.8942691278605136
0.15,200000,0.0019499094739847678,-4.345328226929013e-05,-0.0007364136111993602,0.07850630289075007,0.17082236144440244,24669.924387768406,1451.369567642295,42.578105129493714,1.946252625707772,31.832812479037766,61.95469487099038,0.0,0.9665096866425577
0.2,200000,0.00087429084399826,7.487539066097781e-05,-0.00020138925160395615,0.07570668772694814,0.1388139931331527,27509.24417635432,1503.5127942537572,43.828328058591005,1.9576345364041712,32.69401864640569,64.00294003604573,0.0,1.0005727426158317
0.25,200000,0.0013006716278791686,-0.00018871872248737986,0.0004519783762919616,0.07408275794963065,0.13060458095760047,29358.23682009259,1532.7537729755775,44.54299155464017,1.9633339491202448,33.191936178937006,65.16685513713952,0.0,0.9971992008869821
0.3,200000,0.0007049910240137791,-0.0008153894477933576,0.00022045110937174428,0.0732198831987993,0.12620815024273924,30408.451135180017,1550.5651285183512,44.97856881964555,1.9667631653570743,33.49504694925681,65.87682456170414,0.0,0.9827248324247515
0.35000000000000003,200000,0.0010525533552971922,-0.001510286137984096,-0.000984467846145698,0.07265810675521284,0.12408167452592231,31119.252975661675,1562.1935648195185,45.26670853714416,1.9686580717705424,33.696887026598105,66.33764863845244,0.0,1.0093324852068328
0.4,200000,0.0012416542445876644,-0.00044756937342960157,-0.0003382728232006471,0.07224302424852808,0.12236281008704407,31658.741040586152,1570.2228761701558,45.46596562199368,1.970087450928452,33.83651470904427,66.6608930114441,0.0,0.9969688663956713
0.45,200000,0.0009722553674373913,0.00028216573022188385,-0.00014352704966213992,0.0719922403420798,0.12130516725573914,31990.743155060318,1575.8450678763586,45.605571319708744,1.971209661438725,33.93376684621715,66.89056905627233,0.0,1.0254311792873079
0.5,200000,0.0005596040057547214,-0.0010432550595860235,-0.0003355700184721755,0.07181911800404017,0.12053748112713139,32222.645470846084,1580.1386168243494,45.7150235757459,1.9717584610325285,34.01128245175589,67.06203394481683,0.0,0.9986258062712797
