t,n_active,x_c_0,x_c_1,x_c_2,R_0.5,R_0.9,rho_core,P_H,C_H,Qc,C_Hlo,C_Hhi,mass_drift,drift_cfl,min_intercluster_dist,cl0_c0,cl0_c1,cl0_c2,cl0_R0.5,cl0_R0.9,cl1_c0,cl1_c1,cl1_c2,cl1_R0.5,cl1_R0.9,cl2_c0,cl2_c1,cl2_c2,cl2_R0.5,cl2_R0.9,cl3_c0,cl3_c1,cl3_c2,cl3_R0.5,cl3_R0.9
0.0,200000,0.0008603410777761056,0.00047357503230749387,-0.00019816573020747796,1.7674490886152951,2.0855736200691144,1.7295401314906127,71.405081797102,5.176771391496159,1.0742971424771783,4.897686927463292,5.261571070921646,0.0,0.08971811819803224,2.826471215376842,1.0007742557181523,0.9994623329380037,0.9991224700568377,0.3837680294859595,0.6260428033524724,1.000684481178796,-1.0009048843203887,-0.998646228831217,0.38510668881272214,0.6250822626799986,-0.9997548580922704,1.0021827948041944,-1.0009084908601675,0.3855588360252335,0.6251139631349468,-0.9982625144935762,-0.9988459432925803,0.9996395867137169,0.38415632485023377,0.6241646153224043
0.1,200000,0.002550420655775376,-0.0005663787004648313,0.0003122114235187823,1.7707320766501136,2.2966380141798113,1.7199381049848792,30.84348684446634,3.657529848326786,1.0315491971597865,3.5725164655604287,3.685226491888978,0.0,0.04721805819164181,2.7514311493142136,0.9755359517218123,0.9715145395884646,0.9727416596114935,0.5850015270364837,1.0841776761276116,0.9767366146000702,-0.9745960223705197,-0.972258496804149,0.5831316253397083,1.0766844008070526,-0.9717955292063838,0.9746687618955026,-0.9714237295876664,0.5859253242612681,1.0787917681999057,-0.970275354492399,-0.9738527939153068,0.9721894124743962,0.5792355858179867,1.0722361902143849
0.2,200000,0.00163300072705308,0.0005435580757930936,-0.0014934510186552785,1.7946310610262386,2.503569817373472,1.652136178928997,12.215774154309758,2.856941616011598,1.0054971758436537,2.8439892164461957,2.8596231252664555,0.0,0.027500895845542158,2.6666737708518955,0.9451791696727527,0.9449616099266116,0.9419538628716424,0.7992818962070014,1.4348773004807376,0.948510644020061,-0.9453564243494874,-0.9447887329455131,0.7998362969508244,1.4387271993049275,-0.9483846320634459,0.9468571731119653,-0.9423108246639744,0.7985873881544395,1.4443508045724343,-0.9387731787211546,-0.9442881263859153,0.9391718906632267,0.7911425819697904,1.4252005899635714
0.3,200000,0.001427858664461823,-0.0007934024090907599,-0.0007351642528190538,1.8266357892003404,2.6906934740858715,1.566806968708999,6.204291083643147,2.4782947000705575,0.9993707413312869,2.479102201935674,2.4775422053844802,0.0,0.019417696951117377,2.5820797559183366,0.9147211658252967,0.9125377533985404,0.9125074384819749,0.9915491000208052,1.7405525289040655,0.9197507887706262,-0.9181831690089224,-0.912995120083786,0.9880155406072108,1.7317697500732665,-0.9173974543756938,0.9172129188376239,-0.9110401881138568,0.9896088975306273,1.747507108527931,-0.9113630655623819,-0.9147411128636023,0.9085872127043899,0.9840365318055007,1.720125280287441
0.4,200000,-9.329579000461052e-05,-0.0006260603950147825,2.1474452720049442e-05,1.8655935549463336,2.863286185385956,1.4706871026480308,3.8237426862741044,2.4861319259519052,0.9996976067906359,2.487190591364384,2.486438481819161,0.0,0.01583960736415739,2.4989708197011122,0.8826001367987084,0.8834617405017866,0.8846747448715586,1.164843805385662,2.007118731519959,0.8885823659722192,-0.8911426400345821,-0.8832537682856003,1.1575487856972353,1.9989218336907555,-0.8889248213976115,0.890556760323844,-0.8823760162856891,1.15948723066315,2.002675115383504,-0.8826308645333363,-0.8853801023711085,0.8810409375106127,1.151402084989625,1.9892278731798332
0.5,200000,0.0005096976972938094,-0.0009988387647910102,0.0009454758133067287,1.9029745194097485,3.0218361776834683,1.385710355517749,2.970658172028218,2.4913852088496893,0.9997563908958451,2.4910108436173717,2.490404010697318,0.0,0.014230931181254833,2.41768724996509,0.8537954514005639,0.8555615275982911,0.8605686223335756,1.3098602932751606,2.2346966522015745,0.8615766802407769,-0.8652660129785206,-0.8555481962361471,1.2987873032768658,2.2289029488062075,-0.8590781491978614,0.8612069476098512,-0.8546967529082963,1.3043699353757252,2.2252187462903104,-0.8542551916543033,-0.8554978172887839,0.8534582300640938,1.3004386119483722,2.224647567855034
0.6,200000,-0.00027272189153482174,-0.0018850850036598032,0.0006180468123693217,1.9466245121553527,3.17600242521324,1.2945678542058656,2.7055424508823327,2.48053426919647,0.9997029878666672,2.4795866660503254,2.4788501987248583,0.0,0.013922878372942185,2.3465009040048264,0.8285220513770071,0.8276982669131403,0.8342967661547114,1.4366164889705813,2.445035487443356,0.8349969540292648,-0.8406907810576136,-0.8306882537312399,1.4292478246570899,2.4360342445990706,-0.8329439305622985,0.8357689669442205,-0.8298326232105389,1.4264157532746402,2.4325613799750343,-0.8319059624101133,-0.8303167928143891,0.8286962980365447,1.427207152804194,2.4285358445717984
0.7000000000000001,200000,0.00021880547113539706,-0.0028078173273771156,-0.0010259659160842816,1.992158224902988,3.312525261629768,1.2078135448047775,2.541772574583847,2.4243615823306244,0.9983117876814458,2.425749448776709,2.421654268675558,0.0,0.013386052192822037,2.282277861795561,0.8053064876097613,0.805946172790911,0.8079193898203867,1.5510131678431769,2.6351430099209505,0.8115104018710149,-0.8210202225210228,-0.8099175981431523,1.5478112939239914,2.6221337894789554,-0.8081419504357958,0.8119368817144021,-0.8079286597689901,1.5460899172663167,2.6255445800963773,-0.8080397171604385,-0.8083341012937986,0.8055830044274188,1.5454871087234738,2.6147846470438996
0.8,200000,0.0006062345134276725,-0.0013649088659821729,-5.2108150696561495e-05,2.0387127494623183,3.4483420013287316,1.1269464126336386,2.8280943804530767,2.3762607617463782,1.0007580076692304,2.3759738511755653,2.377774857576647,0.0,0.012808432647884069,2.2208889803086285,0.7823458039594193,0.7870598060335832,0.7868265321589494,1.6568703056856209,2.800049337375267,0.7916618327368088,-0.7979285038381114,-0.7859084597931876,1.6555683357127413,2.7941103540582963,-0.78727793012742,0.7920239721899289,-0.7876939487167052,1.6505514784694464,2.8049449916159097,-0.7850247685150951,-0.7863749098493269,0.7860874437481566,1.6472283837693926,2.791934359894677
0.9,200000,4.5246967673939764e-05,-0.00021290758545955413,0.0004033039634547819,2.0895572223307486,3.57681437326497,1.0466671062630986,2.596796120739293,2.301123097367553,1.000257503978209,2.3014153047447024,2.302007928341185,0.0,0.012143466899424072,2.1689796615033,0.7623336991771037,0.7720903709789821,0.7674703418255682,1.75162038663008,2.9701570040895877,0.7763571486272038,-0.7792444365706643,-0.7694016080022958,1.7518341058908584,2.9688093220260576,-0.7704679721920877,0.7728194558380421,-0.7671277412887214,1.7430359736830456,2.9703637875393185,-0.7680418877415267,-0.7667570205881962,0.7697122233192681,1.7465957550665958,2.9693740817178815
