N,t,S_L2,peak,umin,mass_u,mass_v
160,0.0,114.86812863545481,840.9149381491904,4.00596683804684e-16,31.41592653016306,31.41563796030767
160,6.688963210702341e-07,116.62029622993943,881.7343866043319,4.148476595484193e-16,31.41592653016306,31.415637960500685
160,1.3377926421404683e-06,118.43081242606627,924.2532612405435,4.383259995372671e-16,31.41592653016305,31.415637960693708
160,2.0066889632107025e-06,120.30103172081512,968.7896012383178,4.605472845176207e-16,31.41592653016305,31.415637960886727
160,2.6755852842809365e-06,122.23221736478997,1015.4294073665593,4.825257323679261e-16,31.415926530163038,31.415637961079742
160,3.3444816053511705e-06,124.22560120928395,1064.276096193579,5.041358626401346e-16,31.415926530163038,31.415637961272765
160,4.013377926421405e-06,126.2824012407496,1115.434524110523,5.253743141947264e-16,31.415926530163038,31.415637961465787
160,4.682274247491639e-06,128.40383291179802,1169.0130513520246,5.462187797227665e-16,31.415926530163034,31.4156379616588
160,5.351170568561873e-06,130.59111610941355,1225.1241113610115,5.666656111459705e-16,31.41592653016303,31.415637961851818
160,6.0200668896321075e-06,132.8454794131847,1283.8846555726327,5.867179860745028e-16,31.41592653016302,31.415637962044837
160,6.688963210702341e-06,135.16816272792877,1345.4164884107233,6.063841280743943e-16,31.41592653016302,31.41563796223786
160,7.3578595317725755e-06,137.56041894746528,1409.8465424149824,6.256746003349162e-16,31.415926530163016,31.415637962430875
160,8.02675585284281e-06,140.0235150373689,1477.3071207669557,6.446018254116005e-16,31.415926530163016,31.415637962623894
160,8.695652173913044e-06,142.5587327621357,1547.936122717097,6.631805555818383e-16,31.415926530163013,31.415637962816916
160,9.364548494983277e-06,145.16736918610124,1621.8772606276516,6.814288766226064e-16,31.415926530163006,31.41563796300994
160,1.0033444816053512e-05,147.85073702118183,1699.2802734320665,6.993691614925285e-16,31.415926530163002,31.41563796320295
160,1.0702341137123746e-05,150.61016486175416,1780.3011389994251,7.17028630348539e-16,31.415926530163002,31.415637963395962
160,1.137123745819398e-05,153.4469973279967,1865.1022866547758,7.344393771024881e-16,31.415926530162995,31.415637963588985
160,1.2040133779264215e-05,156.362595128024,1953.8528102468154,7.516376678026111e-16,31.415926530162995,31.415637963781997
160,1.2709030100334448e-05,159.35833504280507,2046.7286817125223,7.686622239295881e-16,31.415926530162995,31.415637963975016
160,1.3377926421404682e-05,162.43560983421182,2143.9129647711457,7.855644843239013e-16,31.415926530162984,31.415637964168035
160,1.4046822742474917e-05,165.5958280744551,2245.5960281718476,8.024040260798154e-16,31.415926530162984,31.41563796436105
160,1.4715719063545151e-05,168.84041389397842,2351.9757577576747,8.192107982913373e-16,31.41592653016298,31.41563796455407
160,1.5384615384615384e-05,172.1708066442144,2463.257766480806,8.35980740702152e-16,31.415926530162974,31.41563796474709
160,1.605351170568562e-05,175.5884604712432,2579.6556013880654,8.526958943308363e-16,31.41592653016297,31.415637964940103
160,1.6722408026755853e-05,179.09484379620392,2701.3909464901667,8.693530469030782e-16,31.415926530162967,31.415637965133115
160,1.739130434782609e-05,182.69143869822528,2828.693820322334,8.859668742193679e-16,31.415926530162963,31.415637965326134
160,1.806020066889632e-05,186.3797401956211,2961.8027669063936,9.02564003433603e-16,31.415926530162967,31.41563796551915
160,1.8729096989966554e-05,190.16125542112053,3100.9650387220763,9.191865922839942e-16,31.415926530162952,31.41563796571217
160,1.939799331103679e-05,194.0375026869555,3246.436770198444,9.358931047886357e-16,31.41592653016295,31.41563796590518
160,2.0066889632107023e-05,198.01001043571358,3398.4831401435995,9.52757572647108e-16,31.41592653016295,31.415637966098203
160,2.073578595317726e-05,202.08031607297255,3557.378521434824,9.698631091841705e-16,31.415926530162945,31.41563796629121
160,2.1404682274247492e-05,206.24996467787332,3723.406616212601,9.87293520621208e-16,31.41592653016294,31.41563796648423
160,2.2073578595317725e-05,210.5205075879596,3896.860574736745,1.005126363559802e-15,31.415926530162935,31.41563796667724
160,2.274247491638796e-05,214.89350085482008,4078.043095999471,1.0234273111708518e-15,31.41592653016293,31.41563796687026
160,2.3411371237458194e-05,219.37050356731808,4267.26650812659,1.0422462602795492e-15,31.41592653016293,31.415637967063272
160,2.408026755852843e-05,223.95307603948794,4464.852826557288,1.061614987010574e-15,31.415926530162924,31.415637967256284
160,2.4749163879598663e-05,228.64277786052185,4671.133787961034,1.0815461345116015e-15,31.41592653016292,31.415637967449307
160,2.5418060200668895e-05,233.4411658046731,4886.450857838404,1.102033304341033e-15,31.41592653016292,31.415637967642315
160,2.608695652173913e-05,238.34979159935997,5111.155209763217,1.1230520338718043e-15,31.415926530162913,31.415637967835334
160,2.6755852842809364e-05,243.37019955028393,5345.6076742492805,1.1445614412025884e-15,31.415926530162913,31.415637968028353
160,2.74247491638796e-05,248.5039240229686,5590.17865528484,1.1660167313495552e-15,31.415926530162906,31.41563796822137
160,2.8093645484949833e-05,253.75248678079635,5845.248012657695,1.1874246617922997e-15,31.415926530162903,31.415637968414377
160,2.8762541806020066e-05,259.1173941803624,6111.2049083006705,1.2091250744021222e-15,31.415926530162903,31.415637968607395
160,2.9431438127090302e-05,264.60013422579084,6388.447615029974,1.231040951218765e-15,31.415926530162892,31.415637968800407
160,3.0100334448160535e-05,270.202173484559,6677.383286215306,1.2530887423484029e-15,31.41592653016289,31.41563796899342
160,3.076923076923077e-05,275.92495386836094,6978.427685125388,1.2751807741176784e-15,31.41592653016289,31.415637969186434
160,3.1438127090301004e-05,281.76988928360186,7292.004872918029,1.2972274858663436e-15,31.41592653016288,31.415637969379446
160,3.210702341137124e-05,287.7383621572556,7618.546854516117,1.3191394452611012e-15,31.415926530162874,31.415637969572458
160,3.277591973244147e-05,293.83171984503156,7958.4931818943705,1.3408291136603029e-15,31.415926530162874,31.415637969765474
160,3.3444816053511705e-05,300.0512709300743,8312.290514634597,1.362212350086744e-15,31.41592653016287,31.415637969958485
160,3.411371237458194e-05,306.39828142176316,8680.392137943854,1.3832096552275299e-15,31.415926530162867,31.415637970151497
160,3.478260869565218e-05,312.873970865571,9063.25743871278,1.4037471660912361e-15,31.41592653016286,31.415637970344513
160,3.545150501672241e-05,319.4795083763713,9461.351340576355,1.4237574180329035e-15,31.415926530162857,31.415637970537524
160,3.612040133779264e-05,326.2160086090474,9875.14369934971,1.4431798960224145e-15,31.415926530162857,31.415637970730543
