step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
160,3.9999999999999996e-05,80000,10,31.41592653589793,31.41592653589793,-0.0009192853628641301,0.0012606933718812571,0.17683533837837173,0.017683533837837172,0.0031397596131648954,0.056033557919918806,0.02694795501634057,0.05894511279279058,0.0872208471775561,0.19833000159160435,40000,64000,72000,1.5239010066347976,18280.722228469676,450.1508340710323,438.91808824951016,438.91808824951016,0.2017375,1.192048114730702,0,0
176,4.4e-05,80000,10,31.41592653589793,31.41592653589793,-0.0011270221494360723,0.0016731789256764543,0.16241187667672177,0.01624118766767218,0.0027697215326710376,0.05262814392196477,0.022393350147336503,0.054137292225573924,0.07968819489848963,0.20140570223699802,40000,64000,72000,1.3788000363982065,26010.01774984285,462.3576590219697,544.8930602601473,544.8930602601473,0.257475,1.2632214539475486,0,0
192,4.8e-05,80000,10,31.41592653589793,31.41592653589793,-0.0011842159917026408,0.0018657141158933649,0.15038126003655594,0.015038126003655594,0.0024762523270919524,0.04976195662443301,0.01864723729907484,0.050127086678851976,0.07199510173972479,0.2060783891303989,40000,64000,72000,1.239997410218661,36618.94253205204,483.19930833718047,668.3163810856921,668.3163810856921,0.3123875,1.3068389562062523,0,0
208,5.2e-05,80000,10,31.41592653589793,31.41592653589793,-0.0010813081015233136,0.0017937053001679585,0.13652200728503125,0.013652200728503126,0.002250260773954181,0.047436913621716384,0.014830019166345,0.045507335761677085,0.06480837795316356,0.21041702135782725,40000,64000,72000,1.0862731556080054,52935.41720571222,467.1904199836585,832.8232867973135,832.8232867973135,0.3826875,1.5403092763273196,0,0
224,5.6e-05,80000,10,31.41592653589793,31.41592653589793,-0.00048439866332696435,0.0014850882110245631,0.12259179118367769,0.012259179118367769,0.0020813640455248136,0.04562196889136651,0.011761391704492561,0.04086393039455923,0.061527814376977956,0.21363428203648321,40000,64000,72000,0.9593947189229514,69731.55436639274,461.42500903489076,976.476637314079,976.476637314079,0.4607,1.6320159887478565,0,0
240,5.9999999999999995e-05,80000,10,31.41592653589793,31.41592653589793,-0.0002200277403008572,0.0006467972009637791,0.11522964244661715,0.011522964244661715,0.0019492277861333336,0.04415005986556908,0.00977936450182586,0.03840988081553905,0.06051880982171168,0.21530152946843284,40000,64000,72000,0.8486847910125541,81895.98534347958,473.87023604274555,1096.4712920157108,1096.4712920157108,0.503325,1.7477966850800344,0,0
256,6.4e-05,80000,10,31.41592653589793,31.41592653589793,4.373797671557209e-06,0.0010678008949449671,0.11408086066062953,0.011408086066062953,0.0018447490772253116,0.04295054222271602,0.008156208901248916,0.03802695355354318,0.05922556972636977,0.2162430571480342,40000,64000,72000,0.7149498043771076,93522.95545555596,496.36271640157116,1215.1520659823752,1215.1520659823752,0.5102625,1.7729340074240367,0,0
272,6.8e-05,80000,10,31.41592653589793,31.415533836816234,0.0006643132961727479,0.002307500931574091,0.11280517706272988,0.011280517706272988,0.001772076885625091,0.042096043586364394,0.0074794970718250475,0.03760172568757663,0.05768599207688998,0.2185118366400789,40000,64000,72000,0.6630455504418712,105835.4894164431,483.92589792848037,1319.5757852675251,1319.5757852675251,0.5180939761747022,1.8602463233846778,0,0
288,7.2e-05,80000,10,31.41592653589793,31.41592653589793,0.0013121834061040397,0.0032485827025366776,0.1109691327909652,0.01109691327909652,0.0017252222571550928,0.041535794890131726,0.00767965539389639,0.03698971093032173,0.05500183459703863,0.2177231913362915,40000,64000,72000,0.6920532945285526,110446.03210210048,478.926161362497,1353.5409241609004,1353.5409241609004,0.5292375,2.034793299913451,0,0
304,7.599999999999999e-05,80000,10,31.41592653589793,31.41592653589793,0.001206785805792762,0.004115839801534463,0.10459765064347035,0.010459765064347034,0.001659747991348338,0.04074000480299847,0.0076900784310832155,0.03486588354782345,0.05275611266269899,0.21507463121675457,40000,64000,72000,0.7352056555548726,124597.03420419063,507.6005012727983,1463.2330358126087,1463.2330358126087,0.568275,2.2856097978773033,0,0
320,7.999999999999999e-05,80000,10,31.41592653589793,31.41592653589793,0.001445697606612114,0.0054105351304154755,0.10027427302344824,0.010027427302344825,0.0015942629116594813,0.03992822199471799,0.0075074561436284555,0.03342475767448275,0.05077390743074271,0.20740252209762622,40000,64000,72000,0.7486921537564181,149644.90635418086,523.6175054336974,1688.4996977603269,1688.4996977603269,0.594475,2.1766866151344333,0,0
336,8.4e-05,80000,10,31.41592653589793,31.41631923497963,0.000642573035801625,0.006697954159941105,0.10065094723706641,0.010065094723706642,0.0015744431430870973,0.03967925330808403,0.007806129187984623,0.03355031574568881,0.047952460743682424,0.20631767888074312,40000,64000,72000,0.775564403740642,157732.6495279944,490.6108475353358,1736.5644017708648,1736.5644017708648,0.5930550868114148,1.9621657828022736,0,0
352,8.8e-05,80000,10,31.41592653589793,31.41592653589793,-0.0001020452234091666,0.007880790927100327,0.0996741733232134,0.00996741733232134,0.0015629920647214296,0.03953469444325363,0.00898527246194452,0.033224724441071135,0.04542454329664425,0.20579982307115752,40000,64000,72000,0.9014644578799746,152037.29234355182,490.3362572638833,1665.3398143338072,1665.3398143338072,0.59955,1.787843308804428,0,0
368,9.2e-05,80000,10,31.41592653589793,31.41592653589793,0.0005444840277263895,0.00940164696809593,0.09968440385013955,0.009968440385013955,0.001555572393342346,0.039440745344660334,0.010564925068023395,0.03322813461671318,0.043863330985127964,0.20601759117624704,40000,64000,72000,1.0598373125555494,135547.76468302816,494.0238771898536,1539.7276419291948,1539.7276419291948,0.5996125,1.7108999738669957,0,0
384,9.6e-05,80000,10,31.41592653589793,31.41592653589793,0.0004995507626681327,0.010263403375520837,0.09717591064101934,0.009717591064101933,0.0015177892737119226,0.038958815096354286,0.010821006359682438,0.03239197021367311,0.045015383617846745,0.20315904124645653,40000,64000,72000,1.1135482331271036,155390.03692055048,515.9503707798292,1687.9992291782246,1687.9992291782246,0.615775,1.6695205790437768,0,0
400,9.999999999999999e-05,80000,10,31.41592653589793,31.41631923497963,0.0007488374613267862,0.010355527683686557,0.09195545862548023,0.009195545862548022,0.0014502335540765255,0.038081932121106006,0.011162443238384098,0.030651819541826743,0.044209722868244664,0.19574608073719071,40000,64000,72000,1.2138967501480182,182628.54144640864,526.940920421418,1860.0005659010867,1860.0005659010867,0.6480043999450007,2.3814797610100293,0,0
416,0.000104,80000,10,31.41592653589793,31.41631923497963,2.2056018234985747e-05,0.009569009347389091,0.09333282514108937,0.009333282514108938,0.001440768026463013,0.03795745021024217,0.011917833946014839,0.03111094171369646,0.04236756927774601,0.1942390766931152,40000,64000,72000,1.276917732641103,175139.79604237282,514.2555185554958,1818.5554124746975,1818.5554124746975,0.6398795015062312,1.8308473334475548,0,0
432,0.000108,80000,10,31.41592653589793,31.41592653589793,-0.00018611644479049955,0.010147467981007149,0.09189031873431996,0.009189031873431997,0.0014779005971159514,0.03844347275046769,0.013164330178984133,0.030630106244773324,0.040723965449197964,0.1943585464010308,40000,64000,72000,1.4326133982673201,192394.69307162912,524.6086598698932,1918.5605369846437,1918.5605369846437,0.64945,1.8760248684387162,0,0
448,0.000112,80000,10,31.41592653589793,31.41592653589793,-0.000363623263687623,0.010365058172283016,0.08938728418258243,0.008938728418258244,0.001452370928003526,0.03810998462350157,0.01314471174715981,0.029795761394194147,0.042281521833489044,0.19165536004688996,40000,64000,72000,1.470534860451787,213030.12349992534,511.41015253315976,2088.2870397162555,2088.2870397162555,0.663975,2.3240660378495637,0,0
464,0.000116,80000,10,31.41592653589793,31.41592653589793,-0.0021511348221979485,0.010599025789571276,0.0834014658295646,0.00834014658295646,0.001374723157141429,0.03707725929921775,0.013234599929884013,0.02780048860985487,0.04533186662573832,0.1801270709008547,40000,64000,72000,1.5868545952093494,246442.88544742976,556.226685933701,2248.8616824690976,2248.8616824690976,0.6988375,3.143637662958599,0,0
480,0.00011999999999999999,80000,10,31.41592653589793,31.41592653589793,-0.002840019571990717,0.008306101970216934,0.08168542957992292,0.008168542957992292,0.0013206453921196597,0.03634068508049428,0.012953783900199935,0.027228476526640975,0.045128550905297014,0.17792237419575105,40000,64000,72000,1.5858132798978124,245916.37463336636,547.9602989056206,2176.8465013428163,2176.8465013428163,0.7083875,2.4130604057909153,0,0
496,0.000124,80000,10,31.41592653589793,31.41592653589793,-0.0013981280899228272,0.00948166390155667,0.08189142224004506,0.008189142224004506,0.0012967271028010714,0.03601009723398524,0.013041615723283701,0.027297140746681686,0.04361553344550786,0.17589269238592228,40000,64000,72000,1.5925496671745831,229697.58245591706,519.4520561069602,2074.782384614585,2074.782384614585,0.7077375,2.641689638208937,0,0
512,0.000128,80000,10,31.41592653589793,31.415533836816234,-0.000629353820829814,0.008422430554098406,0.07731458404714125,0.007731458404714125,0.0012440728931977282,0.03527141751046771,0.012138092635784902,0.02577152801571375,0.04322433968474632,0.17422307377988216,40000,64000,72000,1.5699615778032132,253813.64898932324,527.8076959870446,2197.654141628178,2197.654141628178,0.7345341816772709,2.2922233176242464,0,0
528,0.00013199999999999998,80000,10,31.41592653589793,31.415533836816234,0.0005547049481691064,0.01094644222387462,0.07865505917389515,0.007865505917389515,0.001212529020498691,0.03482138740054295,0.011788312622618717,0.02621835305796505,0.04249604815191025,0.1703171173161707,40000,64000,72000,1.4987354591592683,268729.10139958,533.4692441401985,2385.1235631061245,2385.1235631061245,0.7269465868323354,2.4207552551305573,0,0
544,0.000136,80000,10,31.41592653589793,31.414748438652833,0.0008731511348789694,0.011707812211504905,0.08093464096515367,0.008093464096515367,0.0012580733226727904,0.03546932932369585,0.01206609617997309,0.026978213655051222,0.040401576314570906,0.17192612871300547,40000,64000,72000,1.4908444685839943,274230.67119238636,577.1029397166003,2452.40057605464,2452.40057605464,0.7145017938172682,2.041047739293964,0,0
560,0.00014,80000,10,31.41592653589793,31.414748438652833,0.0021954308047862354,0.012350843094621448,0.07894350609450769,0.007894350609450769,0.0012391078367286741,0.0352009635767073,0.011964215591031502,0.026314502031502564,0.03885083962341975,0.16975021976041557,40000,64000,72000,1.5155414527331064,293749.5732913232,587.0848305306282,2573.215333641552,2573.215333641552,0.7264147405527708,2.5077179876849627,0,0
576,0.000144,80000,10,31.41592653589793,31.414748438652833,0.003165346911177636,0.012947056590604456,0.08134072289236276,0.008134072289236276,0.0012485356295700639,0.03533462366532385,0.012287992807793146,0.027113574297454254,0.04099283768999615,0.17069797874395773,40000,64000,72000,1.510681534519149,265663.2331150667,532.0798365893393,2405.226850991414,2405.226850991414,0.7133517506906509,2.4470556820339864,0,0
592,0.000148,80000,10,31.41592653589793,31.414748438652833,0.003214380836216981,0.013663941394264115,0.08161328829099268,0.008161328829099267,0.0012935934352328292,0.03596655995828388,0.012359988536046276,0.027204429430330895,0.041909070156723544,0.17567747287738383,40000,64000,72000,1.5144578529879427,269286.8894657101,516.9571982538702,2428.621850662208,2428.621850662208,0.712101703813893,2.326587385319609,0,0
608,0.00015199999999999998,80000,10,31.41592653589793,31.41396304048944,0.004070221090428396,0.011712544888153391,0.0762005100488624,0.00762005100488624,0.0011614226080827574,0.034079650938393685,0.011552233607021407,0.025400170016287468,0.03898391884504676,0.16334425246829468,40000,64000,72000,1.516031008140722,305618.7202477811,538.9038375625972,2640.874723118915,2640.874723118915,0.7424839052440777,2.675380790142306,0,0
624,0.000156,80000,10,31.41592653589793,31.41396304048944,0.0037685122726289133,0.009861564694272365,0.07304200080021506,0.007304200080021505,0.0010808551671006952,0.03287636182883829,0.010728379539648596,0.024347333600071686,0.039343347783139436,0.15829898115364532,40000,64000,72000,1.4687959560408166,338807.08334919036,548.9329333202764,2746.730095951021,2746.730095951021,0.7596849803112694,3.790373503121187,0,0
640,0.00015999999999999999,80000,10,31.41592653589793,31.41317764232604,0.006173289851273839,0.010694256442029213,0.0772886483467844,0.007728864834678439,0.0011287772746003957,0.03359728076199613,0.011252007777699496,0.025762882782261465,0.038517936711919866,0.1632774335025702,40000,64000,72000,1.4558422250073724,304456.3292598919,533.919373779067,2598.074330776935,2598.074330776935,0.7357893815708875,2.517313341214172,0,1
656,0.000164,80000,10,31.41592653589793,31.41317764232604,0.008090188806718348,0.009638498578471065,0.07116575934599431,0.007116575934599431,0.0010346976474818548,0.03216671645477441,0.010479245546611279,0.023721919781998106,0.038745471606925805,0.15519885389851196,40000,64000,72000,1.4725122928377945,368932.5168737914,574.2158606632739,2921.2534762912137,2921.2534762912137,0.770517420274274,3.9362186950575673,0,0
672,0.000168,80000,10,31.41592653589793,31.41317764232604,0.008579706954535339,0.010485693695878429,0.06641379855518953,0.006641379855518953,0.0009640161444648896,0.031048609380532482,0.010815361642250994,0.022137932851729842,0.04168359667046065,0.1453679135014715,40000,64000,72000,1.6284811104824073,422520.2074043746,573.369218977255,3031.399244100566,3031.399244100566,0.7960196517195255,4.27974793292733,0,0
688,0.00017199999999999998,80000,10,31.41592653589793,31.413570341407738,0.009309726982581173,0.009287638556476376,0.0627132405474872,0.0062713240547487194,0.0008830656429285673,0.0297164204258953,0.009699568692957614,0.020904413515829067,0.03938558621223011,0.13945300078143072,40000,64000,72000,1.5466540412009147,482915.3902949326,572.4564544830789,3302.541054620794,3302.541054620794,0.8160987074030552,3.668880857658532,0,0
704,0.000176,80000,10,31.41592653589793,31.413570341407738,0.0094119912395248,0.008244058259492992,0.062096482043477876,0.006209648204347788,0.0008833534136137865,0.029721261978822272,0.009742056991287102,0.02069882734782596,0.04233162255189233,0.13420753096907423,40000,64000,72000,1.5688581173513243,480983.02666626044,559.1936798135617,3256.3124149963382,3256.3124149963382,0.8189364202315174,2.977492255024647,0,0
720,0.00017999999999999998,80000,10,31.41592653589793,31.413570341407738,0.010883953379865434,0.00934063839271032,0.06768107794740322,0.006768107794740322,0.0009356666545428947,0.030588668727862197,0.010110381211103862,0.022560359315801075,0.04191303849922965,0.1419428005039878,40000,64000,72000,1.4938268594009259,388552.53357466357,559.6547424846657,2967.617064077276,2967.617064077276,0.7895217141285596,2.7956096192519997,0,0
736,0.000184,80000,10,31.41592653589793,31.41317764232604,0.009175406947275023,0.010692834622000153,0.06948374005112719,0.006948374005112719,0.0009405709895721048,0.030668729833041745,0.009980720357060893,0.02316124668370906,0.04119086804897905,0.14644763742414219,40000,64000,72000,1.4364109286168143,375754.9242151473,574.654700873362,2944.6150874423843,2944.6150874423843,0.7798932406585576,3.1672521725706044,0,0
752,0.000188,80000,10,31.41592653589793,31.41317764232604,0.008822034760185999,0.010731082709997196,0.06328502660726362,0.006328502660726362,0.0008828549248839907,0.029712874732748272,0.009628456979353706,0.021095008869087876,0.042578468011239455,0.13888455134197458,40000,64000,72000,1.521443143116035,428584.3430321459,591.930284046851,3124.101218719569,3124.101218719569,0.8132086557573788,4.000874971346889,0,0
768,0.000192,80000,10,31.41592653589793,31.41317764232604,0.008915610960860352,0.010249867056175657,0.06681049023937458,0.006681049023937458,0.0008805862481649304,0.029674673514041065,0.0093326667101567,0.022270163413124856,0.04271163327546362,0.140670409174391,40000,64000,72000,1.3968864285711406,414527.99172356713,564.2297864836456,3091.0158542693785,3091.0158542693785,0.7952070806195543,3.3311840010024394,0,0
784,0.000196,80000,10,31.41592653589793,31.41317764232604,0.008324666677615944,0.010288929494150112,0.07492934181935959,0.007492934181935959,0.0009453843904225153,0.030747103772916815,0.009809291351551303,0.024976447273119866,0.04337624897244647,0.14729241037519697,40000,64000,72000,1.3091388651457316,324363.9794017351,529.1503813633083,2626.4215479126265,2626.4215479126265,0.7504656657457528,3.3101436339110353,0,0
800,0.00019999999999999998,80000,10,31.41592653589793,31.41396304048944,0.004067977193873586,0.010755581650585155,0.07390787594680501,0.0073907875946805,0.000985691019877744,0.03139571658487418,0.009986423065128482,0.024635958648935002,0.04264294609334809,0.1510201910090612,40000,64000,72000,1.3511987642989745,331375.9667777388,559.2836350382335,2685.564143511262,2685.564143511262,0.7555972248265517,2.6082549166452176,0,0
